GEOID,perc_insured_2019
17031010100,92.1
17031010201,88.2
17031010202,78.2
17031010300,86.6
17031010400,93
17031010501,88.5
17031010502,88.6
17031010503,97
17031010600,79.5
17031010701,86.1
17031010702,86.1
17031020100,83.6
17031020200,87.7
17031020301,91.8
17031020302,93.7
17031020400,90.4
17031020500,81.8
17031020601,89.1
17031020602,84
17031020701,95.4
17031020702,92.7
17031020801,86.1
17031020802,85.7
17031020901,83.2
17031020902,86.1
17031030101,89.8
17031030102,93.8
17031030103,95.9
17031030104,90.8
17031030200,96.1
17031030300,87
17031030400,91
17031030500,95.9
17031030601,88.2
17031030603,85.2
17031030604,91.5
17031030701,90.5
17031030702,94.3
17031030703,92.7
17031030706,88
17031030800,98.2
17031030900,92.1
17031031000,91.4
17031031100,95.3
17031031200,85.4
17031031300,90.2
17031031400,95.1
17031031501,89.4
17031031502,83
17031031700,95.3
17031031800,93.1
17031031900,96.1
17031032100,93.1
17031040100,92.1
17031040201,95.5
17031040202,81.9
17031040300,92.6
17031040401,94.9
17031040402,95.6
17031040600,88.1
17031040700,94.1
17031040800,96.2
17031040900,91.8
17031050100,97.4
17031050200,99.2
17031050300,95.4
17031050500,97.9
17031050600,98.8
17031050700,98.1
17031050800,97.4
17031050900,96.7
17031051000,95.7
17031051100,95.7
17031051200,99.3
17031051300,98.3
17031051400,96.3
17031060100,96.2
17031060200,87.3
17031060300,92.8
17031060400,97
17031060500,98.8
17031060800,96.9
17031060900,93.8
17031061000,97.5
17031061100,96.6
17031061200,94.8
17031061500,97.8
17031061800,92.2
17031061901,96
17031061902,87.2
17031062000,98.2
17031062100,95.6
17031062200,97.5
17031062300,98.6
17031062400,99.4
17031062500,98.5
17031062600,99.1
17031062700,98.6
17031062800,97.5
17031062900,97.2
17031063000,97
17031063100,96.9
17031063200,97.7
17031063301,98.4
17031063302,95.3
17031063303,98.4
17031063400,98.2
17031070101,95.5
17031070102,94.4
17031070103,98.7
17031070200,97.6
17031070300,96.9
17031070400,98.7
17031070500,98.3
17031070600,98.5
17031070700,97.9
17031071000,95.4
17031071100,96.8
17031071200,98.2
17031071300,95.6
17031071400,99.3
17031071500,97
17031071600,98.6
17031071700,95.5
17031071800,97.1
17031080100,96.3
17031080201,97.2
17031080202,95.9
17031080300,97.6
17031080400,98.4
17031081000,94.3
17031081100,97.8
17031081201,98.1
17031081202,98.1
17031081300,96.3
17031081401,96.9
17031081402,99.3
17031081403,99.1
17031081500,98.6
17031081600,99.3
17031081700,97.9
17031081800,98.8
17031081900,92.7
17031090100,97.5
17031090200,97.4
17031090300,98.7
17031100100,93.1
17031100200,99.5
17031100300,96.9
17031100400,98.1
17031100500,98.8
17031100600,94.2
17031100700,91.8
17031110100,94.5
17031110200,91.7
17031110300,91.4
17031110400,88.2
17031110501,90.7
17031110502,90.6
17031120100,96.7
17031120200,97
17031120300,96.4
17031120400,92.7
17031130100,93.1
17031130200,97.4
17031130300,86.7
17031140100,82.4
17031140200,78.9
17031140301,68.7
17031140302,87
17031140400,90.8
17031140500,79.8
17031140601,73.7
17031140602,83.6
17031140701,77.1
17031140702,78.4
17031140800,94
17031150200,90.3
17031150300,91.6
17031150401,90.6
17031150402,90.8
17031150501,94.3
17031150502,90.2
17031150600,89.5
17031150700,87.7
17031150800,88.2
17031151001,88.8
17031151002,74
