GEOID,MHI_2016
17031010100,29861
17031010201,38861
17031010202,29432
17031010300,37515
17031010400,37228
17031010501,26750
17031010502,29870
17031010503,17569
17031010600,43958
17031010701,57109
17031010702,36464
17031020100,51458
17031020200,74595
17031020301,53199
17031020302,68919
17031020400,64073
17031020500,39349
17031020601,40913
17031020602,45349
17031020701,77292
17031020702,51840
17031020801,53661
17031020802,48450
17031020901,40272
17031020902,36848
17031030101,48487
17031030102,43520
17031030103,39058
17031030104,39096
17031030200,65298
17031030300,35463
17031030400,43681
17031030500,72911
17031030601,39068
17031030603,29091
17031030604,27931
17031030701,34671
17031030702,56635
17031030703,41566
17031030706,35286
17031030800,72232
17031030900,82926
17031031000,68886
17031031100,58947
17031031200,27018
17031031300,36412
17031031400,66753
17031031501,22647
17031031502,23700
17031031700,42316
17031031800,57898
17031031900,61379
17031032100,45591
17031040100,71004
17031040201,62073
17031040202,38571
17031040300,91667
17031040401,80840
17031040402,72218
17031040600,77288
17031040700,72763
17031040800,76125
17031040900,71125
17031050100,82500
17031050200,69623
17031050300,81953
17031050500,105234
17031050600,96728
17031050700,114833
17031050800,105000
17031050900,77500
17031051000,103750
17031051100,118750
17031051200,110500
17031051300,153631
17031051400,95469
17031060100,103750
17031060200,66519
17031060300,104718
17031060400,120909
17031060500,31696
17031060800,83790
17031060900,55568
17031061000,105568
17031061100,95476
17031061200,101579
17031061500,108239
17031061800,59583
17031061901,60390
17031061902,59355
17031062000,74615
17031062100,77667
17031062200,114607
17031062300,135521
17031062400,129479
17031062500,107083
17031062600,117137
17031062700,113281
17031062800,143424
17031062900,119375
17031063000,91327
17031063100,91034
17031063200,64275
17031063301,43895
17031063302,68686
17031063303,77552
17031063400,88340
17031070101,70948
17031070102,61848
17031070103,51432
17031070200,86000
17031070300,105817
17031070400,88047
17031070500,128523
17031070600,137283
17031070700,112350
17031071000,107716
17031071100,104219
17031071200,90982
17031071300,103882
17031071400,72520
17031071500,86735
17031071600,129821
17031071700,146750
17031071800,136813
17031080100,105492
17031080201,73087
17031080202,81133
17031080300,111019
17031080400,-
17031081000,42077
17031081100,58827
17031081201,86708
17031081202,100889
17031081300,87258
17031081401,69722
17031081402,108030
17031081403,101142
17031081500,97875
17031081600,87306
17031081700,92841
17031081800,103194
17031081900,135500
17031090100,83906
17031090200,88443
17031090300,84000
17031100100,63058
17031100200,68779
17031100300,66343
17031100400,87206
17031100500,93359
17031100600,67955
17031100700,72214
17031110100,53141
17031110200,78034
17031110300,72198
17031110400,69201
17031110501,77843
17031110502,50337
17031120100,122500
17031120200,106522
17031120300,119868
17031120400,85188
17031130100,31752
17031130200,76171
17031130300,62634
17031140100,36159
17031140200,42280
17031140301,45417
17031140302,60994
17031140400,68529
17031140500,56779
17031140601,48357
17031140602,51250
17031140701,60203
17031140702,52074
17031140800,74750
17031150200,65139
17031150300,71468
17031150401,61224
17031150402,59000
17031150501,64286
17031150502,51432
17031150600,56062
17031150700,63594
17031150800,51536
17031151001,47652
17031151002,49151
17031151100,52300
17031151200,49405
17031160100,56506
17031160200,76971
17031160300,48421
17031160400,47526
17031160501,51689
17031160502,56094
