GEOID,median_monthly_housing_costs_2016
17031010100,942
17031010201,1091
17031010202,964
17031010300,939
17031010400,987
17031010501,898
17031010502,938
17031010503,705
17031010600,1006
17031010701,1100
17031010702,980
17031020100,1041
17031020200,1334
17031020301,1037
17031020302,1163
17031020400,1161
17031020500,962
17031020601,1134
17031020602,1077
17031020701,1307
17031020702,1223
17031020801,1066
17031020802,1135
17031020901,1156
17031020902,838
17031030101,977
17031030102,1041
17031030103,890
17031030104,1007
17031030200,1244
17031030300,943
17031030400,1047
17031030500,1454
17031030601,986
17031030603,793
17031030604,973
17031030701,845
17031030702,1151
17031030703,919
17031030706,1063
17031030800,1476
17031030900,1390
17031031000,1383
17031031100,1159
17031031200,764
17031031300,908
17031031400,1246
17031031501,736
17031031502,760
17031031700,1021
17031031800,1185
17031031900,1244
17031032100,1201
17031040100,1220
17031040201,1217
17031040202,1086
17031040300,1508
17031040401,1379
17031040402,1239
17031040600,1350
17031040700,1517
17031040800,1399
17031040900,1208
17031050100,1553
17031050200,1707
17031050300,1399
17031050500,1769
17031050600,1785
17031050700,2163
17031050800,1859
17031050900,1532
17031051000,1698
17031051100,2036
17031051200,1810
17031051300,2347
17031051400,1868
17031060100,1770
17031060200,1208
17031060300,1721
17031060400,1932
17031060500,906
17031060800,1493
17031060900,1261
17031061000,2085
17031061100,2071
17031061200,1785
17031061500,1852
17031061800,1248
17031061901,1448
17031061902,1363
17031062000,1451
17031062100,1647
17031062200,2023
17031062300,2063
17031062400,2115
17031062500,2029
17031062600,2367
17031062700,1667
17031062800,2171
17031062900,1855
17031063000,1535
17031063100,1600
17031063200,1331
17031063301,1109
17031063302,1413
17031063303,1869
17031063400,1614
17031070101,1407
17031070102,1239
17031070103,1247
17031070200,1496
17031070300,1843
17031070400,1649
17031070500,2107
17031070600,2521
17031070700,1965
17031071000,2076
17031071100,1930
17031071200,1787
17031071300,1854
17031071400,1481
17031071500,1603
17031071600,2250
17031071700,2207
17031071800,2268
17031080100,1749
17031080201,1477
17031080202,1445
17031080300,1894
17031080400,1285
17031081000,1203
17031081100,1477
17031081201,1901
17031081202,1954
17031081300,1786
17031081401,1883
17031081402,2162
17031081403,1854
17031081500,1982
17031081600,1986
17031081700,1882
17031081800,2187
17031081900,2289
17031090100,1469
17031090200,1279
17031090300,1429
17031100100,1141
17031100200,1000
17031100300,1467
17031100400,1695
17031100500,1303
17031100600,1284
17031100700,1210
17031110100,1020
17031110200,1197
17031110300,1126
17031110400,1216
17031110501,1476
17031110502,1146
17031120100,1961
17031120200,1776
17031120300,1649
17031120400,1412
17031130100,735
17031130200,1277
17031130300,1183
17031140100,1084
17031140200,1009
17031140301,1054
17031140302,1068
17031140400,998
17031140500,1127
17031140601,993
17031140602,1080
17031140701,1219
17031140702,1035
17031140800,1172
17031150200,1141
17031150300,1221
17031150401,1004
17031150402,1209
17031150501,1265
17031150502,1158
17031150600,1108
17031150700,1204
17031150800,1023
17031151001,1008
17031151002,1037
17031151100,1065
17031151200,1340
17031160100,1307
17031160200,1374
17031160300,870
17031160400,1016
17031160501,1165
17031160502,1208
17031160601,1225
17031160602,1023
17031160700,1327
17031160800,1281
17031160900,1126
17031161000,1316
17031161100,1436
17031161200,1398
17031161300,1042
17031170100,1031
17031170200,1539
17031170300,1066
17031170400,1363
17031170500,1182
17031170600,1220
17031170700,1026
17031170800,976
17031170900,856
17031171000,1034
17031171100,1153
17031180100,1208
17031190100,957
17031190200,1307
17031190300,934
17031190401,1292
17031190402,1098
17031190601,1235
17031190602,1252
17031190701,995
17031190702,1037
17031190800,1042
17031190900,965
17031191000,1149
17031191100,962
17031191200,971
17031191301,1080
17031191302,1170
17031200100,993
17031200200,1064
17031200300,961
17031200401,1008
17031200402,1089
17031210100,1246
17031210400,1075
17031210501,944
17031210502,1005
17031210601,1158
17031210602,1043
17031210700,1114
17031210800,1077
17031210900,1195
17031220300,1416
17031220400,1538
17031220500,1614
17031220601,1329
17031220602,1131
17031220701,1121
17031220702,1164
17031220901,860
17031220902,1133
17031221000,1175
17031221100,1162
17031221200,1395
17031221300,1170
17031221400,1363
17031221500,984
17031221600,1663
17031222200,2079
17031222500,1319
17031222600,1336
17031222700,1230
17031222800,962
17031222900,1077
17031230100,989
17031230200,1033
17031230300,893
17031230400,1210
17031230500,985
17031230600,989
17031230700,1044
17031230800,1122
17031230900,1034
17031231100,878
17031231200,986
17031231500,1088
17031240200,1980
17031240300,1936
17031240500,2226
17031240600,1669
17031240700,1220
17031240800,1002
17031240900,1062
17031241000,1083
17031241100,1324
17031241200,1583
17031241300,2010
17031241400,2109
17031241500,1714
17031241600,1646
17031242000,1104
17031242100,2009
17031242200,1709
17031242300,1443
17031242400,1340
17031242500,1170
17031242600,1124
17031242700,1053
17031242800,1317
17031242900,1352
17031243000,1354
17031243100,1644
17031243200,1662
17031243300,1408
17031243400,1563
17031243500,2003
17031250200,1138
17031250300,1076
17031250400,1115
17031250500,1393
17031250600,1216
17031250700,980
17031250800,1049
17031251000,911
17031251100,909
17031251200,1176
17031251300,1059
17031251400,895
17031251500,921
17031251600,843
