,GEOID,business_licenses_2019
0,17031010201,95
1,17031020200,91
2,17031020602,185
3,17031030706,108
4,17031040402,302
5,17031040800,329
6,17031051000,336
7,17031063302,381
8,17031070400,416
9,17031081100,116
10,17031081500,355
11,17031090300,70
12,17031100100,63
13,17031100500,76
14,17031130200,203
15,17031151100,262
16,17031160300,265
17,17031221200,404
18,17031241200,240
19,17031250700,188
20,17031252102,124
21,17031280100,322
22,17031282800,416
23,17031292200,145
24,17031320100,117
25,17031320400,194
26,17031351400,167
27,17031390400,73
28,17031390500,61
29,17031430200,91
30,17031440700,117
31,17031460100,113
32,17031530400,150
33,17031540102,162
34,17031550100,29
35,17031560100,353
36,17031630100,244
37,17031650500,349
38,17031670100,112
39,17031691100,40
40,17031710400,116
41,17031740100,47
42,17031820502,93
43,17031821402,6
44,17031823001,1
45,17031829500,4
46,17031830700,159
47,17031831500,419
48,17031832300,118
49,17031834400,95
50,17031836800,75
51,17031837400,138
52,17031838200,193
53,17031839100,187
54,17031842300,189
55,17031980000,19
56,17043841324,1
57,17111870902,1
