GEOID,MHI_2018
17031351100,10455
17031351400,15997
17031351500,24063
17031360200,22242
17031380100,17600
17031380200,23958
17031380500,20924
17031380700,41250
17031381200,27828
17031381400,33618
17031381500,30962
17031381700,-
17031381800,51607
17031381900,46750
17031390100,62574
17031390200,97786
17031390300,22808
17031390400,24174
17031390500,49042
17031390600,63750
17031390700,59953
17031400300,35000
17031400400,35043
17031400500,27979
17031400800,20571
17031410100,43846
17031410200,40915
17031410500,51643
17031410600,36734
17031410700,38852
17031410800,42201
17031410900,57188
17031411000,70333
17031411100,111250
17031411200,84605
17031420100,19750
17031420200,37143
17031420300,39091
17031420400,12306
17031420500,37806
17031420600,23625
17031420700,18983
17031420800,34333
17031421200,20500
17031430101,29750
17031430102,23740
17031430200,22945
17031430300,17441
17031430400,29583
17031430500,18432
17031430600,30493
17031430700,19137
17031430800,44286
17031430900,41908
17031431200,49413
17031431301,21933
17031431302,31377
17031431400,28952
17031440101,21856
17031440102,28393
17031440201,26508
17031440202,30100
17031440300,53594
17031440600,71417
17031440700,37228
17031440800,25931
17031440900,30714
17031450300,44333
17031460100,35000
17031460200,27976
17031460301,35845
17031460302,27391
17031460400,39605
17031460500,46162
17031460600,38315
17031460700,23972
17031461000,14511
17031470100,25287
17031480100,61495
17031480200,45441
17031480300,34107
17031480400,50426
17031480500,40250
17031490300,55667
17031490400,51141
17031490500,54137
17031490600,39527
17031490700,39787
17031490800,40612
17031490901,38693
17031490902,45273
17031491000,24727
17031491100,41167
17031491200,40167
17031491300,30000
17031491400,29737
17031500100,46517
17031500200,27247
17031500300,42263
17031510100,36081
17031510200,44423
17031510300,30069
17031520100,41875
17031520200,38884
17031520300,41860
17031520400,44226
17031520500,62311
17031520600,44738
17031530100,35875
17031530200,36448
17031530300,47039
17031530400,58065
17031530501,44436
17031530502,44744
17031530503,39231
17031530600,32566
17031540101,14066
17031540102,13585
17031550100,50637
17031550200,53125
17031560100,62059
17031560200,48250
17031560300,51034
17031560400,55670
17031560700,56452
17031560800,70102
17031560900,96326
17031561000,99667
17031561100,84805
17031570100,55809
17031570200,43571
17031570300,44266
17031570400,41596
17031570500,40000
17031580100,41681
17031580200,43667
17031580300,45888
17031580400,41167
17031580501,39706
17031580502,40233
17031580600,46419
17031580700,44986
17031580800,42946
17031590500,53295
17031590600,40536
17031590700,44906
17031600400,34127
17031600600,36005
17031600700,35523
17031600900,55018
17031610300,33507
17031610400,35804
17031610800,49250
17031611000,19661
17031611100,25464
17031611200,28212
17031611300,26847
17031611400,32071
17031611500,35330
17031611600,32031
17031611700,25729
17031611800,34333
17031611900,25321
17031612000,30121
17031612100,24900
17031620100,56339
17031620200,51333
17031620300,54667
17031620400,64861
17031630100,31750
17031630200,35707
17031630300,52278
17031630400,32683
17031630500,42434
17031630800,45046
17031630900,46495
17031640100,44013
17031640300,68397
17031640400,68902
17031640500,83574
17031640600,44085
17031640700,50625
17031640800,52381
17031650100,44722
17031650200,48678
17031650301,57875
17031650302,47321
17031650400,48634
17031650500,61972
17031660301,23976
17031660302,32880
17031660400,43772
17031660500,39137
17031660600,27423
17031660700,28125
17031660800,36783
17031660900,28817
17031661000,31310
17031661100,54425
17031670100,27450
17031670200,22143
17031670300,20938
17031670400,24667
17031670500,26200
17031670600,23021
17031670700,35074
17031670800,22219
17031670900,36875
17031671100,32426
17031671200,21699
17031671300,28466
17031671400,23636
17031671500,26822
17031671600,20919
17031671800,32163
17031671900,52625
17031672000,43063
17031680500,23675
17031680600,28304
17031680900,17295
17031681000,16064
17031681100,21266
17031681200,19662
17031681300,25927
17031681400,38385
17031690300,17310
17031690400,21106
17031690500,32546
17031690900,27554
17031691000,36806
17031691100,20469
17031691200,34657
17031691300,39853
17031691400,32935
17031691500,17292
17031700100,62391
17031700200,64659
17031700301,67765
17031700302,68488
17031700401,68241
17031700402,68935
17031700501,66886
17031700502,95750
17031710100,19777
17031710200,28014
17031710300,35224
17031710400,35274
17031710500,32656
17031710600,32955
17031710700,19660
17031710800,31233
17031710900,30052
17031711000,37628
17031711100,41985
17031711200,42596
17031711300,35086
17031711400,40777
17031711500,47022
17031720100,152422
17031720200,73300
17031720300,122727
17031720400,98281
17031720500,119500
17031720600,110344
17031720700,64656
17031730100,51313
17031730201,27500
17031730202,52046
17031730300,50556
17031730400,73077
17031730500,60755
17031730600,37207
17031730700,39893
17031740100,91924
17031740200,100361
17031740300,118640
17031740400,85798
17031750100,40692
17031750200,78594
17031750300,93103
17031750400,88224
17031750500,54896
17031750600,37159
17031760801,60291
17031760802,52188
17031760803,41342
17031770201,62853
17031770202,65514
17031770300,81938
17031770400,68984
17031770500,42399
17031770601,72946
17031770602,63112
17031770700,59526
17031770800,58909
17031770901,69321
17031770902,60000
17031800100,"250,000+"
17031800200,194803
17031800300,204148
17031800400,"250,000+"
17031800500,211042
17031800600,214875
17031800700,196371
17031800800,93906
17031800900,125404
17031801000,113299
17031801100,162328
17031801200,194423
17031801300,165139
17031801400,131944
17031801500,103548
17031801601,109886
17031801603,50293
17031801605,138992
17031801606,111912
17031801607,84022
17031801608,119766
17031801701,165972
17031801702,109821
17031801800,140789
17031801901,92727
17031801902,150862
17031802002,118542
17031802003,99881
17031802004,45045
17031802100,149286
17031802200,113750
17031802300,112969
17031802402,60833
17031802403,67917
17031802404,59258
17031802503,77006
17031802504,85388
17031802505,56698
17031802506,83333
17031802605,94921
17031802607,112813
17031802608,58212
17031802609,54248
17031802610,90529
17031802701,90106
17031802702,84875
17031802801,102520
17031802802,102045
17031802900,130909
17031803005,67222
17031803007,105991
17031803008,108068
17031803010,111042
17031803012,75417
17031803013,78125
17031803014,65243
17031803015,78600
17031803016,98571
17031803017,90799
17031803100,117772
17031803200,83491
17031803300,97353
17031803400,116667
17031803500,105114
17031803603,157125
17031803604,69417
17031803605,95089
17031803606,54513
17031803607,109929
17031803608,67773
17031803610,65639
17031803611,65889
17031803612,55278
17031803701,91122
17031803702,90685
17031803800,84615
17031803901,66347
17031803902,91010
17031804000,72627
17031804102,132222
17031804104,116563
17031804105,123594
17031804106,111635
17031804108,85000
17031804109,110833
17031804201,148670
17031804202,122931
17031804305,75682
17031804306,64310
17031804308,72073
17031804309,87742
17031804310,95439
17031804311,97420
17031804403,75417
17031804404,69559
17031804405,59397
17031804406,62727
17031804505,67907
17031804506,95265
17031804507,97684
17031804508,62063
17031804509,74792
17031804510,63422
17031804511,58650
17031804603,64721
17031804606,104968
17031804607,97969
17031804608,85040
17031804609,95315
17031804610,72037
17031804611,83889
17031804701,62756
17031804705,63301
17031804706,119327
17031804709,62179
17031804710,78317
17031804711,69365
17031804712,95949
17031804713,89185
