GEOID,work_travel_time_2017
17031351100,16900
17031351400,17410
17031351500,6020
17031360200,15935
17031380100,15000
17031380200,18730
17031380500,6765
17031380700,14555
17031381200,32470
17031381400,22815
17031381500,6605
17031381700,-
17031381800,19685
17031381900,18040
17031390100,23630
17031390200,26800
17031390300,28565
17031390400,43920
17031390500,21055
17031390600,26170
17031390700,64050
17031400300,14340
17031400400,22455
17031400500,25095
17031400800,27645
17031410100,27170
17031410200,13140
17031410500,33480
17031410600,27905
17031410700,26485
17031410800,38045
17031410900,42720
17031411000,38785
17031411100,20460
17031411200,19210
17031420100,15110
17031420200,15780
17031420300,25955
17031420400,10375
17031420500,20010
17031420600,20945
17031420700,24180
17031420800,27050
17031421200,16040
17031430101,57565
17031430102,52840
17031430200,61965
17031430300,18870
17031430400,39250
17031430500,59420
17031430600,29065
17031430700,38130
17031430800,23415
17031430900,17680
17031431200,55300
17031431301,46175
17031431302,64315
17031431400,94525
17031440101,63255
17031440102,62485
17031440201,90105
17031440202,57820
17031440300,60700
17031440600,20860
17031440700,20765
17031440800,18530
17031440900,38485
17031450300,52265
17031460100,44215
17031460200,41160
17031460301,41425
17031460302,43510
17031460400,54900
17031460500,81070
17031460600,15045
17031460700,41255
17031461000,11740
17031470100,37355
17031480100,40955
17031480200,15510
17031480300,11060
17031480400,95270
17031480500,52675
17031490300,36870
17031490400,12885
17031490500,29705
17031490600,16675
17031490700,36555
17031490800,58425
17031490901,51495
17031490902,60220
17031491000,41525
17031491100,62940
17031491200,24520
17031491300,30795
17031491400,40590
17031500100,55365
17031500200,34900
17031500300,25020
17031510100,39920
17031510200,41050
17031510300,62420
17031520100,28185
17031520200,38795
17031520300,70445
17031520400,67230
17031520500,68225
17031520600,32385
17031530100,30540
17031530200,49115
17031530300,66290
17031530400,33930
17031530501,59235
17031530502,22510
17031530503,62610
17031530600,43655
17031540101,36615
17031540102,38950
17031550100,94925
17031550200,34055
17031560100,19785
17031560200,21260
17031560300,51025
17031560400,23550
17031560700,52230
17031560800,99855
17031560900,81945
17031561000,99835
17031561100,92225
17031570100,21300
17031570200,26720
17031570300,74485
17031570400,24480
17031570500,38670
17031580100,41505
17031580200,45430
17031580300,40845
17031580400,68605
17031580501,74685
17031580502,83090
17031580600,74050
17031580700,72980
17031580800,33360
17031590500,24510
17031590600,42890
