GEOID,median_gross_rent_2019
17031010100,922
17031010201,1120
17031010202,988
17031010300,979
17031010400,1004
17031010501,1007
17031010502,1008
17031010503,727
17031010600,1077
17031010701,1090
17031010702,1044
17031020100,1121
17031020200,1059
17031020301,883
17031020302,1207
17031020400,1191
17031020500,1094
17031020601,1137
17031020602,1323
17031020701,1394
17031020702,1150
17031020801,1242
17031020802,1187
17031020901,1224
17031020902,1020
17031030101,991
17031030102,1062
17031030103,1088
17031030104,1067
17031030200,1166
17031030300,1036
17031030400,948
17031030500,1475
17031030601,929
17031030603,879
17031030604,1085
17031030701,892
17031030702,1357
17031030703,955
17031030706,1153
17031030800,1403
17031030900,1557
17031031000,1333
17031031100,1335
17031031200,872
17031031300,960
17031031400,1185
17031031501,843
17031031502,795
17031031700,1024
17031031800,1181
17031031900,1200
17031032100,1135
17031040100,1286
17031040201,1355
17031040202,1169
17031040300,1358
17031040401,1405
17031040402,1360
17031040600,1432
17031040700,1354
17031040800,1374
17031040900,1196
17031050100,1478
17031050200,1241
17031050300,1274
17031050500,1691
17031050600,1750
17031050700,1963
17031050800,1682
17031050900,1661
17031051000,1781
17031051100,1436
17031051200,1672
17031051300,1673
17031051400,1625
17031060100,1563
17031060200,1282
17031060300,1517
17031060400,1544
17031060500,461
17031060800,1648
17031060900,1270
17031061000,1868
17031061100,1815
17031061200,1862
17031061500,1811
17031061800,1396
17031061901,1313
17031061902,1464
17031062000,1464
17031062100,1578
17031062200,1747
17031062300,1944
17031062400,1814
17031062500,1956
17031062600,1641
17031062700,1871
17031062800,2137
17031062900,1593
17031063000,1381
17031063100,1495
17031063200,1442
17031063301,1230
17031063302,1452
17031063303,2109
17031063400,1479
17031070101,1446
17031070102,1449
17031070103,1382
17031070200,1448
17031070300,1976
17031070400,1154
17031070500,1654
17031070600,1758
17031070700,1710
17031071000,2085
17031071100,2040
17031071200,1644
17031071300,1619
17031071400,1673
17031071500,1775
17031071600,1505
17031071700,2230
17031071800,1698
17031080100,1762
17031080201,1650
17031080202,1448
17031080300,2102
17031080400,809
17031081000,1421
17031081100,1785
17031081201,1852
17031081202,1639
17031081300,1676
17031081401,1992
17031081402,2251
17031081403,2153
17031081500,2110
17031081600,2164
17031081700,2055
17031081800,2563
17031081900,1069
17031090100,942
17031090200,1422
17031090300,1218
17031100100,1279
17031100200,1036
17031100300,1201
17031100400,1688
17031100500,1142
17031100600,1098
17031100700,1311
17031110100,1107
17031110200,1138
17031110300,1046
17031110400,1236
17031110501,1154
17031110502,1196
17031120100,2077
17031120200,1571
17031120300,-
17031120400,1208
17031130100,400
17031130200,1021
17031130300,1207
17031140100,1223
17031140200,1051
17031140301,1138
17031140302,1131
17031140400,990
17031140500,1112
17031140601,1044
17031140602,1079
17031140701,1181
17031140702,1036
17031140800,1106
17031150200,986
17031150300,1162
17031150401,1080
17031150402,1104
17031150501,1088
17031150502,1154
17031150600,1083
17031150700,1177
17031150800,1087
17031151001,981
17031151002,1053
17031151100,1046
17031151200,1073
17031160100,1151
17031160200,969
17031160300,1047
17031160400,1079
17031160501,1191
17031160502,1088
17031160601,1252
17031160602,1086
17031160700,1262
17031160800,1228
17031160900,1198
17031161000,1384
17031161100,1473
17031161200,1092
17031161300,967
17031170100,-
17031170200,1045
17031170300,1067
17031170400,1164
17031170500,1195
17031170600,1188
17031170700,1103
17031170800,1226
17031170900,1152
17031171000,1150
17031171100,995
17031180100,1013
17031190100,868
17031190200,1038
17031190300,913
17031190401,1251
17031190402,1116
17031190601,1255
17031190602,1024
17031190701,1008
17031190702,1072
17031190800,1117
17031190900,932
17031191000,941
17031191100,911
17031191200,1027
17031191301,1077
17031191302,1087
17031200100,980
17031200200,1071
17031200300,991
17031200401,980
17031200402,967
17031210100,1264
17031210400,1096
17031210501,1104
17031210502,1123
17031210601,1168
17031210602,1153
17031210700,1223
17031210800,1094
17031210900,1248
17031220300,1484
17031220400,1727
17031220500,1605
17031220601,1428
17031220602,1159
17031220701,1179
17031220702,1119
17031220901,1047
17031220902,1127
17031221000,1243
17031221100,1231
17031221200,1570
17031221300,1222
17031221400,1611
17031221500,1061
17031221600,1798
17031222200,1987
17031222500,1317
17031222600,1228
17031222700,1207
17031222800,1119
17031222900,1144
17031230100,1190
17031230200,1147
17031230300,1017
17031230400,1136
17031230500,867
17031230600,986
17031230700,1111
17031230800,964
17031230900,1169
17031231100,877
17031231200,1046
17031231500,943
17031240200,1599
17031240300,1698
17031240500,2194
17031240600,1579
17031240700,1174
17031240800,1129
17031240900,1132
17031241000,1452
17031241100,1375
17031241200,1610
17031241300,2220
17031241400,2081
17031241500,1880
17031241600,1718
17031242000,1549
17031242100,1779
17031242200,1638
17031242300,1507
17031242400,1515
17031242500,1385
17031242600,1214
