GEOID,perc_insured_2018
17031010100,91.4
17031010201,88.7
17031010202,76.8
17031010300,84.9
17031010400,91.3
17031010501,87
17031010502,84.8
17031010503,95.5
17031010600,81.8
17031010701,88.5
17031010702,86
17031020100,85.2
17031020200,90.7
17031020301,91.7
17031020302,90.6
17031020400,89.1
17031020500,81.9
17031020601,91.6
17031020602,82.1
17031020701,96.3
17031020702,91.7
17031020801,88.3
17031020802,80.4
17031020901,85.6
17031020902,85.4
17031030101,89
17031030102,91
17031030103,92.9
17031030104,90.6
17031030200,97
17031030300,84.9
17031030400,91.2
17031030500,92.5
17031030601,87.3
17031030603,82.8
17031030604,90.1
17031030701,88.5
17031030702,95.8
17031030703,91.2
17031030706,87.7
17031030800,97.2
17031030900,87.1
17031031000,90.5
17031031100,89.2
17031031200,88.9
17031031300,92.3
17031031400,95.5
17031031501,88.9
17031031502,80.7
17031031700,91
17031031800,92.1
17031031900,95.2
17031032100,90.8
17031040100,92.3
17031040201,93.1
17031040202,83.9
17031040300,98.1
17031040401,94.1
17031040402,91.7
17031040600,90.5
17031040700,93.9
17031040800,96.1
17031040900,91.2
17031050100,95.3
17031050200,99
17031050300,93.8
17031050500,98.7
17031050600,97.2
17031050700,97.5
17031050800,95.5
17031050900,93.5
17031051000,95.3
17031051100,97.3
17031051200,98.4
17031051300,98
17031051400,95.2
17031060100,95.2
17031060200,89.4
17031060300,90.8
17031060400,98.1
17031060500,98.1
17031060800,96.5
17031060900,93.4
17031061000,96.6
17031061100,95.9
17031061200,94.3
17031061500,97.5
17031061800,94.1
17031061901,93.7
17031061902,94.4
17031062000,97.5
17031062100,95.8
17031062200,98.5
17031062300,99.4
17031062400,96.9
17031062500,98.6
17031062600,99.2
17031062700,99.8
17031062800,96.8
17031062900,97.2
17031063000,95.5
17031063100,95.9
17031063200,97.1
17031063301,97.4
17031063302,92.5
17031063303,98.2
17031063400,98.7
17031070101,95.1
17031070102,95
17031070103,96.1
17031070200,97.8
17031070300,98
17031070400,98.5
17031070500,97.5
17031070600,99
17031070700,96.1
17031071000,95.4
17031071100,96.7
17031071200,99.6
17031071300,95.7
17031071400,97.4
17031071500,96.9
17031071600,98.6
17031071700,94.4
17031071800,97.9
17031080100,91.9
17031080201,97.4
17031080202,97.8
17031080300,97.8
17031080400,98.1
17031081000,95.4
17031081100,97.2
17031081201,97.8
17031081202,97.9
17031081300,95.8
17031081401,95.9
17031081402,99.1
17031081403,98.7
17031081500,99.3
17031081600,99.6
17031081700,98.5
17031081800,98.7
17031081900,91.8
17031090100,98.2
17031090200,96.8
17031090300,98.6
17031100100,92.8
17031100200,99.3
17031100300,97.1
17031100400,98.1
17031100500,98.7
17031100600,93.7
17031100700,92.7
17031110100,92.4
17031110200,86.6
17031110300,88.7
17031110400,90.6
17031110501,90.1
17031110502,89.1
17031120100,97.3
17031120200,96
17031120300,93.3
17031120400,90.9
17031130100,92.9
17031130200,95.9
17031130300,84.4
17031140100,80.4
17031140200,77.1
17031140301,69
17031140302,87.3
17031140400,90
17031140500,84.3
17031140601,76.9
17031140602,80.5
17031140701,75.6
17031140702,74.7
17031140800,93.8
17031150200,90.6
17031150300,90.6
17031150401,89
17031150402,86.9
17031150501,92.6
17031150502,89.3
17031150600,89.5
17031150700,84.2
17031150800,82.2
17031151001,86.7
17031151002,75.3
17031151100,81.1
17031151200,92
17031160100,90.3
17031160200,96.3
17031160300,86.3
17031160400,86.2
17031160501,79.3
17031160502,77.9
17031160601,84.7
17031160602,85.7
17031160700,80.4
17031160800,82.2
17031160900,94.6
17031161000,93.5
17031161100,98.5
17031161200,82.2
17031161300,71.7
17031170100,93.8
17031170200,86.2
17031170300,89
17031170400,92.9
17031170500,93.6
17031170600,97
17031170700,95.2
17031170800,88.6
17031170900,87.6
17031171000,82
17031171100,95.8
17031180100,84.6
17031190100,82.4
17031190200,88.1
17031190300,80.5
17031190401,87.9
17031190402,81.4
17031190601,81.8
17031190602,78.3
17031190701,76.2
17031190702,79.9
17031190800,81.4
17031190900,83.7
17031191000,82.2
17031191100,80.9
17031191200,71.6
17031191301,80
17031191302,82.9
17031200100,83.6
17031200200,84.3
17031200300,79.2
17031200401,73.4
17031200402,85.5
17031210100,88.9
17031210400,76.8
17031210501,71.4
17031210502,75.5
17031210601,83.5
17031210602,83.1
17031210700,88.3
17031210800,77.9
17031210900,84.5
17031220300,93.9
17031220400,90.1
17031220500,91.9
17031220601,92
17031220602,89.5
17031220701,84.1
17031220702,83.7
17031220901,88.6
17031220902,86
17031221000,87.9
17031221100,81.9
17031221200,93.7
17031221300,85.6
17031221400,92
17031221500,89
17031221600,97.3
17031222200,97
17031222500,91.1
17031222600,90.5
17031222700,87.4
17031222800,83.4
17031222900,92
17031230100,92.5
17031230200,78
17031230300,81.9
17031230400,77.7
17031230500,82.4
17031230600,77.5
17031230700,76.3
17031230800,87.8
17031230900,87.3
17031231100,87.1
17031231200,81.2
17031231500,81.6
17031240200,97.9
17031240300,97.4
17031240500,100
17031240600,94.8
17031240700,94.1
17031240800,83.1
17031240900,83
17031241000,91
17031241100,92.3
17031241200,95.8
17031241300,96.5
17031241400,96.3
17031241500,96
17031241600,92.4
17031242000,91.1
17031242100,94
17031242200,97.7
17031242300,99.5
17031242400,93.7
17031242500,84.6
17031242600,88.1
17031242700,89.3
17031242800,93.9
17031242900,95.1
17031243000,89.1
17031243100,96.1
17031243200,93.9
17031243300,90.3
17031243400,95.2
17031243500,98.1
17031250200,81.9
17031250300,89.9
17031250400,90.2
17031250500,95
17031250600,83.9
17031250700,84.7
17031250800,89.4
17031251000,80.4
17031251100,93.7
17031251200,87
17031251300,84.7
17031251400,90.3
