GEOID,perc_college_grad_2019
17031010100,29.4
17031010201,19.3
17031010202,20.8
17031010300,20.3
17031010400,41.5
17031010501,33
17031010502,30.4
17031010503,16.3
17031010600,27.1
17031010701,27.7
17031010702,25.7
17031020100,26.7
17031020200,28.5
17031020301,40.1
17031020302,29.9
17031020400,30.7
17031020500,18.6
17031020601,27.7
17031020602,27.1
17031020701,30.8
17031020702,20.8
17031020801,19.4
17031020802,18.2
17031020901,22.2
17031020902,17
17031030101,31.6
17031030102,35.4
17031030103,39.6
17031030104,25.4
17031030200,29.9
17031030300,23.8
17031030400,35.3
17031030500,33.8
17031030601,26.7
17031030603,28.8
17031030604,34.5
17031030701,30
17031030702,38.1
17031030703,34.2
17031030706,33.8
17031030800,29.9
17031030900,39.7
17031031000,36.8
17031031100,42.1
17031031200,23.3
17031031300,31
17031031400,43.8
17031031501,28.7
17031031502,30.3
17031031700,36.8
17031031800,41.7
17031031900,42.9
17031032100,36.5
17031040100,32.5
17031040201,37.5
17031040202,30.4
17031040300,24.9
17031040401,40.3
17031040402,45.9
17031040600,47.7
17031040700,42.5
17031040800,34.4
17031040900,44.9
17031050100,44.6
17031050200,46.5
17031050300,40.7
17031050500,44.2
17031050600,48.7
17031050700,44.4
17031050800,46.7
17031050900,39.5
17031051000,42.6
17031051100,40
17031051200,50.5
17031051300,49.9
17031051400,44
17031060100,43.5
17031060200,41.3
17031060300,45
17031060400,49.6
17031060500,30.1
17031060800,48.1
17031060900,43.9
17031061000,54
17031061100,60.7
17031061200,48.5
17031061500,50.5
17031061800,50.4
17031061901,46.1
17031061902,36.1
17031062000,55.8
17031062100,51.4
17031062200,52.3
17031062300,45.3
17031062400,47
17031062500,45.8
17031062600,51.2
17031062700,44.8
17031062800,53.4
17031062900,54.1
17031063000,48.1
17031063100,47.8
17031063200,41.4
17031063301,45.8
17031063302,49.5
17031063303,38.4
17031063400,53.9
17031070101,43.8
17031070102,52.4
17031070103,48.3
17031070200,41.8
17031070300,58.8
17031070400,36.8
17031070500,42.3
17031070600,47.3
17031070700,47.7
17031071000,58.2
17031071100,61.6
17031071200,50.4
17031071300,44.6
17031071400,41.4
17031071500,52.4
17031071600,35.2
17031071700,46.7
17031071800,43.4
17031080100,41.2
17031080201,44.6
17031080202,40.2
17031080300,50.1
17031080400,29.2
