GEOID,median_monthly_housing_costs_2018
17031010100,960
17031010201,1067
17031010202,981
17031010300,1003
17031010400,1026
17031010501,989
17031010502,1007
17031010503,828
17031010600,1082
17031010701,1140
17031010702,1091
17031020100,1106
17031020200,1411
17031020301,1123
17031020302,1239
17031020400,1218
17031020500,1075
17031020601,1242
17031020602,1192
17031020701,1484
17031020702,1154
17031020801,1211
17031020802,1198
17031020901,1222
17031020902,901
17031030101,1082
17031030102,1165
17031030103,1118
17031030104,1094
17031030200,1414
17031030300,1024
17031030400,1051
17031030500,1577
17031030601,1034
17031030603,862
17031030604,1071
17031030701,945
17031030702,1280
17031030703,1051
17031030706,1106
17031030800,1537
17031030900,1683
17031031000,1453
17031031100,1343
17031031200,869
17031031300,1003
17031031400,1263
17031031501,779
17031031502,826
17031031700,1262
17031031800,1356
17031031900,1275
17031032100,1281
17031040100,1446
17031040201,1425
17031040202,1172
17031040300,1536
17031040401,1620
17031040402,1431
17031040600,1522
17031040700,1502
17031040800,1536
17031040900,1339
17031050100,1710
17031050200,1978
17031050300,1579
17031050500,1924
17031050600,1940
17031050700,2284
17031050800,1838
17031050900,1705
17031051000,1896
17031051100,2629
17031051200,1977
17031051300,2637
17031051400,2162
17031060100,1673
17031060200,1326
17031060300,1823
17031060400,1984
17031060500,939
17031060800,1554
17031060900,1398
17031061000,2155
17031061100,2073
17031061200,1839
17031061500,1793
17031061800,1369
17031061901,1421
17031061902,1454
17031062000,1681
17031062100,1832
17031062200,2057
17031062300,2408
17031062400,2602
17031062500,2283
17031062600,2359
17031062700,2228
17031062800,2378
17031062900,1934
17031063000,1644
17031063100,1670
17031063200,1485
17031063301,1308
17031063302,1545
17031063303,1865
17031063400,1744
17031070101,1532
17031070102,1513
17031070103,1365
17031070200,1675
17031070300,2035
17031070400,1824
17031070500,2319
17031070600,2646
17031070700,2289
17031071000,2380
17031071100,2462
17031071200,1747
17031071300,1978
17031071400,1681
17031071500,1726
17031071600,2306
17031071700,2419
17031071800,2518
17031080100,1879
17031080201,1687
17031080202,1551
17031080300,2108
17031080400,1139
17031081000,1305
17031081100,1658
17031081201,1993
17031081202,2252
17031081300,1851
17031081401,2105
17031081402,2301
17031081403,2192
17031081500,2133
17031081600,2213
17031081700,2020
17031081800,2407
17031081900,2408
17031090100,1226
17031090200,1460
17031090300,1775
17031100100,1393
17031100200,1035
17031100300,1550
17031100400,1700
17031100500,1520
17031100600,1268
17031100700,1494
17031110100,1179
17031110200,1304
17031110300,1183
17031110400,1269
17031110501,1522
17031110502,1301
17031120100,2035
17031120200,1987
17031120300,1663
17031120400,1458
17031130100,870
17031130200,1180
17031130300,1262
17031140100,1210
17031140200,1079
17031140301,1151
17031140302,1227
17031140400,1265
17031140500,1222
17031140601,1099
17031140602,1193
17031140701,1291
17031140702,1108
17031140800,1259
17031150200,1272
17031150300,1208
17031150401,1101
17031150402,1288
17031150501,1235
17031150502,1403
17031150600,1133
17031150700,1296
17031150800,1153
17031151001,1141
17031151002,1132
17031151100,1114
17031151200,1625
17031160100,1391
17031160200,1368
17031160300,1004
17031160400,1161
17031160501,1306
17031160502,1239
17031160601,1402
17031160602,1182
17031160700,1401
