GEOID,unemployment_2018
17031010100,7
17031010201,7.3
17031010202,6.5
17031010300,4.9
17031010400,7.7
17031010501,8.7
17031010502,3.7
17031010503,7.7
17031010600,7.5
17031010701,4.9
17031010702,5.2
17031020100,5.9
17031020200,8.4
17031020301,6
17031020302,7.3
17031020400,3.7
17031020500,13.6
17031020601,10.9
17031020602,7.7
17031020701,7.2
17031020702,9.3
17031020801,7.3
17031020802,8.2
17031020901,3.9
17031020902,5.4
17031030101,8.9
17031030102,5.5
17031030103,10.7
17031030104,11.5
17031030200,5.8
17031030300,5.7
17031030400,6.9
17031030500,2.3
17031030601,3.4
17031030603,4.3
17031030604,4.6
17031030701,9.1
17031030702,7.5
17031030703,4.6
17031030706,8.5
17031030800,4.9
17031030900,3
17031031000,4.5
17031031100,5.2
17031031200,4.2
17031031300,2.7
17031031400,1.9
17031031501,10.6
17031031502,8.5
17031031700,4.5
17031031800,3.1
17031031900,7
17031032100,6.4
17031040100,1.6
17031040201,2.5
17031040202,6.3
17031040300,11.3
17031040401,5.9
17031040402,3.2
17031040600,5.2
17031040700,2.1
17031040800,2.4
17031040900,4.6
17031050100,3.2
17031050200,4.4
17031050300,6.5
17031050500,2.8
17031050600,3.9
17031050700,1.3
17031050800,6.2
17031050900,3.9
17031051000,1
17031051100,0.5
17031051200,2.1
17031051300,1.3
17031051400,3.3
17031060100,1.4
17031060200,2.9
17031060300,1.7
17031060400,3.9
17031060500,3.2
17031060800,4.6
17031060900,1.9
17031061000,2.6
17031061100,0.5
17031061200,1
17031061500,2.7
17031061800,4.6
17031061901,3.3
17031061902,7.8
17031062000,2.2
17031062100,4.5
17031062200,2.3
17031062300,2.6
17031062400,3.3
17031062500,3
17031062600,4.6
17031062700,1.2
17031062800,2
17031062900,2.2
17031063000,2.4
17031063100,3.8
17031063200,4.5
17031063301,0.6
17031063302,0.3
17031063303,4.9
17031063400,1.2
17031070101,5.8
17031070102,1.2
17031070103,2.9
17031070200,2.6
17031070300,2.7
17031070400,0
17031070500,4.1
17031070600,2.5
17031070700,2.5
17031071000,6.5
17031071100,2.8
17031071200,2
17031071300,3.2
17031071400,2.7
17031071500,1.6
17031071600,3
17031071700,2.8
17031071800,0.6
17031080100,5.2
17031080201,4.9
17031080202,4
17031080300,2.3
17031080400,9.9
17031081000,2.6
17031081100,2.9
17031081201,3.4
17031081202,2.7
17031081300,5.2
17031081401,2.8
17031081402,2.7
17031081403,1
17031081500,1.6
17031081600,3.5
17031081700,4.6
17031081800,2.7
17031081900,1.9
17031090100,2.8
17031090200,1.9
17031090300,0.5
17031100100,9.3
17031100200,3.2
17031100300,2.3
17031100400,5.2
17031100500,0.7
17031100600,3
17031100700,4.3
17031110100,5.2
17031110200,7
17031110300,3.9
17031110400,5
17031110501,5
17031110502,2.7
17031120100,2.6
17031120200,5.2
17031120300,3.6
17031120400,4.6
17031130100,3.5
17031130200,5.6
17031130300,10.8
17031140100,8.1
17031140200,2.8
17031140301,7
17031140302,7.6
17031140400,4.4
17031140500,8.7
17031140601,7
17031140602,8
17031140701,4.6
17031140702,7
17031140800,1.8
17031150200,8.5
17031150300,3.9
17031150401,6
17031150402,4.5
17031150501,8.6
17031150502,6.9
17031150600,3.6
17031150700,0.9
17031150800,9.6
17031151001,6.3
17031151002,7.4
17031151100,5.3
17031151200,6.1
17031160100,7.6
17031160200,2.8
17031160300,4.8
17031160400,3.2
17031160501,3.7
17031160502,7
17031160601,3.2
17031160602,1.6
17031160700,4.9
17031160800,5
17031160900,4.1
17031161000,3.2
17031161100,2.2
17031161200,3.3
17031161300,5.8
17031170100,8.5
17031170200,2.6
17031170300,2
17031170400,3.3
17031170500,3.4
17031170600,5
17031170700,6.3
17031170800,4
17031170900,4.5
17031171000,6.6
17031171100,3.3
17031180100,5
17031190100,3.8
17031190200,5.2
17031190300,5.6
17031190401,8.9
17031190402,6
17031190601,8.7
17031190602,8.5
17031190701,10.6
17031190702,8.9
17031190800,13.1
17031190900,3.9
17031191000,8.5
17031191100,4.4
17031191200,5.1
17031191301,3.5
17031191302,9.7
17031200100,4.9
17031200200,5.4
17031200300,7.4
17031200401,9.6
17031200402,5.1
17031210100,4
17031210400,6.5
17031210501,8.8
17031210502,4.6
17031210601,6
17031210602,3.3
17031210700,6.2
17031210800,2.1
17031210900,0.9
17031220300,4.5
17031220400,3.8
17031220500,1.4
17031220601,2.7
17031220602,6.5
17031220701,4.9
17031220702,4.5
17031220901,7.5
17031220902,4.3
17031221000,8.9
17031221100,6.1
17031221200,4.6
17031221300,4.8
17031221400,2.1
17031221500,4.1
17031221600,1
17031222200,5.5
17031222500,7.2
17031222600,4.8
17031222700,2.7
17031222800,4.6
17031222900,3.9
17031230100,4.9
17031230200,9.5
17031230300,11.5
17031230400,14.9
17031230500,10.1
17031230600,17.8
17031230700,5.5
17031230800,11.5
17031230900,6.3
17031231100,21.2
17031231200,10.9
17031231500,20.2
17031240200,3.6
17031240300,1.8
17031240500,1.4
17031240600,3.4
17031240700,5
17031240800,8.6
17031240900,4.9
17031241000,4.7
17031241100,5.8
17031241200,1.1
17031241300,3.9
17031241400,1.4
17031241500,2.3
17031241600,3
17031242000,3.3
17031242100,3.4
17031242200,2
17031242300,1
17031242400,3.3
17031242500,4.1
17031242600,3
17031242700,9
17031242800,5.5
17031242900,0.5
17031243000,5.2
17031243100,2.5
17031243200,4.2
17031243300,2.1
17031243400,3
17031243500,8.3
17031250200,14.5
17031250300,9.7
17031250400,16.6
17031250500,9.4
17031250600,11.2
17031250700,10.5
17031250800,14
17031251000,17.8
17031251100,12
17031251200,16.9
17031251300,19
17031251400,8.1
17031251500,23.7
17031251600,6
17031251700,12.7
17031251800,18
17031251900,20.2
17031252000,8.8
17031252101,6.9
17031252102,14.5
17031252201,17.6
17031252202,23.8
17031260100,17.6
17031260200,15.7
17031260300,21.4
17031260400,24.4
17031260500,12.8
17031260600,26.2
17031260700,16.7
17031260800,17.9
17031260900,20.3
17031261000,10
17031270500,23.9
17031271200,16.9
17031271300,13.3
17031271400,16.4
17031271500,10.1
17031271800,11.7
17031280100,1.9
17031280400,12
17031280800,23.5
17031280900,34.7
17031281900,4.4
17031282700,15.5
17031282800,8.6
17031283100,9.4
17031283200,7.6
17031283800,12.9
17031290900,36.6
17031291200,22.2
17031291600,2.8
17031292200,23.3
17031292400,5.3
17031292500,14.3
17031300500,6.3
17031300600,10.8
17031300700,8.8
17031300800,10.4
17031300900,4.7
17031301100,9.1
17031301200,11.3
17031301600,10.7
17031301701,11.6
17031301702,9.6
17031301801,8.4
17031301802,14.3
17031301803,8
17031310200,5.7
17031310300,12.8
17031310400,0.7
17031310500,2.1
17031310600,5.7
17031310700,9.9
17031310800,3.9
17031310900,11.1
17031320100,5.3
17031320400,10
17031320600,5.4
17031330100,2
17031330200,0.6
17031340300,12.8
17031340400,7.4
17031340500,11.9
17031340600,44
17031350100,7.8
17031350400,34.8
17031351000,10.7
17031351100,37.3
17031351400,33.4
17031351500,15.7
17031360200,20.6
17031380100,23
17031380200,5.4
17031380500,21.3
17031380700,17.4
17031381200,11.1
17031381400,9.6
17031381500,16.6
17031381700,-
17031381800,3.1
17031381900,3.4
17031390100,3
17031390200,7
17031390300,17.8
17031390400,14.2
17031390500,5.2
17031390600,7.4
17031390700,6.7
17031400300,22.4
17031400400,23.1
17031400500,13.8
17031400800,18.1
17031410100,7.1
17031410200,10
17031410500,3
17031410600,5.7
17031410700,3.8
17031410800,6.1
17031410900,6.9
17031411000,7
17031411100,3.9
17031411200,4.6
17031420100,16.4
17031420200,7.1
17031420300,16.2
17031420400,17.2
17031420500,25.8
17031420600,27.4
17031420700,34.6
17031420800,11.6
17031421200,18.3
17031430101,19.2
17031430102,9.6
17031430200,18.6
17031430300,26.2
17031430400,16.7
17031430500,18.9
17031430600,25
17031430700,17.3
17031430800,13.8
17031430900,18.8
17031431200,13.5
17031431301,22.7
17031431302,23.3
17031431400,17
17031440101,21.9
17031440102,9.4
17031440201,12.9
17031440202,11.9
17031440300,19.3
17031440600,11.7
17031440700,22
17031440800,22.7
17031440900,10.5
17031450300,16
17031460100,28.5
17031460200,17.3
17031460301,16.9
17031460302,30.6
17031460400,12
17031460500,9.8
17031460600,18.5
17031460700,26
17031461000,19.8
17031470100,21.9
17031480100,8.6
17031480200,13.8
17031480300,17.5
17031480400,8.5
17031480500,12.1
17031490300,7.5
17031490400,13.7
17031490500,20.6
17031490600,18.9
17031490700,25.6
17031490800,24.7
17031490901,26.3
17031490902,11.5
17031491000,33.2
17031491100,16.6
17031491200,18.7
17031491300,24.9
17031491400,36.9
17031500100,6.8
17031500200,32
17031500300,19.6
17031510100,20
17031510200,17.6
17031510300,30.3
17031520100,10.5
17031520200,21.6
17031520300,21.2
17031520400,12.8
17031520500,6.9
17031520600,13.8
17031530100,18.5
17031530200,27
17031530300,27.6
17031530400,20.6
17031530501,14.5
17031530502,22.7
17031530503,29
17031530600,19
17031540101,31.8
17031540102,35.3
17031550100,7.9
17031550200,6.7
17031560100,7.4
17031560200,29.6
17031560300,15.8
17031560400,13.4
17031560700,11.1
17031560800,4.2
17031560900,4.7
17031561000,1.4
17031561100,6.6
17031570100,6.4
17031570200,10.2
17031570300,7.9
17031570400,10.4
17031570500,6.8
17031580100,11.3
17031580200,7.2
17031580300,12.7
17031580400,3
17031580501,10.6
17031580502,9.5
17031580600,15.7
17031580700,12
17031580800,13.8
17031590500,13.7
17031590600,13.4
17031590700,7.1
17031600400,12.4
17031600600,7.3
17031600700,14.7
17031600900,6.2
17031610300,13.1
17031610400,17.9
17031610800,10
17031611000,20.4
17031611100,21.5
17031611200,12.3
17031611300,17.3
17031611400,12.3
17031611500,15.1
17031611600,22
17031611700,26.1
17031611800,25.8
17031611900,20.9
17031612000,32.6
17031612100,26.4
17031620100,11.8
17031620200,7.1
17031620300,15.9
17031620400,5.6
17031630100,16.3
17031630200,10.8
17031630300,11.7
17031630400,15.5
17031630500,7.9
17031630800,13
17031630900,14.3
17031640100,5.6
17031640300,7.9
17031640400,6.1
17031640500,3
17031640600,16.2
17031640700,11.2
17031640800,17.1
17031650100,13
17031650200,14.3
17031650301,10.9
17031650302,9.6
17031650400,17.5
17031650500,10
17031660301,32.2
17031660302,19
17031660400,13.9
17031660500,13.2
17031660600,29.2
17031660700,24.6
17031660800,16.3
17031660900,30.1
17031661000,33.5
17031661100,15.6
17031670100,25.9
17031670200,29.6
17031670300,24.9
17031670400,32.6
17031670500,26.3
17031670600,36.1
17031670700,21.3
17031670800,18.8
17031670900,23.8
17031671100,22.3
17031671200,30.4
17031671300,31
17031671400,45.4
17031671500,27.9
17031671600,37.5
17031671800,30.2
17031671900,17.8
17031672000,34.8
17031680500,30.1
17031680600,31.7
17031680900,28.5
17031681000,16.9
17031681100,34.3
17031681200,27.1
17031681300,31.8
17031681400,20.5
17031690300,19.3
17031690400,14.3
17031690500,23.4
17031690900,17.8
17031691000,18.7
17031691100,26
17031691200,22.7
17031691300,27.6
17031691400,11
17031691500,35.3
17031700100,7.4
17031700200,12.6
17031700301,9.6
17031700302,10.9
17031700401,12.6
17031700402,18.3
17031700501,9.3
17031700502,16.7
17031710100,25.6
17031710200,18.2
17031710300,31.3
17031710400,22.2
17031710500,17.5
17031710600,14.9
17031710700,15.3
17031710800,20.4
17031710900,21.6
17031711000,17.8
17031711100,16.3
17031711200,12.1
17031711300,28.7
17031711400,12.9
17031711500,20.9
17031720100,4
17031720200,3.5
17031720300,4.6
17031720400,5.1
17031720500,2.2
17031720600,5.4
17031720700,5.8
17031730100,24.2
17031730201,21.3
17031730202,18.5
17031730300,13.9
17031730400,8.4
17031730500,22.1
17031730600,15.1
17031730700,20.7
17031740100,4.1
17031740200,2.7
17031740300,3.5
17031740400,4.6
17031750100,19.6
17031750200,4.1
17031750300,5.4
17031750400,8.1
17031750500,15.2
17031750600,12.4
17031760801,6.9
17031760802,5.8
17031760803,7.8
17031770201,3.9
17031770202,6.7
17031770300,4.8
17031770400,4.6
17031770500,4.6
17031770601,3.7
17031770602,8.5
17031770700,4.4
17031770800,3.5
17031770901,4.4
17031770902,4
17031800100,1.2
17031800200,1.8
17031800300,1.2
17031800400,1.6
17031800500,3.9
17031800600,7.7
17031800700,4.4
17031800800,0.7
17031800900,4.3
17031801000,5.3
17031801100,2.3
17031801200,7.3
17031801300,4
17031801400,1.5
17031801500,4.1
17031801601,4.2
17031801603,3.3
17031801605,2
17031801606,2.3
17031801607,3
17031801608,4.2
17031801701,2.8
17031801702,3.6
17031801800,4.5
17031801901,4.3
17031801902,2.6
17031802002,2
17031802003,5.1
17031802004,4.7
17031802100,6.6
17031802200,4.9
17031802300,2.2
17031802402,4.2
17031802403,3.2
17031802404,2
17031802503,8.3
17031802504,3
17031802505,4.3
17031802506,2.3
17031802605,3.3
17031802607,0.7
17031802608,1.9
17031802609,1.3
17031802610,1.9
17031802701,3.2
17031802702,3.9
17031802801,5.6
17031802802,3.2
17031802900,2.3
17031803005,5.6
17031803007,3.8
17031803008,1.9
17031803010,3.9
17031803012,7.7
17031803013,3.2
17031803014,5.9
17031803015,3.7
17031803016,3.2
17031803017,0.9
17031803100,1.7
17031803200,5.2
17031803300,3.3
17031803400,2.2
