GEOID,perc_hs_grad_2018
17031010100,89.3
17031010201,80.1
17031010202,79.7
17031010300,88.5
17031010400,96.7
17031010501,96.1
17031010502,94.3
17031010503,82.8
17031010600,92
17031010701,86.8
17031010702,76.6
17031020100,82.9
17031020200,84.3
17031020301,89.9
17031020302,91.7
17031020400,85.1
17031020500,71.6
17031020601,83.6
17031020602,85.8
17031020701,93.6
17031020702,80.2
17031020801,72.4
17031020802,82.5
17031020901,82.8
17031020902,77.4
17031030101,92.9
17031030102,97.4
17031030103,96.6
17031030104,90.4
17031030200,92.2
17031030300,85.1
17031030400,88.8
17031030500,87.4
17031030601,81.5
17031030603,95.1
17031030604,94.9
17031030701,86.9
17031030702,97.5
17031030703,85.5
17031030706,88.9
17031030800,92.5
17031030900,91.5
17031031000,94.4
17031031100,89.6
17031031200,77.2
17031031300,90.3
17031031400,95
17031031501,80.3
17031031502,88.6
17031031700,93.7
17031031800,95.8
17031031900,92.5
17031032100,94.8
17031040100,90.5
17031040201,91
17031040202,89.2
17031040300,91.1
17031040401,93.6
17031040402,97.8
17031040600,97.6
17031040700,91.9
17031040800,90.5
17031040900,97.7
17031050100,92
17031050200,93.7
17031050300,90.5
17031050500,95.6
17031050600,100
17031050700,96.9
17031050800,98.3
17031050900,96.1
17031051000,92.5
17031051100,94
17031051200,95.9
17031051300,99.1
17031051400,95.6
17031060100,95.8
17031060200,94.1
17031060300,98.6
17031060400,99.1
17031060500,82.4
17031060800,99.4
17031060900,96
17031061000,100
17031061100,99.5
17031061200,99.2
17031061500,97.6
17031061800,99.4
17031061901,98.8
17031061902,99.1
17031062000,100
17031062100,97.3
17031062200,98.7
17031062300,99.5
17031062400,96.4
17031062500,99.6
17031062600,98.1
17031062700,96.6
17031062800,98.6
17031062900,99.5
17031063000,98.8
17031063100,98.8
17031063200,98
17031063301,97.3
17031063302,100
17031063303,97.4
17031063400,99.3
17031070101,99.4
17031070102,98.3
17031070103,97.7
17031070200,98.1
17031070300,98.9
17031070400,91.8
17031070500,95
17031070600,99.6
17031070700,96.7
17031071000,99.8
17031071100,100
17031071200,98.7
17031071300,100
17031071400,97.5
17031071500,99.7
17031071600,98.2
17031071700,99.7
17031071800,97.1
17031080100,98
17031080201,99.4
17031080202,98.6
17031080300,96.7
17031080400,90.3
17031081000,92
17031081100,97.5
17031081201,100
17031081202,99.2
17031081300,99.3
17031081401,97.9
17031081402,99
17031081403,100
17031081500,99
17031081600,99.4
17031081700,98.2
17031081800,100
17031081900,97.3
17031090100,92.9
17031090200,96.6
17031090300,96.6
17031100100,91.2
17031100200,93.5
17031100300,94.5
17031100400,91.6
17031100500,90.1
17031100600,93.1
17031100700,93.1
17031110100,91.6
17031110200,87.8
17031110300,88.7
17031110400,91.1
17031110501,88.4
17031110502,89.2
17031120100,96.4
17031120200,94.3
17031120300,95.8
17031120400,86.1
17031130100,89.3
17031130200,93
17031130300,81.7
17031140100,72.3
17031140200,73.3
17031140301,63.6
17031140302,80.8
17031140400,83.8
17031140500,85.6
17031140601,69.2
17031140602,79.7
17031140701,81
17031140702,71.9
17031140800,88.1
17031150200,88.8
17031150300,90.4
17031150401,89.6
17031150402,90.9
17031150501,90.5
17031150502,89.6
17031150600,90.1
17031150700,85.5
17031150800,76.7
17031151001,81.1
17031151002,74.1
17031151100,78.3
17031151200,86.6
17031160100,89.7
17031160200,94.2
17031160300,93
17031160400,83.7
17031160501,78.1
17031160502,81.7
17031160601,88.7
17031160602,86.3
17031160700,84
17031160800,81.9
17031160900,96.4
17031161000,94.3
17031161100,94.2
17031161200,77.3
17031161300,79.4
17031170100,87
17031170200,88.2
17031170300,88.3
17031170400,86.4
17031170500,93.9
17031170600,92.8
17031170700,90.7
17031170800,88.4
17031170900,83.4
17031171000,85.9
17031171100,90
17031180100,87.2
17031190100,67.7
17031190200,65.4
17031190300,69.5
17031190401,81.5
17031190402,74.7
17031190601,76.1
17031190602,65.1
17031190701,61.2
17031190702,57.5
17031190800,63.2
17031190900,68.4
17031191000,64.3
17031191100,68.5
17031191200,52.1
17031191301,60.3
17031191302,60
17031200100,76.9
17031200200,69.5
17031200300,63
17031200401,50.4
17031200402,60.4
17031210100,85.2
17031210400,72
17031210501,70.7
17031210502,77.9
17031210601,74.2
17031210602,81.3
17031210700,80.9
17031210800,85.9
17031210900,91.3
17031220300,91
17031220400,89.9
17031220500,96.4
17031220601,91.2
17031220602,90.4
17031220701,90.3
17031220702,77
17031220901,73.7
17031220902,79.5
17031221000,85.7
17031221100,84.6
17031221200,95.2
17031221300,86
17031221400,90.9
17031221500,91.7
17031221600,99.4
17031222200,98.1
17031222500,89.2
17031222600,90.3
17031222700,86.7
17031222800,84.6
17031222900,79.4
17031230100,86
17031230200,68.3
17031230300,73.7
17031230400,69.3
17031230500,49.7
17031230600,69.2
17031230700,66.1
17031230800,66.7
17031230900,78.9
17031231100,77.2
17031231200,65.3
17031231500,74.8
17031240200,95.3
17031240300,97.9
17031240500,100
17031240600,96.1
17031240700,87.7
17031240800,86.5
17031240900,79.3
17031241000,80.9
17031241100,97.2
17031241200,88.8
17031241300,96.2
17031241400,93.8
17031241500,95.5
17031241600,91.5
17031242000,88.8
17031242100,96.1
17031242200,97.5
17031242300,98.2
17031242400,91.4
17031242500,88.3
17031242600,90.8
17031242700,83.3
17031242800,94.6
17031242900,97.3
17031243000,88.2
17031243100,86.4
17031243200,95.8
17031243300,89.2
17031243400,89.4
17031243500,99.1
17031250200,74
17031250300,81.5
17031250400,80.5
17031250500,86.8
17031250600,84.9
17031250700,89.4
17031250800,79.3
17031251000,86.3
17031251100,74.1
17031251200,73.5
17031251300,73.7
17031251400,80.9
17031251500,70.2
17031251600,80.9
17031251700,79.1
17031251800,75.3
17031251900,82.7
17031252000,81.1
17031252101,81.6
17031252102,84.8
17031252201,74.5
17031252202,70
17031260100,71.4
17031260200,79.4
17031260300,65.8
17031260400,63.6
17031260500,64.5
17031260600,67.5
17031260700,75.2
17031260800,76.8
17031260900,79.2
17031261000,76.1
17031270500,64.4
17031271200,76.6
17031271300,81.1
17031271400,82.9
17031271500,86.9
17031271800,86.1
17031280100,100
17031280400,78.9
17031280800,79.1
17031280900,79.1
17031281900,99
17031282700,86.7
17031282800,97.2
17031283100,96.7
17031283200,95.1
17031283800,87.9
17031290900,76.1
17031291200,79.1
17031291600,68.4
17031292200,78.2
17031292400,72.2
17031292500,78.2
17031300500,44
17031300600,59.7
17031300700,38.4
17031300800,40.3
17031300900,39.2
17031301100,56.5
17031301200,60.6
17031301600,51.5
17031301701,59.9
17031301702,57.5
17031301801,56.4
17031301802,50.8
17031301803,53.3
17031310200,85.6
17031310300,74.7
17031310400,75.5
17031310500,74.1
17031310600,66.9
17031310700,69.2
17031310800,65.1
17031310900,63.3
17031320100,100
17031320400,99.2
17031320600,99.6
17031330100,97.5
17031330200,92.3
17031340300,67.2
17031340400,70.3
17031340500,70.3
17031340600,54.8
17031350100,99.1
17031350400,73.8
17031351000,96.8
17031351100,75.3
17031351400,83.6
17031351500,96.1
17031360200,81.2
17031380100,69.6
17031380200,85.7
17031380500,81.3
17031380700,81.1
17031381200,89.3
17031381400,90
17031381500,89.2
17031381700,-
17031381800,91.8
17031381900,87.2
17031390100,88.5
17031390200,94.4
17031390300,82.5
17031390400,84.8
17031390500,96.9
17031390600,96.6
17031390700,97.3
17031400300,86.5
17031400400,81.8
17031400500,80.1
17031400800,80.3
17031410100,94.7
17031410200,98.9
17031410500,96.6
17031410600,94.9
17031410700,96.3
17031410800,98.1
17031410900,97.2
17031411000,96.6
17031411100,98
17031411200,95.2
17031420100,86.5
17031420200,84.6
17031420300,96.5
17031420400,82
17031420500,86.4
17031420600,90.5
17031420700,77.6
17031420800,87.9
17031421200,83.3
17031430101,89.5
17031430102,89.8
17031430200,85.6
17031430300,89.8
17031430400,89.5
17031430500,79.8
17031430600,95.2
17031430700,87
17031430800,97.9
17031430900,89.8
17031431200,88.5
17031431301,91.5
17031431302,90.2
17031431400,90.3
17031440101,80.3
17031440102,88.5
17031440201,85.2
17031440202,89.1
17031440300,90.8
17031440600,95.4
17031440700,91.7
17031440800,81.8
17031440900,84.2
17031450300,85
17031460100,86.2
17031460200,72.9
17031460301,77.2
17031460302,79.2
17031460400,89.1
17031460500,94.2
17031460600,83
17031460700,61.5
17031461000,71.8
17031470100,85.5
17031480100,90.8
17031480200,88.9
17031480300,92
17031480400,87.6
17031480500,87.6
17031490300,91.9
17031490400,93.2
17031490500,94.5
17031490600,82.2
17031490700,85.6
17031490800,89
17031490901,82.4
17031490902,88.4
17031491000,76.1
