GEOID,Public_Assistance_Rate_2016
17031010100,58.1542351453856
17031010201,61.0526315789474
17031010202,60.1208459214501
17031010300,18.0764774044032
17031010400,56.8707482993197
17031010501,27.1334792122538
17031010502,36.2962962962963
17031010503,12.1951219512195
17031010600,11.8677042801556
17031010701,46.7065868263473
17031010702,59.1370558375635
17031020100,37.4136229022705
17031020200,17.4733785091965
17031020301,13.2467532467532
17031020302,21.8198700092851
17031020400,25.0830564784053
17031020500,59.3548387096774
17031020601,41.7184265010352
17031020602,52.0186335403727
17031020701,23.019801980198
17031020702,40.1284109149278
17031020801,44.4948921679909
17031020802,74.6703296703297
17031020901,49.9306518723994
17031020902,30.0671140939597
17031030101,40
17031030102,50
17031030103,6.2015503875969
17031030104,11.7647058823529
17031030200,8.93098782138024
17031030300,52.3636363636364
17031030400,37.4439461883408
17031030500,16.8478260869565
17031030601,8.95795246800731
17031030603,28.2131661442006
17031030604,16.1538461538462
17031030701,30.8108108108108
17031030702,0
17031030703,0
17031030706,71.9879518072289
17031030800,2.97872340425532
17031030900,8.63095238095238
17031031000,12.1323529411765
17031031100,55.5956678700361
17031031200,76.2769580022701
17031031300,27.9916753381894
17031031400,0
17031031501,61.0169491525424
17031031502,64.0759930915371
17031031700,56.3063063063063
17031031800,29.5081967213115
17031031900,3.90625
17031032100,0
17031040100,36.3636363636364
17031040201,13.5845749342682
17031040202,23.397913561848
17031040300,0
17031040401,0
17031040402,4.98839907192575
17031040600,10.36866359447
17031040700,9.23694779116466
17031040800,1.06761565836299
17031040900,0
17031050100,0
17031050200,14.5118733509235
17031050300,7.74647887323944
17031050500,5.31784841075795
17031050600,2.89389067524116
17031050700,0
17031050800,13.6231884057971
17031050900,0
17031051000,7.96019900497512
17031051100,0
17031051200,11.587982832618
17031051300,0
17031051400,10.9859154929577
17031060100,3.3167495854063
17031060200,9.58904109589041
17031060300,1.64158686730506
17031060400,4.79616306954437
17031060500,5.07246376811594
17031060800,0
17031060900,0
17031061000,0
17031061100,0
17031061200,1.89393939393939
17031061500,0
17031061800,14.2857142857143
17031061901,11.7241379310345
17031061902,5.68720379146919
17031062000,10.7142857142857
17031062100,0
17031062200,11.9883040935673
17031062300,7.96178343949045
17031062400,5.13833992094862
17031062500,13.2530120481928
17031062600,0.909090909090909
17031062700,12.5628140703518
17031062800,0
17031062900,2.04081632653061
17031063000,0
17031063100,2.51046025104602
17031063200,0
17031063301,0
17031063302,0
17031063303,0
17031063400,26.1904761904762
17031070101,0
17031070102,0
17031070103,0
17031070200,4.31034482758621
17031070300,0
17031070400,0
17031070500,1.75097276264591
17031070600,0
17031070700,12.7536231884058
17031071000,4.41640378548896
17031071100,0
17031071200,4.59363957597173
17031071300,0
17031071400,0
17031071500,6.94980694980695
17031071600,4.87804878048781
17031071700,0
17031071800,14.2201834862385
17031080100,27.2407732864675
17031080201,0
17031080202,0
17031080300,11.844331641286
17031080400,53.156146179402
17031081000,26.6355140186916
17031081100,0
17031081201,0
17031081202,8.95522388059701
17031081300,0
17031081401,0
17031081402,0
17031081403,0
17031081500,0
17031081600,11.854103343465
17031081700,0
17031081800,0
17031081900,64.7058823529412
17031090100,4.17910447761194
17031090200,0.725689404934688
17031090300,6.29370629370629
17031100100,30.1492537313433
17031100200,7.90190735694823
17031100300,2.41935483870968
17031100400,5.74712643678161
17031100500,1.50375939849624
17031100600,8.66728797763281
17031100700,16.1255411255411
17031110100,13.3757961783439
17031110200,38.3959044368601
17031110300,22.962962962963
17031110400,7.60059612518629
17031110501,9.83746792130026
17031110502,28.1061519903498
17031120100,0.74280408542247
17031120200,1.68067226890756
17031120300,2.05607476635514
17031120400,14.9892933618844
17031130100,36.1635220125786
17031130200,12.0218579234973
17031130300,25.4370629370629
17031140100,65.3575025176234
17031140200,44.7287615148414
17031140301,49.3279569892473
17031140302,31.1608961303462
17031140400,24.8894504106128
17031140500,24.8322147651007
17031140601,44.6308724832215
17031140602,55.4484803558191
17031140701,19.1247974068071
17031140702,43.4073107049608
17031140800,38.5726423109601
17031150200,16.3249810174639
17031150300,25.5131964809384
17031150401,29.3814432989691
17031150402,28.022759601707
17031150501,11.3924050632911
17031150502,58.3826429980276
17031150600,23.8514173998045
17031150700,25.9935553168636
17031150800,29.5228628230616
17031151001,30.9927360774818
17031151002,48.6071085494717
17031151100,34.7861842105263
17031151200,14.0646976090014
17031160100,4.39121756487026
17031160200,0
17031160300,22.8995057660626
17031160400,18.0232558139535
17031160501,38.9017788089714
17031160502,22.6041666666667
17031160601,26.6470009832842
17031160602,13.5036496350365
17031160700,28.5160038797284
17031160800,13.4842519685039
17031160900,7.78688524590164
17031161000,15.3674832962138
17031161100,1.7353579175705
17031161200,21.3636363636364
17031161300,18.444165621079
17031170100,8.02919708029197
17031170200,31.8463444857497
17031170300,22.5056264066016
17031170400,4.63182897862233
17031170500,0
17031170600,23.0366492146597
17031170700,8.00561797752809
17031170800,26.2516914749662
17031170900,21.4765100671141
17031171000,17.1813587871982
17031171100,15.3753026634383
17031180100,26.1658031088083
17031190100,38.2632293080054
17031190200,32.790837854129
17031190300,20.8047105004907
17031190401,25.9223300970874
17031190402,42.4751718869366
17031190601,39.6288933068257
17031190602,54.1074249605055
17031190701,32.125
17031190702,49.1337491337491
17031190800,45.4726368159204
17031190900,54.4276457883369
17031191000,33.5164835164835
17031191100,41.8076764341725
17031191200,45.8770614692654
17031191301,42.3229461756374
17031191302,30.2045728038508
17031200100,19.5447409733124
17031200200,54.1360294117647
17031200300,59.6830985915493
17031200401,36.6071428571429
17031200402,35.8278765201123
17031210100,9.64028776978417
17031210400,34.0909090909091
17031210501,58.3690987124464
17031210502,36.6818873668189
17031210601,29.4416243654822
17031210602,40.8083441981747
17031210700,51.7391304347826
17031210800,20.1086956521739
17031210900,38.2475660639777
17031220300,18.2978723404255
17031220400,4.11622276029056
17031220500,1.38888888888889
17031220601,53.6529680365297
17031220602,29.1866028708134
17031220701,15.8282208588957
17031220702,32.7615780445969
17031220901,68.1598062953995
17031220902,35.4198473282443
17031221000,36.1290322580645
17031221100,37.6844494892168
17031221200,43.8721136767318
17031221300,30.7407407407407
17031221400,6.59670164917541
17031221500,3.98009950248756
17031221600,11.8881118881119
17031222200,4.34782608695652
17031222500,40.0602409638554
17031222600,33.1269349845201
17031222700,50.7897934386391
17031222800,39.0572390572391
17031222900,36.7875647668394
17031230100,61.1246943765281
17031230200,28.8798920377868
17031230300,33.248730964467
17031230400,44.6096654275093
17031230500,63.5405690200211
17031230600,55.6284704694599
17031230700,34.6502590673575
17031230800,35.1032448377581
17031230900,54.0071770334928
17031231100,62.2641509433962
17031231200,67.1256454388985
17031231500,66.954851104707
17031240200,2.35849056603774
17031240300,11.7647058823529
17031240500,0
17031240600,20.6303724928367
17031240700,42.1052631578947
17031240800,21.2658227848101
17031240900,51.937984496124
17031241000,82.312925170068
17031241100,54.9114331723027
17031241200,36.4116094986807
17031241300,34.8557692307692
17031241400,1.65394402035623
17031241500,5.60538116591928
17031241600,13.3093525179856
17031242000,47.7124183006536
17031242100,14.8584905660377
17031242200,20.5089820359281
17031242300,6.48148148148148
17031242400,10.8374384236453
17031242500,38.2103990326481
17031242600,55.3713049747657
17031242700,53.935860058309
17031242800,0
17031242900,10.3703703703704
17031243000,0
17031243100,12.4629080118694
17031243200,15.1843817787419
17031243300,18.4931506849315
17031243400,34.8648648648649
17031243500,23.1192660550459
17031250200,63.1165919282511
17031250300,52.5436598329537
17031250400,58.0372250423012
17031250500,34.4181459566075
17031250600,53.9017341040462
17031250700,65.6130268199234
17031250800,47.178002894356
17031251000,61.0526315789474
17031251100,73.1301939058172
17031251200,65.1296829971182
17031251300,63.3818589025756
17031251400,50.8903467666354
17031251500,80.327868852459
17031251600,71.900826446281
17031251700,72.2084367245658
17031251800,65.8628841607565
17031251900,71.0909090909091
17031252000,66.7765326301912
17031252101,79.182156133829
17031252102,68.9291101055807
17031252201,59.7777777777778
17031252202,65.6542056074766
17031260100,76.4516129032258
17031260200,74.5882352941176
17031260300,82.258064516129
17031260400,90.4109589041096
17031260500,86.1052631578948
17031260600,85.4354354354354
17031260700,95.8208955223881
17031260800,80.5489260143198
17031260900,76.8539325842697
17031261000,73.6969696969697
17031270500,86.90036900369
17031271200,58.8996763754045
17031271300,69.9822380106572
17031271400,67.7852348993289
17031271500,67.5392670157068
17031271800,96.8253968253968
17031280100,0
17031280400,90.3083700440529
17031280800,68.8405797101449
17031280900,73.7463126843658
17031281900,11.1111111111111
17031282700,36.7432150313152
17031282800,7.94392523364486
17031283100,35.8851674641148
17031283200,41.8502202643172
