GEOID,MHI_2019
17031010100,32474
17031010201,45639
17031010202,41486
17031010300,41250
17031010400,39700
17031010501,39730
17031010502,39388
17031010503,18516
17031010600,50882
17031010701,60167
17031010702,44583
17031020100,48841
17031020200,94115
17031020301,56973
17031020302,77500
17031020400,65917
17031020500,44926
17031020601,38177
17031020602,57045
17031020701,97250
17031020702,49167
17031020801,54052
17031020802,46219
17031020901,52254
17031020902,39484
17031030101,48207
17031030102,42123
17031030103,57985
17031030104,35988
17031030200,74434
17031030300,41109
17031030400,57500
17031030500,90955
17031030601,34861
17031030603,42059
17031030604,47500
17031030701,39464
17031030702,58299
17031030703,43553
17031030706,43512
17031030800,95688
17031030900,107148
17031031000,82902
17031031100,78822
17031031200,41389
17031031300,39064
17031031400,70237
17031031501,36917
17031031502,28403
17031031700,56448
17031031800,84758
17031031900,69265
17031032100,64702
17031040100,96467
17031040201,73475
17031040202,47367
17031040300,88125
17031040401,105121
17031040402,87479
17031040600,90167
17031040700,86125
17031040800,85577
17031040900,77250
17031050100,113352
17031050200,94821
17031050300,79892
17031050500,162616
17031050600,116595
17031050700,134583
17031050800,116488
17031050900,103750
17031051000,126250
17031051100,145000
17031051200,141944
17031051300,188697
17031051400,123214
17031060100,94800
17031060200,83598
17031060300,112574
17031060400,132143
17031060500,38571
17031060800,87552
17031060900,63610
17031061000,110739
17031061100,117500
17031061200,138000
17031061500,123409
17031061800,72308
17031061901,65882
17031061902,76792
17031062000,77222
17031062100,91438
17031062200,128102
17031062300,140556
17031062400,133897
17031062500,150240
17031062600,164286
17031062700,172850
17031062800,156875
17031062900,131900
17031063000,95897
17031063100,90978
17031063200,72457
17031063301,60361
17031063302,81638
17031063303,92250
17031063400,105735
17031070101,75804
17031070102,71373
17031070103,61118
17031070200,91723
17031070300,145855
17031070400,114902
17031070500,152850
17031070600,170750
17031070700,121298
17031071000,147552
17031071100,160662
17031071200,114286
17031071300,122621
17031071400,117150
17031071500,99510
17031071600,147031
17031071700,187614
17031071800,131734
17031080100,125880
17031080201,91961
17031080202,86419
17031080300,138173
17031080400,41250
17031081000,64640
17031081100,77605
17031081201,94288
17031081202,136010
17031081300,86207
17031081401,79960
17031081402,119387
17031081403,115642
17031081500,107847
17031081600,130673
17031081700,101758
17031081800,149135
17031081900,194167
17031090100,98446
17031090200,108583
17031090300,108563
17031100100,89427
17031100200,80817
17031100300,79138
17031100400,99710
17031100500,77945
17031100600,77813
17031100700,85953
17031110100,77813
17031110200,85474
17031110300,82634
17031110400,68996
17031110501,84273
17031110502,62155
17031120100,140417
17031120200,123594
17031120300,127473
17031120400,99306
17031130100,47875
17031130200,75875
17031130300,58824
17031140100,54394
17031140200,46761
17031140301,50667
17031140302,75789
17031140400,69203
17031140500,66818
17031140601,43988
17031140602,67237
17031140701,71125
17031140702,57708
17031140800,73875
17031150200,67623
17031150300,77877
17031150401,63125
17031150402,87708
17031150501,75956
17031150502,63813
17031150600,67957
17031150700,75545
17031150800,59919
17031151001,65417
17031151002,62483
17031151100,64063
