,census_tract,EDU_2018
0,101,26.4
1,102.01,24.6
2,102.02,28.1
3,103,35
4,104,81.1
5,105.01,74.4
6,105.02,75.3
7,105.03,92.2
8,106,49.6
9,107.01,32.8
10,107.02,29.2
11,201,31.6
12,202,16.2
13,203.01,14.7
14,203.02,23.4
15,204,24
16,205,26
17,206.01,20.4
18,206.02,18.8
19,207.01,31.4
20,207.02,19.3
21,208.01,37.1
22,208.02,37.2
23,209.01,33.1
24,209.02,26.5
25,301.01,33.1
26,301.02,86.4
27,301.03,95.9
28,301.04,95.2
29,302,48.1
30,303,19.1
31,304,44.7
32,305,38.7
33,306.01,35.7
34,306.03,52.3
35,306.04,75.9
36,307.01,65
37,307.02,60.8
38,307.03,62.6
39,307.06,74
40,308,37.4
41,309,54.3
42,310,52.3
43,311,63.8
44,312,25.8
45,313,34.9
46,314,73.2
47,315.01,33.6
48,315.02,45.7
49,317,58.4
50,318,43.4
51,319,45.8
52,321,69.2
53,401,34.9
54,402.01,48.4
55,402.02,39
56,403,40
57,404.01,60.8
58,404.02,27.9
59,406,45.7
60,407,29.7
61,408,22.7
62,409,45.6
63,501,23.2
64,502,18.5
65,503,35.3
66,505,12.8
67,506,35.6
68,507,26.4
69,508,32.1
70,509,25.9
71,510,17
72,511,10.4
73,512,28.7
74,513,14.5
75,514,28.1
76,601,17.5
77,602,35
78,603,26.8
79,604,47.3
80,605,45
81,608,64
82,609,74.7
83,610,87.9
84,611,62.9
85,612,47.7
86,615,59.4
87,618,80.7
88,619.01,52.9
89,619.02,72.8
90,620,63.5
91,621,84.8
92,622,65.8
93,623,39.9
94,624,42.8
95,625,40.9
96,626,28.5
97,627,32.2
98,628,40.4
99,629,53.9
100,630,56.3
101,631,55.3
102,632,61.2
103,633.01,79
104,633.02,83.6
105,633.03,81.3
106,634,67.5
107,701.01,58.8
108,701.02,61.9
109,701.03,83.6
110,702,45.3
111,703,55.8
112,704,50.5
113,705,35.2
114,706,22.5
115,707,28.2
116,710,89.1
117,711,71.9
118,712,42.9
119,713,45.1
120,714,51.9
121,715,48.8
122,716,18.3
123,717,10.4
124,718,19.5
125,801,53.2
126,802.01,81.4
127,802.02,66.7
128,803,44.6
129,804,26.4
130,810,91.5
131,811,93.4
132,812.01,93
133,812.02,63
134,813,64.5
135,814.01,77.3
136,814.02,71.5
137,814.03,77.5
138,815,93.7
139,816,77.3
140,817,88.6
141,818,65.2
142,819,19.2
143,901,18.6
144,902,21.4
145,903,20.2
146,1001,30.2
147,1002,29
148,1003,31.4
149,1004,24.1
150,1005,16
151,1006,20.9
152,1007,26.4
153,1101,24.2
154,1102,33.4
155,1103,27.6
156,1104,32.5
157,1105.01,26.4
158,1105.02,32.9
159,1201,11
160,1202,11.1
161,1203,18.5
162,1204,29.4
163,1301,14.3
164,1302,23.3
165,1303,31.6
166,1401,27
167,1402,62.5
168,1403.01,21.4
169,1403.02,27.3
170,1404,28.6
171,1405,12
172,1406.01,28.9
173,1406.02,20.6
174,1407.01,32.7
175,1407.02,23.7
176,1408,31.5
177,1502,31.4
178,1503,30.9
179,1504.01,26.7
180,1504.02,35.8
181,1505.01,33.1
182,1505.02,25.6
183,1506,30.5
184,1507,29.7
185,1508,24.6
186,1510.01,27.2
187,1510.02,26.7
188,1511,20.9
189,1512,21.8
190,1601,24.5
191,1602,28.4
192,1603,53.5
193,1604,27.9
194,1605.01,27.8
195,1605.02,21.3
196,1606.01,26.6
197,1606.02,44.7
198,1607,21.8
199,1608,31.6
200,1609,39.5
201,1610,28.1
202,1611,21.6
203,1612,27.6
204,1613,39.9
205,1701,72.4
206,1702,30.2
207,1703,23.6
208,1704,25.7
209,1705,28.7
210,1706,27.1
211,1707,28.1
212,1708,32
213,1709,19.2
214,1710,37.8
215,1711,28.9
216,1801,25.8
217,1901,21.1
218,1902,23.5
219,1903,31.3
220,1904.01,28.7
221,1904.02,17.7
222,1906.01,34.1
223,1906.02,21
224,1907.01,13.9
