GEOID,MHI_2017
17031010100,33750
17031010201,40841
17031010202,36563
17031010300,36870
17031010400,39634
17031010501,31985
17031010502,33721
17031010503,19671
17031010600,40576
17031010701,60798
17031010702,39604
17031020100,49318
17031020200,87835
17031020301,53254
17031020302,69861
17031020400,59705
17031020500,40090
17031020601,39282
17031020602,50048
17031020701,76635
17031020702,44990
17031020801,50230
17031020802,47207
17031020901,42942
17031020902,36660
17031030101,43167
17031030102,43750
17031030103,49233
17031030104,38871
17031030200,64089
17031030300,37868
17031030400,45850
17031030500,79587
17031030601,39015
17031030603,29088
17031030604,30486
17031030701,36467
17031030702,73967
17031030703,40670
17031030706,41331
17031030800,72296
17031030900,88000
17031031000,72964
17031031100,65462
17031031200,35295
17031031300,42690
17031031400,68899
17031031501,26915
17031031502,24304
17031031700,44555
17031031800,69167
17031031900,61211
17031032100,52335
17031040100,79688
17031040201,68082
17031040202,39601
17031040300,96369
17031040401,90243
17031040402,81496
17031040600,85745
17031040700,76750
17031040800,74688
17031040900,76607
17031050100,95750
17031050200,74375
17031050300,79183
17031050500,121591
17031050600,104955
17031050700,128676
17031050800,111190
17031050900,87625
17031051000,106310
17031051100,124583
17031051200,120865
17031051300,149271
17031051400,100795
17031060100,91298
17031060200,69650
17031060300,114412
17031060400,123984
17031060500,41818
17031060800,85132
17031060900,57305
17031061000,108625
17031061100,107250
17031061200,106823
17031061500,117656
17031061800,65469
17031061901,58375
17031061902,63897
17031062000,74250
17031062100,91375
17031062200,108313
17031062300,136250
17031062400,138977
17031062500,128438
17031062600,144211
17031062700,135096
17031062800,140972
17031062900,116250
17031063000,95625
17031063100,92933
17031063200,64322
17031063301,48906
17031063302,74805
17031063303,78580
17031063400,95488
17031070101,69222
17031070102,67000
17031070103,57963
17031070200,84668
17031070300,120139
17031070400,90125
17031070500,120885
17031070600,151250
17031070700,122571
17031071000,121840
17031071100,116483
17031071200,104115
17031071300,103571
17031071400,71701
17031071500,89167
17031071600,120240
17031071700,137500
17031071800,149028
17031080100,118500
17031080201,79869
17031080202,81794
17031080300,117687
17031080400,30625
17031081000,51905
17031081100,72303
17031081201,88088
17031081202,113798
17031081300,85938
17031081401,62321
17031081402,109801
17031081403,102856
17031081500,103750
17031081600,103060
17031081700,95545
17031081800,116705
17031081900,139063
17031090100,94375
17031090200,100808
17031090300,89205
17031100100,66265
17031100200,70549
17031100300,73558
17031100400,83594
17031100500,82865
17031100600,64151
17031100700,77324
17031110100,74440
17031110200,80240
17031110300,74537
17031110400,70344
17031110501,80098
17031110502,55194
17031120100,124338
17031120200,108954
17031120300,121793
17031120400,82167
17031130100,40503
17031130200,77800
17031130300,58214
17031140100,39961
17031140200,42694
17031140301,40192
17031140302,72577
17031140400,73906
17031140500,56278
17031140601,45769
17031140602,60508
17031140701,60100
17031140702,51324
17031140800,69545
17031150200,64545
17031150300,74106
17031150401,70203
17031150402,64545
17031150501,65893
17031150502,57857
17031150600,65543
17031150700,69265
17031150800,54414
17031151001,49674
17031151002,48225
17031151100,58269
17031151200,54671
17031160100,65161
17031160200,74219
17031160300,51511
17031160400,49216
17031160501,56477
17031160502,58776
17031160601,67113
17031160602,59821
17031160700,65281
17031160800,57261
17031160900,80551
17031161000,73342
17031161100,101848
17031161200,61466
17031161300,45616
17031170100,39643
17031170200,71660
17031170300,59554
17031170400,56645
17031170500,78650
17031170600,71875
17031170700,74414
17031170800,67391
17031170900,49508
17031171000,67308
17031171100,65952
17031180100,59286
17031190100,35565
17031190200,55842
17031190300,46010
17031190401,56016
17031190402,46993
17031190601,50781
17031190602,51986
17031190701,44797
17031190702,40761
17031190800,42279
17031190900,39706
17031191000,48125
17031191100,47750
17031191200,44167
17031191301,42910
17031191302,43403
17031200100,44419
17031200200,37346
17031200300,40385
17031200401,38309
17031200402,42135
17031210100,56705
17031210400,42364
17031210501,42990
17031210502,44750
17031210601,61141
17031210602,54700
17031210700,51758
17031210800,59615
17031210900,54688
17031220300,85288
17031220400,88043
17031220500,80433
17031220601,58558
17031220602,44091
17031220701,67415
17031220702,61186
17031220901,41047
17031220902,46574
17031221000,38250
17031221100,53846
17031221200,82941
17031221300,62679
17031221400,70313
17031221500,58268
17031221600,107841
17031222200,130990
17031222500,58000
17031222600,65341
17031222700,62100
17031222800,40435
17031222900,43750
17031230100,51875
17031230200,44129
17031230300,41033
17031230400,56250
17031230500,31473
17031230600,34716
17031230700,39298
17031230800,68250
17031230900,38611
17031231100,33750
17031231200,29120
17031231500,28013
17031240200,124545
17031240300,116042
17031240500,151369
17031240600,103333
17031240700,57321
17031240800,44444
17031240900,39219
17031241000,59327
17031241100,79803
17031241200,104750
17031241300,117396
17031241400,101480
17031241500,123304
17031241600,91983
17031242000,64559
17031242100,125217
17031242200,92083
17031242300,86976
17031242400,77311
17031242500,64167
17031242600,56314
17031242700,31375
17031242800,80679
17031242900,67500
17031243000,73320
17031243100,101458
17031243200,108750
17031243300,76339
17031243400,87708
17031243500,101375
17031250200,45859
17031250300,31551
17031250400,34564
17031250500,74347
17031250600,45469
17031250700,31370
17031250800,38462
17031251000,37000
17031251100,21274
17031251200,44428
17031251300,29255
17031251400,29518
17031251500,21567
17031251600,33189
17031251700,31250
17031251800,23295
17031251900,20092
17031252000,21879
17031252101,21339
17031252102,39243
17031252201,33295
17031252202,26826
17031260100,15778
17031260200,33750
17031260300,30234
17031260400,18218
17031260500,29545
17031260600,20882
17031260700,23367
17031260800,22083
17031260900,22000
17031261000,24688
17031270500,16103
17031271200,26098
17031271300,24878
17031271400,24271
17031271500,30729
17031271800,16477
17031280100,129148
17031280400,35275
17031280800,21250
17031280900,19485
17031281900,88708
17031282700,67467
17031282800,53438
17031283100,42917
17031283200,78750
17031283800,62548
17031290900,24071
17031291200,24650
17031291600,48180
17031292200,31902
17031292400,29018
17031292500,40324
17031300500,38047
17031300600,41286
17031300700,34153
17031300800,29844
17031300900,27859
17031301100,28135
17031301200,26076
17031301600,32375
17031301701,31775
17031301702,40417
17031301801,35784
17031301802,32500
17031301803,35960
17031310200,57273
17031310300,48542
17031310400,52379
17031310500,45781
17031310600,31991
17031310700,43173
17031310800,48243
17031310900,36913
17031320100,116587
17031320400,160833
17031320600,101311
17031330100,97897
17031330200,78925
17031340300,32321
17031340400,34712
17031340500,25242
17031340600,11622
17031350100,43548
17031350400,10980
17031351000,46850
17031351100,10825
17031351400,13149
17031351500,23700
17031360200,23594
17031380100,19328
17031380200,20536
17031380500,19358
17031380700,35833
17031381200,38370
17031381400,38167
17031381500,-
17031381700,-
17031381800,36375
17031381900,39400
17031390100,74318
17031390200,75375
17031390300,21769
17031390400,24848
17031390500,44231
17031390600,82159
17031390700,53015
17031400300,29417
17031400400,32310
17031400500,24907
17031400800,20959
17031410100,43723
17031410200,40029
17031410500,47614
17031410600,33712
17031410700,38516
17031410800,40469
17031410900,52788
17031411000,71268
17031411100,108750
17031411200,84333
17031420100,19855
17031420200,32303
17031420300,31849
17031420400,14389
17031420500,25781
17031420600,19801
17031420700,19042
17031420800,35476
17031421200,21792
17031430101,32292
17031430102,22725
17031430200,22419
17031430300,15902
17031430400,15469
17031430500,19129
17031430600,23300
17031430700,19093
17031430800,41875
17031430900,34286
17031431200,43871
17031431301,20625
17031431302,19756
17031431400,21781
17031440101,21623
17031440102,25116
17031440201,32143
17031440202,35242
17031440300,55259
17031440600,59924
17031440700,37500
17031440800,19833
17031440900,34050
17031450300,45156
17031460100,31094
17031460200,27925
17031460301,36182
17031460302,23345
17031460400,39151
17031460500,37168
17031460600,36161
17031460700,21306
17031461000,14385
17031470100,24821
17031480100,64191
17031480200,37381
17031480300,31953
17031480400,51520
17031480500,39329
17031490300,52500
17031490400,49881
17031490500,52464
17031490600,37127
17031490700,37245
17031490800,34723
17031490901,39750
17031490902,42481
17031491000,28472
17031491100,43382
17031491200,42400
17031491300,25912
17031491400,28774
17031500100,41570
17031500200,34038
17031500300,41587
17031510100,42632
17031510200,43289
17031510300,30625
17031520100,35365
17031520200,36228
17031520300,41465
17031520400,42227
17031520500,62203
17031520600,42764
17031530100,34667
17031530200,29539
17031530300,39816
17031530400,48036
17031530501,42422
17031530502,41696
17031530503,35074
17031530600,32674
17031540101,12660
17031540102,14439
17031550100,56445
17031550200,52841
17031560100,60781
17031560200,48333
17031560300,52313
17031560400,52969
17031560700,54440
17031560800,66643
17031560900,84652
17031561000,84863
17031561100,81763
17031570100,54792
17031570200,49107
17031570300,47500
17031570400,42986
17031570500,41875
17031580100,39688
17031580200,45179
17031580300,45853
17031580400,37462
17031580501,39087
17031580502,40191
17031580600,42360
17031580700,43553
17031580800,40238
17031590500,55667
17031590600,39005
17031590700,42792
17031600400,32500
17031600600,34069
17031600700,32301
17031600900,51607
17031610300,35325
17031610400,26580
17031610800,44353
17031611000,20813
17031611100,24972
17031611200,27697
17031611300,26786
17031611400,35016
17031611500,28333
17031611600,36014
17031611700,25074
17031611800,31138
17031611900,25231
17031612000,27212
17031612100,23438
17031620100,51296
17031620200,53214
17031620300,54299
17031620400,52000
17031630100,31016
17031630200,35625
17031630300,50051
17031630400,34486
17031630500,44063
17031630800,42855
17031630900,45880
17031640100,57045
17031640300,69600
17031640400,78730
17031640500,80125
17031640600,42274
17031640700,49938
17031640800,54722
17031650100,41250
17031650200,48851
17031650301,57245
17031650302,47477
17031650400,49135
17031650500,60459
17031660301,22057
17031660302,31994
17031660400,45550
17031660500,40000
17031660600,27426
17031660700,27344
17031660800,37690
17031660900,29125
17031661000,32374
17031661100,46050
17031670100,35000
17031670200,22625
17031670300,21230
17031670400,26289
17031670500,26087
17031670600,14848
17031670700,36058
17031670800,22083
17031670900,35592
17031671100,30577
17031671200,20909
17031671300,31429
17031671400,24306
17031671500,28403
17031671600,23203
17031671800,35962
17031671900,48095
17031672000,39191
17031680500,23354
17031680600,24464
17031680900,15612
17031681000,15201
17031681100,15806
17031681200,23302
17031681300,25735
17031681400,30357
17031690300,19904
17031690400,22078
17031690500,31923
17031690900,30071
17031691000,49297
17031691100,19125
17031691200,29405
17031691300,40658
17031691400,28813
17031691500,20027
17031700100,61925
17031700200,56779
17031700301,64118
17031700302,67776
17031700401,64776
17031700402,61369
17031700501,66619
17031700502,80625
17031710100,15524
17031710200,26934
17031710300,33281
17031710400,35581
17031710500,30793
17031710600,26696
17031710700,23026
17031710800,27367
17031710900,23929
17031711000,33664
17031711100,37377
17031711200,42667
17031711300,36307
17031711400,37434
17031711500,39188
17031720100,133636
17031720200,63295
17031720300,125625
17031720400,95481
17031720500,115417
17031720600,109390
17031720700,61438
17031730100,50385
17031730201,26706
17031730202,48564
17031730300,43897
17031730400,60481
17031730500,57820
17031730600,41307
17031730700,49688
17031740100,89984
17031740200,97450
17031740300,110268
17031740400,82128
17031750100,38859
17031750200,66326
17031750300,85888
17031750400,93188
17031750500,55485
17031750600,34470
17031760801,55500
17031760802,51595
17031760803,41545
17031770201,58062
17031770202,55156
17031770300,73750
17031770400,63900
17031770500,42383
17031770601,65579
17031770602,59274
17031770700,58095
17031770800,60017
17031770901,65275
17031770902,58718
17031800100,"250,000+"
17031800200,187279
17031800300,186136
17031800400,"250,000+"
17031800500,205000
17031800600,210000
17031800700,184459
17031800800,88534
17031800900,119213
17031801000,106193
17031801100,158776
17031801200,179345
17031801300,161625
17031801400,138798
17031801500,104022
17031801601,105482
17031801603,46910
17031801605,135744
17031801606,109185
17031801607,83177
17031801608,108908
17031801701,160391
17031801702,107875
17031801800,128487
17031801901,85128
17031801902,145556
17031802002,106343
17031802003,97688
17031802004,45669
17031802100,148594
17031802200,99821
17031802300,104784
17031802402,61655
17031802403,67727
17031802404,55318
17031802503,76110
17031802504,79185
17031802505,52102
17031802506,62500
17031802605,83750
17031802607,110000
17031802608,56906
17031802609,52920
17031802610,83750
17031802701,83750
17031802702,77669
17031802801,92760
17031802802,90660
17031802900,125042
17031803005,75156
17031803007,103400
17031803008,102063
17031803010,106667
17031803012,74375
17031803013,81500
17031803014,60708
