GEOID,unemployment_2019
17031292400,6.6
17031292500,14.8
17031300500,7
17031300600,10.2
17031300700,10.5
17031300800,8.7
17031300900,3.8
17031301100,8.3
17031301200,9.4
17031301600,12.5
17031301701,7.1
17031301702,8.6
17031301801,8.9
17031301802,14.2
17031301803,8
17031310200,7
17031310300,8.8
17031310400,0.9
17031310500,3.3
17031310600,5.8
17031310700,7
17031310800,4.2
17031310900,7.7
17031320100,3.9
17031320400,11.3
17031320600,3.2
17031330100,0.1
17031330200,2.1
17031340300,4.7
17031340400,4.8
17031340500,9.4
17031340600,41.5
17031350100,4.1
17031350400,32.2
17031351000,5.1
17031351100,41.9
17031351400,27.4
17031351500,18.1
17031360200,10.4
17031380100,18.8
17031380200,4.8
17031380500,20.7
17031380700,22.9
17031381200,8.9
17031381400,9.4
17031381500,13
17031381700,-
17031381800,6.4
17031381900,9.7
17031390100,3.9
17031390200,6.5
17031390300,23.3
17031390400,19.7
17031390500,3.8
17031390600,7
17031390700,7.2
17031400300,27.2
17031400400,24.3
17031400500,9.7
17031400800,24.1
17031410100,5.3
17031410200,8.3
17031410500,1
17031410600,6.7
17031410700,5.3
17031410800,3.2
17031410900,6
17031411000,9.5
17031411100,3.7
17031411200,5
17031420100,22.9
17031420200,7
17031420300,18.8
17031420400,18.5
17031420500,32.1
17031420600,28.4
17031420700,38.4
17031420800,9.6
17031421200,15.8
17031430101,18
17031430102,8.6
17031430200,20.5
17031430300,26.7
17031430400,16.1
17031430500,20.7
17031430600,29.4
17031430700,9.9
17031430800,10.4
17031430900,17.6
17031431200,11.9
17031431301,18.6
17031431302,23
17031431400,15.5
17031440101,24
17031440102,9.5
17031440201,11.1
17031440202,15.6
17031440300,17.9
17031440600,10.6
17031440700,21.4
17031440800,19.4
17031440900,11.2
17031450300,13.2
17031460100,24.8
17031460200,13.5
17031460301,17
17031460302,21.7
17031460400,9.3
17031460500,7.9
17031460600,25.5
17031460700,27.6
17031461000,13.3
17031470100,20.1
17031480100,8.5
17031480200,14.1
17031480300,8.1
17031480400,7.4
17031480500,10.9
17031490300,12.4
17031490400,9.6
17031490500,22
17031490600,17.3
17031490700,23.5
17031490800,22.9
17031490901,20.7
17031490902,9
17031491000,34.6
17031491100,14.6
17031491200,18.9
17031491300,16.5
17031491400,36.1
17031500100,6.8
17031500200,27
17031500300,17.5
17031510100,21.4
17031510200,17.4
17031510300,28.2
17031520100,5.9
17031520200,16
17031520300,16.1
17031520400,11
17031520500,7.6
17031520600,9.1
17031530100,20.5
17031530200,23.8
17031530300,15.8
17031530400,12
17031530501,9.9
17031530502,15.8
17031530503,26.6
17031530600,10
17031540101,28.6
17031540102,32.8
17031550100,6.6
17031550200,5.4
17031560100,9.2
17031560200,31.5
17031560300,12.4
17031560400,10.3
17031560700,11.6
17031560800,5.9
17031560900,5.4
17031561000,1.4
17031561100,7.2
17031570100,7.4
17031570200,6.6
17031570300,8.1
17031570400,8.7
17031570500,10.9
17031580100,7.9
17031580200,6.2
17031580300,12.1
17031580400,4.7
17031580501,11.2
17031580502,10.2
17031580600,14.5
17031580700,13.1
17031580800,10.7
17031590500,11
17031590600,8.1
17031590700,6.7
17031600400,9.1
17031600600,8.3
17031600700,11.8
17031600900,6.2
17031610300,10.9
17031610400,16.9
17031610800,13.2
17031611000,21.4
17031611100,21.1
17031611200,11
17031611300,20.4
17031611400,13.1
17031611500,16
17031611600,22.8
17031611700,24.9
17031611800,23
17031611900,21.1
17031612000,29.9
17031612100,24.3
17031620100,12.5
17031620200,8.4
17031620300,15.5
17031620400,4.7
17031630100,19.1
17031630200,11.7
17031630300,13.4
17031630400,19.1
17031630500,6.4
17031630800,15.9
17031630900,12.6
17031640100,5.2
17031640300,10
17031640400,7.8
17031640500,3
17031640600,13.9
17031640700,10
17031640800,9.3
17031650100,10.7
17031650200,13.7
17031650301,8.1
17031650302,9
17031650400,16.1
17031650500,9.5
17031660301,26
17031660302,19.9
17031660400,10.6
17031660500,13
17031660600,25.2
17031660700,21
17031660800,9.9
17031660900,25.6
17031661000,30.4
17031661100,14.3
17031670100,31.9
17031670200,24.9
17031670300,12.1
17031670400,25.6
17031670500,26.1
17031670600,26.4
17031670700,24.1
17031670800,19.7
17031670900,24
17031671100,14.4
17031671200,44.1
17031671300,34.6
17031671400,21.1
17031671500,31.2
17031671600,34.1
17031671800,31.1
17031671900,10.6
17031672000,29.4
17031680500,35.7
17031680600,25.7
17031680900,23.5
17031681000,20
17031681100,27.4
17031681200,30.2
17031681300,32.3
17031681400,18.8
17031690300,12.9
17031690400,14.5
17031690500,29.3
17031690900,19.1
17031691000,16.2
17031691100,26.1
17031691200,20.9
17031691300,26.9
17031691400,10.6
17031691500,39.7
17031700100,5.3
17031700200,11.9
17031700301,9
17031700302,10.4
17031700401,9.1
17031700402,18.6
17031700501,9.8
17031700502,17.9
17031710100,24.8
17031710200,17.8
17031710300,26.4
17031710400,10.8
17031710500,17.3
17031710600,9
17031710700,14.3
17031710800,24.7
17031710900,17.1
17031711000,16.9
17031711100,17.2
17031711200,8.7
17031711300,17.1
17031711400,10.3
17031711500,18.3
17031720100,4.8
17031720200,5.3
17031720300,3.7
17031720400,4.3
17031720500,1.9
17031720600,5.2
17031720700,5.1
17031730100,20.1
17031730201,15.6
17031730202,17.5
17031730300,13.1
17031730400,7.7
17031730500,20.4
17031730600,15
17031730700,16.9
17031740100,8.3
17031740200,2.7
17031740300,2.8
17031740400,4.3
17031750100,19.9
17031750200,3.1
17031750300,1.9
17031750400,7.6
17031750500,16.5
17031750600,8.1
17031760801,5.9
17031760802,2.3
17031760803,5.9
17031770201,3.4
17031770202,8.1
17031770300,3
17031770400,2.6
17031770500,3.2
17031770601,1.5
17031770602,7.5
17031770700,4.8
17031770800,3.7
17031770901,4.3
17031770902,2.4
17031800100,1.4
17031800200,3
17031800300,1.7
17031800400,2.4
17031800500,2.7
17031800600,5.3
17031800700,4.6
17031800800,0.8
17031800900,4.2
17031801000,4.3
17031801100,2.7
17031801200,5.3
17031801300,5.1
17031801400,2.3
17031801500,4.7
17031801601,3.7
17031801603,5.3
17031801605,0.8
17031801606,2.1
17031801607,2.5
17031801608,3.1
17031801701,2.2
17031801702,3.5
17031801800,3.3
17031801901,6
17031801902,0.8
17031802002,3
17031802003,4.4
17031802004,5.6
17031802100,3.8
17031802200,5.4
17031802300,2.6
17031802402,2.2
17031802403,4
17031802404,2.4
17031802503,5.3
17031802504,2
17031802505,2.3
17031802506,2.8
17031802605,4.1
17031802607,5.1
17031802608,4.8
17031802609,2.1
17031802610,1.7
17031802701,3.1
17031802702,3
17031802801,3.5
17031802802,3.2
17031802900,2.4
17031803005,4.9
17031803007,4.1
17031803008,2.1
17031803010,4.3
17031803012,4.7
17031803013,1.6
17031803014,4.5
17031803015,3
17031803016,2.3
17031803017,1.3
17031803100,1.6
17031803200,3.8
17031803300,3.4
17031803400,2.7
17031803500,4.5
17031803603,1.3
17031803604,2.3
17031803605,4
17031803606,4
17031803607,3.8
17031803608,3.8
17031803610,1.8
17031803611,2.7
17031803612,4.1
17031803701,2.4
17031803702,6
17031803800,3.1
17031803901,4.9
17031803902,1.4
17031804000,5
17031804102,3.1
17031804104,5
17031804105,1.3
17031804106,2.4
17031804108,6.5
17031804109,2
17031804201,2.6
17031804202,1
17031804305,2.7
17031804306,3.9
17031804308,4
17031804309,7
17031804310,3.5
17031804311,2.8
17031804403,4
17031804404,6.1
17031804405,5.8
17031804406,3.8
17031804505,0.6
17031804506,1.5
17031804507,2.1
17031804508,3
17031804509,3.4
17031804510,9.2
17031804511,1
17031804603,2.9
17031804606,2.6
17031804607,3.6
17031804608,4.6
17031804609,4.8
17031804610,3.2
17031804611,4
17031804701,5
17031804705,2.9
17031804706,1.8
17031804709,3.2
17031804710,2.5
17031804711,7.1
17031804712,4.9
17031804713,1.6
17031804714,6
17031804715,4.6
17031804716,6.5
17031804803,4.1
17031804804,3.7
17031804805,2.1
17031804806,4.4
17031804807,0.9
17031804808,5.7
17031804809,2.4
17031804810,4
17031804901,2.1
17031804902,5.8
17031805001,2.9
17031805002,6.7
17031805105,3.2
17031805106,2.6
17031805107,6
17031805108,6.2
17031805109,2.5
17031805110,0.8
17031805111,3.3
17031805112,3.1
17031805201,3.2
17031805202,3.3
17031805301,3.1
17031805302,0.9
17031805401,3.8
17031805402,2.1
17031805501,2.9
17031805502,1.9
17031805600,3.5
17031805701,3.3
17031805702,2.7
17031805801,1.7
17031805802,3.1
17031805901,2.6
17031805902,5.8
17031806001,4.7
17031806002,3.9
17031806003,2.4
17031806004,9
17031806102,6.9
17031806103,2.8
17031806104,5.1
17031806201,6.2
17031806202,3
17031806300,4.3
17031806400,5
17031806501,8
17031806502,4.2
17031806600,2.4
17031806700,3.9
17031806801,5.6
17031806802,8.1
17031806900,4.4
17031807000,3.9
17031807100,2.3
17031807200,5.4
17031807300,3.2
17031807400,2.6
17031807500,6.5
17031807600,5
17031807700,3
17031807800,2.6
17031807900,2.5
17031808001,3.8
17031808002,4.8
17031808100,3.9
17031808200,2.8
17031808301,3.1
17031808302,2.1
17031808400,3.4
17031808500,3.9
17031808600,0.9
17031808702,9.5
17031808800,4.1
17031808900,1.2
17031809000,1.9
17031809100,1
17031809200,6.8
17031809300,1.3
17031809400,2.6
17031809500,5.6
17031809600,12.5
17031809700,3
17031809800,4.6
17031809900,4
17031810000,3.9
17031810100,3.6
17031810200,2.4
17031810301,5.4
17031810302,3
17031810400,1.5
17031810501,2.3
17031810502,5.7
17031810600,4
17031810701,4.6
17031810702,1.2
17031810800,4.1
17031810900,6.8
17031811000,4.1
17031811100,6.7
17031811200,3.7
17031811301,7
17031811302,7.3
17031811401,7.7
17031811402,4.7
17031811500,7.5
17031811600,6.5
17031811701,2
17031811702,6.1
17031811800,3.6
17031811900,2.1
17031812000,2.3
17031812100,5.6
17031812200,4.6
17031812301,5.4
17031812302,5.1
17031812400,5.1
17031812500,4.9
17031812600,6
17031812700,4.7
17031812801,4.2
17031812802,5.8
17031812900,6.3
17031813000,4.4
17031813100,4.7
17031813200,1.7
17031813301,3.9
17031813302,4.5
17031813400,5.6
17031813500,3
17031813600,6.2
17031813701,10.3
17031813702,1.9
17031813801,6
17031813802,4.5
17031813900,4
17031814000,3.5
17031814100,1.2
17031814200,7.6
17031814300,12.5
17031814400,5.3
17031814500,4.6
17031814600,3.3
17031814700,3
17031814800,4.9
17031814900,6.4
17031815000,2.4
17031815100,2.6
17031815200,4
17031815300,4.5
17031815400,6.1
17031815500,4.1
17031815600,6
17031815701,8.4
17031815702,5.9
17031815800,7.3
17031815900,3.8
17031816000,3.8
17031816100,8.1
17031816200,6.9
17031816300,6.3
17031816401,2.1
17031816402,3.4
17031816500,4.5
17031816600,6.7
17031816700,4.9
17031816800,7.3
17031816900,9.3
17031817000,5.5
17031817101,11
17031817102,10.7
17031817200,16.4
17031817300,10.2
17031817400,6.3
17031817500,15.4
17031817600,15.6
17031817700,7.6
17031817900,13.7
17031818000,8.5
17031818100,4.3
17031818200,4.5
17031818300,8.5
17031818401,3.7
17031818402,4.3
17031818500,5.5
17031818600,7.1
17031818700,1.2
17031818800,3.8
17031818900,1.2
17031819000,3
17031819100,7.8
17031819200,4.7
17031819300,1.4
17031819400,3.4
17031819500,2.4
17031819600,3.9
17031819700,4.6
17031819801,3.6
17031819802,0.3
17031819900,2.6
17031820000,6.7
17031820101,2.5
17031820103,3
17031820104,3.2
17031820201,4.2
17031820202,5.4
17031820300,6.4
17031820400,11
17031820501,3.4
17031820502,4
17031820603,7.3
17031820604,4.9
17031820605,10
17031820606,4.5
17031820700,2.3
17031820800,5.3
17031820901,5.4
17031820902,5.4
17031821001,9.1
17031821002,3.7
17031821101,7.3
17031821102,7.5
17031821200,8.3
17031821300,12.4
17031821401,12.4
17031821402,8.5
17031821500,15.4
17031821600,2.4
17031821700,3.1
17031821800,3.6
17031821900,4.9
17031822000,5.4
17031822101,5.5
17031822102,6.4
17031822200,5.5
17031822301,5.3
17031822302,4.8
17031822400,5.2
17031822500,8.5
17031822601,2.1
17031822602,5.4
17031822701,8.4
17031822702,8.2
17031822801,5.6
17031822802,9.1
17031822900,7.2
17031823001,9.5
17031823002,3.4
17031823101,7.4
17031823102,5.2
17031823200,5.2
17031823302,8.8
17031823303,5.2
17031823304,11.5
17031823400,8.8
17031823500,7.8
17031823602,2.7
17031823603,10.8
17031823604,4.7
17031823605,4.2
17031823702,9.2
17031823703,8.3
17031823704,7
17031823705,5.9
17031823801,5.6
17031823803,1.8
17031823805,3.6
17031823806,8.3
17031823901,4.7
17031823903,7.1
17031823904,3.9
17031824003,4.9
17031824004,6.5
17031824005,2.2
17031824006,3
17031824105,0.7
17031824106,4.9
17031824107,7.8
17031824108,2.9
17031824113,5
17031824114,3.3
17031824115,1.9
17031824116,4.5
17031824117,4.6
17031824119,4.2
17031824120,4.5
17031824121,6.9
17031824122,3.2
17031824123,4.5
17031824300,14.7
17031824400,6.2
17031824503,5.4
17031824505,5.4
17031824506,5.4
17031824507,8.6
17031824601,4.5
17031824602,3.8
17031824701,6.7
17031824702,6.5
17031824800,13.1
17031824900,13.8
17031825000,6.8
17031825200,4.3
17031825302,6.7
17031825303,7.3
17031825304,3.1
17031825400,7.3
17031825501,10.2
17031825503,6.8
17031825504,8.6
17031825505,19.2
17031825600,13.8
17031825700,11.9
17031825801,19.4
17031825802,18.2
17031825803,17.8
17031825900,11.4
17031826000,12.8
17031826100,18.1
17031826201,8.5
17031826202,20.8
17031826301,13.4
17031826303,20.6
17031826304,21.4
17031826401,20.9
17031826402,13.9
17031826500,14.8
17031826600,19.4
17031826700,22.3
17031826800,13.9
17031826901,14.5
17031826902,27.2
17031827000,16
17031827100,11.5
17031827200,12.3
17031827300,7.8
17031827400,18.6
17031827500,14.8
17031827600,22
17031827700,15.4
17031827801,11.9
17031827802,7.1
17031827804,17.1
17031827805,11.8
17031827901,12.7
17031827902,12.8
17031828000,9
17031828100,10.1
17031828201,8.4
17031828202,7.1
17031828300,6.5
17031828401,3.9
17031828402,9.4
17031828503,11.5
17031828504,20.4
17031828505,12.4
17031828506,12.8
17031828601,3.3
17031828602,4.1
17031828701,12.2
17031828702,12.9
17031828801,6
17031828802,5.3
17031828900,20.9
17031829000,28.5
17031829100,17.4
17031829200,8.4
17031829301,12.4
17031829302,10.6
17031829401,24.8
17031829402,2.3
17031829500,11
17031829600,10.2
17031829700,21.7
17031829800,5
17031829901,13.7
17031829902,21.4
17031830001,4.7
17031830003,12.3
17031830004,6.6
17031830005,10.3
17031830006,7.1
17031830007,21.4
17031830008,8.6
17031830100,2.5
17031830201,11
17031830202,8.4
17031830300,13.9
17031830400,9.3
17031830500,10.3
17031830600,6.2
17031830700,4.3
17031830800,7.7
17031830900,0.9
17031831000,1.7
17031831100,5.4
17031831200,4.7
17031831300,10.5
17031831400,6.3
17031831500,5.2
17031831600,7.8
17031831700,10.3
17031831800,5.8
17031831900,1.4
17031832000,5.7
17031832100,3.9
17031832200,0.9
17031832300,1.9
17031832400,2.9
17031832500,3.5
17031832600,1
17031832900,9.9
17031833000,4.8
17031833100,2
17031833300,4.8
17031833900,14.9
17031834000,13.3
17031834200,10.4
17031834300,15.4
17031834400,12.9
17031834500,18.5
17031834600,16.8
17031834700,24.7
17031834800,29.6
17031834900,33.6
17031835000,25.3
17031835100,9.1
17031835200,9.9
17031835500,23.1
17031835600,27.5
17031835700,45.9
17031835800,16.4
17031835900,13.2
17031836000,14.5
17031836100,17.3
17031836200,14.5
17031836300,11.4
17031836400,18.5
