,GEOID,business_licenses_2017
0,17031010201,99
1,17031020200,83
2,17031020602,277
3,17031030706,148
4,17031040402,311
5,17031040800,353
6,17031051000,369
7,17031063302,423
8,17031070400,487
9,17031081100,147
10,17031081500,441
11,17031090300,54
12,17031100100,65
13,17031100500,56
14,17031130200,245
15,17031151100,264
16,17031160300,385
17,17031221200,473
18,17031241200,243
19,17031250700,209
20,17031252102,142
21,17031280100,318
22,17031282800,459
23,17031292200,158
24,17031320100,128
25,17031320400,114
26,17031351400,140
27,17031390400,73
28,17031390500,59
29,17031430200,75
30,17031440700,92
31,17031460100,97
32,17031530400,175
33,17031540102,185
34,17031550100,26
35,17031560100,410
36,17031630100,222
37,17031650500,389
38,17031670100,125
39,17031691100,29
40,17031710400,95
41,17031740100,54
42,17031820502,109
43,17031821402,1
44,17031823001,1
45,17031829500,3
46,17031830006,1
47,17031830700,158
48,17031831500,397
49,17031832300,124
50,17031834400,89
51,17031836800,70
52,17031837400,134
53,17031838200,180
54,17031839100,193
55,17031842300,183
56,17031980000,28
57,17043841324,2
58,17043842400,1
59,17097863201,1
