GEOID,perc_hs_grad_2019
17031292400,71.4
17031292500,77
17031300500,44.5
17031300600,60.5
17031300700,44.2
17031300800,46.2
17031300900,43.8
17031301100,57.8
17031301200,63.6
17031301600,57.3
17031301701,60.6
17031301702,57.3
17031301801,62
17031301802,55.5
17031301803,64.1
17031310200,86.4
17031310300,74.1
17031310400,87.7
17031310500,70.2
17031310600,71.2
17031310700,68.4
17031310800,65.7
17031310900,65.8
17031320100,100
17031320400,99.2
17031320600,100
17031330100,96.6
17031330200,94.4
17031340300,60.4
17031340400,74.2
17031340500,70.5
17031340600,61.7
17031350100,99.6
17031350400,77.3
17031351000,97.2
17031351100,84.1
17031351400,82.7
17031351500,93
17031360200,91.3
17031380100,71.4
17031380200,89.2
17031380500,83.3
17031380700,81.4
17031381200,87.8
17031381400,92.8
17031381500,84.8
17031381700,-
17031381800,90.8
17031381900,92.8
17031390100,92.8
17031390200,94.5
17031390300,87.8
17031390400,90.1
17031390500,98.2
17031390600,98.3
17031390700,97.3
17031400300,86.3
17031400400,80.4
17031400500,84.6
17031400800,74.6
17031410100,95.2
17031410200,97.1
17031410500,94.5
17031410600,93.6
17031410700,92.4
17031410800,96.9
17031410900,96.1
17031411000,97.8
17031411100,96.5
17031411200,96.9
17031420100,87.1
17031420200,87.1
17031420300,95
17031420400,85.5
17031420500,89.6
17031420600,88
17031420700,80.9
17031420800,88
17031421200,82.6
17031430101,92.9
17031430102,91.5
17031430200,89.2
17031430300,93.1
17031430400,89.5
17031430500,80.6
17031430600,93.2
17031430700,85.5
17031430800,96
17031430900,89
17031431200,94.9
17031431301,89.1
17031431302,89.7
17031431400,89.8
17031440101,77.1
17031440102,86.7
17031440201,91.2
17031440202,89.4
17031440300,91.5
17031440600,91.7
17031440700,93.3
17031440800,84.9
17031440900,84.9
17031450300,86.8
17031460100,86.3
17031460200,75.5
17031460301,74.6
17031460302,82
17031460400,93.2
17031460500,93.2
17031460600,81.8
17031460700,62.8
17031461000,71.4
17031470100,84.6
17031480100,93.8
17031480200,90.7
17031480300,96.5
17031480400,92.9
17031480500,86.8
17031490300,92.5
17031490400,95.4
17031490500,89.9
17031490600,83.6
17031490700,86.3
17031490800,90.5
17031490901,81.2
17031490902,86.5
17031491000,75.9
17031491100,84.7
17031491200,92.6
17031491300,77.6
17031491400,81.1
17031500100,92.4
17031500200,86.4
17031500300,87.6
17031510100,66.3
17031510200,83.2
17031510300,85.2
17031520100,56.7
17031520200,77.7
17031520300,61.6
17031520400,75.3
17031520500,78
17031520600,75.7
17031530100,60
17031530200,79.1
17031530300,87.6
17031530400,88.2
17031530501,89.8
17031530502,89.1
17031530503,89
17031530600,95.3
17031540101,85
17031540102,83.4
17031550100,81.6
17031550200,89.1
17031560100,71.7
17031560200,85.6
17031560300,75.6
17031560400,60.4
17031560700,80.7
17031560800,85.5
17031560900,89.1
17031561000,89.5
17031561100,84.8
17031570100,63.8
17031570200,70.9
17031570300,70.9
17031570400,69.6
17031570500,73.5
17031580100,75.8
17031580200,62.6
17031580300,54.6
17031580400,69.7
17031580501,65.9
17031580502,67.9
17031580600,66.1
17031580700,62.2
17031580800,58.1
17031590500,78.7
17031590600,75.6
17031590700,71.4
17031600400,81.5
17031600600,64.1
17031600700,83.6
17031600900,89.4
17031610300,60.6
17031610400,56
17031610800,92.1
17031611000,67.4
17031611100,80.8
17031611200,75.2
17031611300,62
17031611400,64.8
17031611500,71.6
17031611600,76.2
17031611700,74.1
17031611800,80.6
17031611900,73.5
17031612000,80.5
17031612100,72.1
17031620100,75.7
17031620200,73.3
17031620300,65
17031620400,72.7
17031630100,81.1
17031630200,70.7
17031630300,72.6
17031630400,68.4
17031630500,69.6
17031630800,65.9
17031630900,67.7
17031640100,86.6
17031640300,89.9
17031640400,81.7
17031640500,90.1
17031640600,79.9
17031640700,83.5
17031640800,82.9
17031650100,68.3
17031650200,72.1
17031650301,77.1
17031650302,62
17031650400,73.3
17031650500,77.7
17031660301,74.6
17031660302,65.9
17031660400,57.5
17031660500,71.3
17031660600,73.3
17031660700,65.9
17031660800,76
17031660900,89.3
17031661000,80.6
17031661100,77.6
17031670100,69.2
17031670200,79.1
17031670300,82.9
17031670400,67.2
17031670500,75.8
17031670600,79.6
17031670700,86.7
17031670800,68.7
17031670900,93.4
17031671100,82.1
17031671200,74.8
17031671300,79.3
17031671400,76.2
17031671500,80.4
17031671600,75.4
17031671800,85.5
17031671900,71.9
17031672000,85.3
17031680500,82
17031680600,67.1
17031680900,73.9
17031681000,74.6
17031681100,73.1
17031681200,78.6
17031681300,80.9
17031681400,78.1
17031690300,84
17031690400,83.2
17031690500,74.3
17031690900,88.1
17031691000,85.4
17031691100,88.8
17031691200,85.6
17031691300,92
17031691400,92.1
17031691500,81.4
17031700100,77.9
17031700200,78.8
17031700301,74.2
17031700302,79.2
17031700401,85.4
17031700402,80.9
17031700501,93.8
17031700502,93.1
17031710100,83.2
17031710200,81.1
17031710300,86.5
17031710400,81.9
17031710500,89.8
17031710600,86.6
17031710700,84.8
17031710800,80.3
17031710900,86.4
17031711000,84.4
17031711100,78.8
17031711200,85.9
17031711300,80.9
17031711400,88.9
17031711500,85
17031720100,97
17031720200,96.4
17031720300,97.9
17031720400,97.7
17031720500,97
17031720600,97.6
17031720700,92.9
17031730100,89.9
17031730201,89.3
17031730202,94.9
17031730300,83.9
17031730400,83.7
17031730500,88.2
17031730600,92.3
17031730700,84.5
17031740100,96.8
17031740200,94.8
17031740300,98.3
17031740400,96.3
17031750100,89.8
17031750200,99.4
17031750300,98.3
17031750400,96.7
17031750500,87.9
17031750600,90.8
17031760801,93.1
17031760802,89.2
17031760803,87.9
17031770201,93.4
17031770202,93.6
17031770300,92.4
17031770400,93.2
17031770500,56
17031770601,92
17031770602,75.5
17031770700,92.3
17031770800,85.7
17031770901,87.1
17031770902,86.7
17031800100,99.5
17031800200,99.9
17031800300,98.5
17031800400,100
17031800500,100
17031800600,98.7
17031800700,97.3
17031800800,98.8
17031800900,97.2
17031801000,98.9
17031801100,99.2
17031801200,100
17031801300,97.4
17031801400,97.3
17031801500,96.1
17031801601,97.3
17031801603,88.5
17031801605,96.7
17031801606,97.8
17031801607,95.9
17031801608,98
17031801701,99.4
17031801702,97.9
17031801800,100
17031801901,95.1
17031801902,96.7
17031802002,97.8
17031802003,91.4
17031802004,91
17031802100,94.5
17031802200,98.9
17031802300,98.1
17031802402,83.2
17031802403,97.5
17031802404,84.1
17031802503,91.7
17031802504,85.8
17031802505,74.3
17031802506,83
17031802605,92.6
17031802607,96.6
17031802608,95.9
17031802609,82.4
17031802610,95.3
17031802701,85.1
17031802702,93.9
17031802801,96.7
17031802802,93.2
17031802900,99.2
17031803005,98.9
17031803007,95.1
17031803008,96.4
17031803010,97.2
17031803012,92.9
17031803013,96.8
17031803014,86.9
17031803015,95.9
17031803016,96
17031803017,96.3
17031803100,97.5
17031803200,95.9
17031803300,94.1
17031803400,95.1
17031803500,97.8
17031803603,97.9
17031803604,93.6
17031803605,92.9
17031803606,58.7
17031803607,97.3
17031803608,91.3
17031803610,97.7
17031803611,84.8
17031803612,85.4
17031803701,90.5
17031803702,97
17031803800,94.6
17031803901,93.6
17031803902,87.1
17031804000,90.8
17031804102,96.9
17031804104,98.3
17031804105,96.8
17031804106,98.2
17031804108,95.7
17031804109,91.5
17031804201,97.2
17031804202,92.7
17031804305,82.9
17031804306,80.9
17031804308,85.5
17031804309,86.6
17031804310,92.2
17031804311,94.1
17031804403,85.2
17031804404,72.1
17031804405,71.8
17031804406,80.4
17031804505,92.2
17031804506,93.4
17031804507,93.8
17031804508,80.8
17031804509,77.7
17031804510,65.7
17031804511,75.6
17031804603,93.8
17031804606,94.1
17031804607,95.2
17031804608,94.3
17031804609,96.4
17031804610,98.1
17031804611,97.9
17031804701,94.6
17031804705,88.9
17031804706,95.3
17031804709,87.2
17031804710,97.2
17031804711,93.2
17031804712,96.8
17031804713,90.3
17031804714,96
17031804715,72.3
17031804716,93.4
17031804803,91.8
17031804804,88.3
17031804805,93.7
17031804806,90.2
17031804807,90
17031804808,95.7
17031804809,95.7
17031804810,93.4
17031804901,95.9
17031804902,90.5
17031805001,97.1
17031805002,82.6
17031805105,62
17031805106,94.6
17031805107,82.9
17031805108,88.9
17031805109,91.7
17031805110,94.2
17031805111,84.8
17031805112,81.6
17031805201,89
17031805202,95.5
17031805301,87
17031805302,93.1
17031805401,86.3
17031805402,92.9
17031805501,92.1
17031805502,96.7
17031805600,97.9
17031805701,97.9
17031805702,97.3
17031805801,99
17031805802,96.2
17031805901,90.9
17031805902,91.8
17031806001,88.4
17031806002,76.2
17031806003,86.5
17031806004,89
17031806102,87.6
17031806103,92.4
17031806104,84.7
17031806201,87.9
17031806202,94.2
17031806300,90
17031806400,93.2
17031806501,75.1
17031806502,87.2
17031806600,89.3
17031806700,95.8
17031806801,91.2
17031806802,90.7
17031806900,91.3
17031807000,92.7
17031807100,91.5
17031807200,88
17031807300,89.2
17031807400,89.9
17031807500,90.2
17031807600,85.5
17031807700,89.4
17031807800,90.2
17031807900,89.6
17031808001,89
17031808002,92.5
17031808100,89.1
17031808200,90.4
17031808301,88.8
17031808302,92.5
17031808400,91.2
17031808500,89.1
17031808600,96.9
17031808702,100
17031808800,98.4
17031808900,99.2
17031809000,98.2
17031809100,97.4
17031809200,83.2
17031809300,94.5
17031809400,98.8
17031809500,95.9
17031809600,83.9
17031809700,90.2
17031809800,96.1
17031809900,98.8
17031810000,97.2
17031810100,96.8
17031810200,85.5
17031810301,87.6
17031810302,91.4
17031810400,94.3
17031810501,89.5
17031810502,87.9
17031810600,87.4
17031810701,81.8
17031810702,83.8
17031810800,89.4
17031810900,89.7
17031811000,94.7
17031811100,88.7
17031811200,90.6
17031811301,73.2
17031811302,69.1
17031811401,85.6
17031811402,84.8
17031811500,78.3
17031811600,85
17031811701,69
17031811702,75.5
17031811800,77.7
17031811900,98.2
17031812000,100
17031812100,98.2
17031812200,98
17031812301,95.4
17031812302,95.4
17031812400,98.6
17031812500,90.6
17031812600,97.9
17031812700,97
17031812801,95.7
17031812802,95.1
17031812900,98.1
17031813000,98
17031813100,95.7
17031813200,96.1
17031813301,67
17031813302,68.2
17031813400,55.8
17031813500,65.7
17031813600,69.2
17031813701,57.9
17031813702,60
17031813801,63.7
17031813802,69
17031813900,67.6
17031814000,65.2
17031814100,67.1
17031814200,68.4
17031814300,56.8
17031814400,65.3
17031814500,65.7
17031814600,79.7
17031814700,80.7
17031814800,75.3
17031814900,74.9
17031815000,82.7
17031815100,79.7
17031815200,78
17031815300,87.7
17031815400,86.2
17031815500,85.9
17031815600,94.6
17031815701,98.8
17031815702,99
17031815800,96.6
17031815900,95.2
17031816000,98.7
