GEOID,vacancies_2019
17031010100,10.2
17031010201,7.9
17031010202,10.4
17031010300,8.6
17031010400,10.7
17031010501,11
17031010502,10.6
17031010503,18.5
17031010600,11.4
17031010701,11.5
17031010702,7.8
17031020100,13.2
17031020200,7.8
17031020301,6.6
17031020302,8.8
17031020400,9.6
17031020500,12.7
17031020601,9
17031020602,10.2
17031020701,10
17031020702,8.2
17031020801,5.1
17031020802,8.4
17031020901,11.6
17031020902,6.8
17031030101,17.6
17031030102,12.7
17031030103,24.1
17031030104,8.1
17031030200,4.6
17031030300,3.7
17031030400,6.9
17031030500,10.4
17031030601,10.5
17031030603,9.5
17031030604,12.1
17031030701,8.3
17031030702,11.2
17031030703,9.1
17031030706,11.4
17031030800,10.7
17031030900,8.3
17031031000,4.4
17031031100,4.8
17031031200,9.6
17031031300,5.7
17031031400,13
17031031501,5.8
17031031502,6.4
17031031700,7.8
17031031800,5.6
17031031900,5.2
17031032100,11.5
17031040100,9.8
17031040201,4.6
17031040202,8.2
17031040300,6
17031040401,9.2
17031040402,5.7
17031040600,10.4
17031040700,7.8
17031040800,7.3
17031040900,12.6
17031050100,9.1
17031050200,11.4
17031050300,8.2
17031050500,13.8
17031050600,6.1
17031050700,7.6
17031050800,7
17031050900,18.3
17031051000,8.6
17031051100,11.1
17031051200,8.4
17031051300,6.5
17031051400,34.6
17031060100,2.5
17031060200,4.1
17031060300,3.3
17031060400,3.5
17031060500,6.8
17031060800,9.2
17031060900,8.9
17031061000,7.7
17031061100,15.6
17031061200,13.1
17031061500,7.7
17031061800,5.2
17031061901,7.9
17031061902,9.6
17031062000,3.2
17031062100,7.3
17031062200,10.8
17031062300,3.4
17031062400,6.7
17031062500,12.2
17031062600,2.2
17031062700,12.6
17031062800,12.4
17031062900,9.7
17031063000,4.7
17031063100,1.5
17031063200,7.1
17031063301,3.3
17031063302,10.8
17031063303,16.4
17031063400,11.2
17031070101,11.2
17031070102,7
17031070103,7.1
17031070200,8.6
17031070300,7.6
17031070400,7.3
17031070500,6.8
17031070600,14.1
17031070700,21
17031071000,9.6
17031071100,1.7
17031071200,4.8
17031071300,5.3
17031071400,6.9
17031071500,8.1
17031071600,7.8
17031071700,8.2
17031071800,0.9
17031080100,15.4
17031080201,14.2
17031080202,18.9
17031080300,6.3
17031080400,7.6
17031081000,15.2
17031081100,12
17031081201,22.3
17031081202,23.9
17031081300,17.7
17031081401,20.1
17031081402,21.2
17031081403,17.5
17031081500,29.4
17031081600,14.1
17031081700,12.6
17031081800,9.9
17031081900,54.3
17031090100,2.9
17031090200,6.4
17031090300,9
17031100100,9.1
17031100200,2.5
17031100300,6.9
17031100400,1.7
17031100500,1.4
