,GEOID,business_licenses_2018
0,17031010201,149
1,17031020200,33
2,17031020602,90
3,17031030706,70
4,17031040402,183
5,17031040800,148
6,17031051000,429
7,17031063302,246
8,17031070400,190
9,17031081100,285
10,17031081500,201
11,17031090300,104
12,17031100100,111
13,17031100500,37
14,17031130200,132
15,17031151100,117
16,17031160300,120
17,17031221200,231
18,17031241200,346
19,17031250700,107
20,17031252102,58
21,17031280100,362
22,17031282800,240
23,17031292200,306
24,17031320100,238
25,17031320400,280
26,17031351400,301
27,17031390400,60
28,17031390500,107
29,17031430200,110
30,17031440700,187
31,17031460100,210
32,17031530400,53
33,17031540102,94
34,17031550100,9
35,17031560100,166
36,17031630100,312
37,17031650500,179
38,17031670100,52
39,17031691100,61
40,17031710400,166
41,17031740100,33
42,17031820502,126
43,17031821402,1
44,17031823001,1
45,17031829500,3
46,17031830700,227
47,17031831500,310
48,17031832300,156
49,17031834400,54
50,17031836800,105
51,17031837400,209
52,17031838200,328
53,17031839100,404
54,17031842300,313
55,17031980000,31
56,17043840911,1
57,17043841324,4
58,17097863201,1
