GEOID,work_travel_time_2016
17031010100,78715
17031010201,99970
17031010202,32400
17031010300,120560
17031010400,88425
17031010501,74845
17031010502,61880
17031010503,34635
17031010600,155705
17031010701,64050
17031010702,109685
17031020100,56840
17031020200,84775
17031020301,58655
17031020302,72935
17031020400,75670
17031020500,72635
17031020601,69070
17031020602,55925
17031020701,23960
17031020702,109755
17031020801,98870
17031020802,120160
17031020901,83100
17031020902,63780
17031030101,76285
17031030102,62855
17031030103,39740
17031030104,51575
17031030200,113250
17031030300,54000
17031030400,47010
17031030500,152280
17031030601,77150
17031030603,37115
17031030604,52980
17031030701,34945
17031030702,30335
17031030703,55415
17031030706,72285
17031030800,77800
17031030900,60675
17031031000,91375
17031031100,104360
17031031200,101560
17031031300,132245
17031031400,102570
17031031501,51020
17031031502,68315
17031031700,132630
17031031800,45065
17031031900,50690
17031032100,143690
17031040100,73865
17031040201,138815
17031040202,123655
17031040300,48945
17031040401,66360
17031040402,119015
17031040600,56730
17031040700,71750
17031040800,39245
17031040900,53355
17031050100,53945
17031050200,85185
17031050300,50315
17031050500,117540
17031050600,44015
17031050700,33230
17031050800,30175
17031050900,28305
17031051000,36075
17031051100,30230
17031051200,32860
17031051300,53685
17031051400,34850
17031060100,54600
17031060200,53405
17031060300,73820
17031060400,96270
17031060500,21910
17031060800,121325
17031060900,173660
17031061000,44250
17031061100,38130
17031061200,53530
17031061500,47645
17031061800,30410
17031061901,85495
17031061902,75225
17031062000,75790
17031062100,80865
17031062200,67640
17031062300,38475
17031062400,33560
17031062500,34325
17031062600,48135
17031062700,50390
17031062800,90430
17031062900,90490
17031063000,70455
17031063100,59405
17031063200,137250
17031063301,59915
17031063302,121455
17031063303,19940
17031063400,55770
17031070101,80190
17031070102,72665
17031070103,39040
17031070200,94580
17031070300,73980
17031070400,59485
17031070500,60455
17031070600,66835
17031070700,81210
17031071000,41840
17031071100,46510
17031071200,38805
17031071300,61690
17031071400,86345
17031071500,128265
17031071600,22120
17031071700,29305
17031071800,37165
17031080100,110795
17031080201,56305
17031080202,61860
17031080300,95945
17031080400,51600
17031081000,93675
17031081100,64660
17031081201,57175
17031081202,39170
17031081300,64105
17031081401,25810
17031081402,69100
17031081403,133380
17031081500,66900
17031081600,60645
17031081700,62740
17031081800,160210
17031081900,17745
17031090100,44885
17031090200,123195
17031090300,18155
17031100100,72100
17031100200,114360
17031100300,65560
17031100400,46560
17031100500,82440
17031100600,88730
17031100700,68440
17031110100,72820
17031110200,43095
17031110300,85360
17031110400,84225
17031110501,103030
17031110502,65545
