GEOID,YEAR,house_value
"Census Tract 630, Cook County, Illinois!!Estimate",2016,524800
"Census Tract 631, Cook County, Illinois!!Estimate",2016,349400
"Census Tract 632, Cook County, Illinois!!Estimate",2016,299400
"Census Tract 633.01, Cook County, Illinois!!Estimate",2016,294300
"Census Tract 633.02, Cook County, Illinois!!Estimate",2016,324000
"Census Tract 633.03, Cook County, Illinois!!Estimate",2016,326400
"Census Tract 634, Cook County, Illinois!!Estimate",2016,355600
"Census Tract 701.01, Cook County, Illinois!!Estimate",2016,324700
"Census Tract 701.02, Cook County, Illinois!!Estimate",2016,319700
"Census Tract 701.03, Cook County, Illinois!!Estimate",2016,348600
"Census Tract 702, Cook County, Illinois!!Estimate",2016,455200
"Census Tract 703, Cook County, Illinois!!Estimate",2016,489500
"Census Tract 704, Cook County, Illinois!!Estimate",2016,550100
"Census Tract 705, Cook County, Illinois!!Estimate",2016,660700
"Census Tract 706, Cook County, Illinois!!Estimate",2016,629400
"Census Tract 707, Cook County, Illinois!!Estimate",2016,468200
"Census Tract 710, Cook County, Illinois!!Estimate",2016,538100
"Census Tract 711, Cook County, Illinois!!Estimate",2016,1023600
"Census Tract 712, Cook County, Illinois!!Estimate",2016,482400
"Census Tract 713, Cook County, Illinois!!Estimate",2016,773000
"Census Tract 714, Cook County, Illinois!!Estimate",2016,352000
"Census Tract 715, Cook County, Illinois!!Estimate",2016,300300
"Census Tract 716, Cook County, Illinois!!Estimate",2016,862300
"Census Tract 717, Cook County, Illinois!!Estimate",2016,671300
"Census Tract 718, Cook County, Illinois!!Estimate",2016,708100
"Census Tract 801, Cook County, Illinois!!Estimate",2016,567800
"Census Tract 802.01, Cook County, Illinois!!Estimate",2016,233400
"Census Tract 802.02, Cook County, Illinois!!Estimate",2016,249800
"Census Tract 803, Cook County, Illinois!!Estimate",2016,477900
"Census Tract 804, Cook County, Illinois!!Estimate",2016,522300
"Census Tract 810, Cook County, Illinois!!Estimate",2016,411100
"Census Tract 811, Cook County, Illinois!!Estimate",2016,397300
"Census Tract 812.01, Cook County, Illinois!!Estimate",2016,533100
"Census Tract 812.02, Cook County, Illinois!!Estimate",2016,596200
"Census Tract 813, Cook County, Illinois!!Estimate",2016,438900
"Census Tract 814.01, Cook County, Illinois!!Estimate",2016,501700
"Census Tract 814.02, Cook County, Illinois!!Estimate",2016,455300
"Census Tract 814.03, Cook County, Illinois!!Estimate",2016,454100
"Census Tract 815, Cook County, Illinois!!Estimate",2016,510800
"Census Tract 816, Cook County, Illinois!!Estimate",2016,342700
"Census Tract 817, Cook County, Illinois!!Estimate",2016,336200
"Census Tract 818, Cook County, Illinois!!Estimate",2016,411000
"Census Tract 819, Cook County, Illinois!!Estimate",2016,551800
"Census Tract 901, Cook County, Illinois!!Estimate",2016,303900
"Census Tract 902, Cook County, Illinois!!Estimate",2016,362600
"Census Tract 903, Cook County, Illinois!!Estimate",2016,343600
"Census Tract 1001, Cook County, Illinois!!Estimate",2016,267200
"Census Tract 1002, Cook County, Illinois!!Estimate",2016,280300
"Census Tract 1003, Cook County, Illinois!!Estimate",2016,339600
"Census Tract 1004, Cook County, Illinois!!Estimate",2016,327700
"Census Tract 1005, Cook County, Illinois!!Estimate",2016,317200
"Census Tract 1006, Cook County, Illinois!!Estimate",2016,256700
"Census Tract 1007, Cook County, Illinois!!Estimate",2016,275900
"Census Tract 1101, Cook County, Illinois!!Estimate",2016,300500
"Census Tract 1102, Cook County, Illinois!!Estimate",2016,307700
"Census Tract 1103, Cook County, Illinois!!Estimate",2016,252000
"Census Tract 1104, Cook County, Illinois!!Estimate",2016,287600
"Census Tract 1105.01, Cook County, Illinois!!Estimate",2016,296400
"Census Tract 1105.02, Cook County, Illinois!!Estimate",2016,260000
"Census Tract 1201, Cook County, Illinois!!Estimate",2016,444100
"Census Tract 1202, Cook County, Illinois!!Estimate",2016,450000
"Census Tract 1203, Cook County, Illinois!!Estimate",2016,406600
"Census Tract 1204, Cook County, Illinois!!Estimate",2016,336800
"Census Tract 1301, Cook County, Illinois!!Estimate",2016,302700
"Census Tract 1302, Cook County, Illinois!!Estimate",2016,273300
"Census Tract 1303, Cook County, Illinois!!Estimate",2016,321900
"Census Tract 1401, Cook County, Illinois!!Estimate",2016,230300
"Census Tract 1402, Cook County, Illinois!!Estimate",2016,183000
"Census Tract 1403.01, Cook County, Illinois!!Estimate",2016,188200
"Census Tract 1403.02, Cook County, Illinois!!Estimate",2016,246400
"Census Tract 1404, Cook County, Illinois!!Estimate",2016,283500
"Census Tract 1405, Cook County, Illinois!!Estimate",2016,264900
"Census Tract 1406.01, Cook County, Illinois!!Estimate",2016,251700
"Census Tract 1406.02, Cook County, Illinois!!Estimate",2016,257800
"Census Tract 1407.01, Cook County, Illinois!!Estimate",2016,257600
"Census Tract 1407.02, Cook County, Illinois!!Estimate",2016,276100
"Census Tract 1408, Cook County, Illinois!!Estimate",2016,417800
"Census Tract 1502, Cook County, Illinois!!Estimate",2016,311100
"Census Tract 1503, Cook County, Illinois!!Estimate",2016,289800
"Census Tract 1504.01, Cook County, Illinois!!Estimate",2016,251000
"Census Tract 1504.02, Cook County, Illinois!!Estimate",2016,273500
"Census Tract 1505.01, Cook County, Illinois!!Estimate",2016,237700
"Census Tract 1505.02, Cook County, Illinois!!Estimate",2016,231700
"Census Tract 1506, Cook County, Illinois!!Estimate",2016,253300
"Census Tract 1507, Cook County, Illinois!!Estimate",2016,230900
"Census Tract 1508, Cook County, Illinois!!Estimate",2016,252200
"Census Tract 1510.01, Cook County, Illinois!!Estimate",2016,263500
"Census Tract 1510.02, Cook County, Illinois!!Estimate",2016,263100
"Census Tract 1511, Cook County, Illinois!!Estimate",2016,261900
"Census Tract 1512, Cook County, Illinois!!Estimate",2016,255800
"Census Tract 1601, Cook County, Illinois!!Estimate",2016,291100
"Census Tract 1602, Cook County, Illinois!!Estimate",2016,381800
"Census Tract 1603, Cook County, Illinois!!Estimate",2016,156400
"Census Tract 1604, Cook County, Illinois!!Estimate",2016,287600
"Census Tract 1605.01, Cook County, Illinois!!Estimate",2016,261100
"Census Tract 1605.02, Cook County, Illinois!!Estimate",2016,265400
"Census Tract 1606.01, Cook County, Illinois!!Estimate",2016,246900
"Census Tract 1606.02, Cook County, Illinois!!Estimate",2016,250000
"Census Tract 1607, Cook County, Illinois!!Estimate",2016,275300
"Census Tract 1608, Cook County, Illinois!!Estimate",2016,270300
