GEOID,work_travel_time_2018
17031010100,82105
17031010201,110315
17031010202,40390
17031010300,112055
17031010400,78780
17031010501,97510
17031010502,62100
17031010503,26950
17031010600,142210
17031010701,69640
17031010702,107005
17031020100,68530
17031020200,85585
17031020301,58270
17031020302,79135
17031020400,70470
17031020500,82625
17031020601,68840
17031020602,66380
17031020701,25685
17031020702,92710
17031020801,127235
17031020802,119470
17031020901,107025
17031020902,73335
17031030101,61450
17031030102,56710
17031030103,33495
17031030104,49030
17031030200,119495
17031030300,65475
17031030400,56645
17031030500,170555
17031030601,79355
17031030603,48560
17031030604,67045
17031030701,37220
17031030702,37950
17031030703,57970
17031030706,54790
17031030800,90665
17031030900,67480
17031031000,94875
17031031100,122480
17031031200,114800
17031031300,141455
17031031400,100425
17031031501,59480
17031031502,78300
17031031700,157315
17031031800,44880
17031031900,59910
17031032100,154530
17031040100,73830
17031040201,145555
17031040202,140910
17031040300,56970
17031040401,69400
17031040402,106800
17031040600,58885
17031040700,74645
17031040800,35825
17031040900,48440
17031050100,59850
17031050200,77540
17031050300,53105
17031050500,121665
17031050600,47755
17031050700,34525
17031050800,30285
17031050900,24965
17031051000,32425
17031051100,26450
17031051200,36855
17031051300,59170
17031051400,35790
17031060100,61400
17031060200,59745
17031060300,73920
17031060400,85475
17031060500,20740
17031060800,122415
17031060900,197830
17031061000,53675
17031061100,36425
17031061200,50345
17031061500,47085
17031061800,33455
17031061901,83420
17031061902,86380
17031062000,75765
17031062100,88530
17031062200,63860
17031062300,34375
17031062400,32845
17031062500,36370
17031062600,51620
17031062700,54465
17031062800,81270
17031062900,93860
17031063000,73485
17031063100,58905
17031063200,147205
17031063301,68275
17031063302,100225
17031063303,17325
17031063400,58630
17031070101,85500
17031070102,73150
17031070103,38045
17031070200,99225
17031070300,78425
17031070400,58485
17031070500,63345
17031070600,60110
17031070700,82175
17031071000,48190
17031071100,59045
17031071200,38115
17031071300,74650
17031071400,88430
17031071500,125830
17031071600,24580
17031071700,24685
17031071800,41300
17031080100,119035
17031080201,70250
17031080202,59395
17031080300,100510
17031080400,68635
17031081000,99170
17031081100,77025
17031081201,59670
17031081202,39725
17031081300,55110
17031081401,31345
17031081402,78115
17031081403,135170
17031081500,69635
17031081600,65100
17031081700,62445
17031081800,179765
17031081900,15560
17031090100,53525
17031090200,114510
17031090300,21920
17031100100,76340
17031100200,110025
17031100300,79255
17031100400,50785
17031100500,85340
17031100600,83790
17031100700,81865
17031110100,83660
17031110200,47450
17031110300,95165
17031110400,97795
17031110501,104090
17031110502,68160
17031120100,64575
17031120200,73855
17031120300,109305
17031120400,58440
17031130100,43635
17031130200,24680
17031130300,85705
17031140100,55470
17031140200,109495
17031140301,36980
17031140302,72010
17031140400,100415
17031140500,64315
17031140601,51355
17031140602,96540
17031140701,56350
17031140702,136940
17031140800,129380
17031150200,151640
17031150300,155710
17031150401,88455
17031150402,69640
17031150501,76640
17031150502,68325
17031150600,84585
17031150700,83825
17031150800,98015
17031151001,53965
17031151002,81140
17031151100,101385
17031151200,65690
17031160100,42235
17031160200,50270
17031160300,76285
17031160400,82030
17031160501,71705
17031160502,63460
17031160601,76580
17031160602,77965
17031160700,122525
17031160800,88585
17031160900,47900
17031161000,33955
17031161100,33405
17031161200,55350
17031161300,70670
17031170100,30270
17031170200,82745
17031170300,94110
17031170400,80035
17031170500,110385
17031170600,39885
17031170700,57630
17031170800,85745
17031170900,31255
17031171000,141350
17031171100,71620
17031180100,122650
17031190100,47095
17031190200,97130
17031190300,107085
17031190401,76825
17031190402,107655
17031190601,112740
17031190602,101450
17031190701,46185
17031190702,87260
17031190800,115485
17031190900,41160
17031191000,43740
17031191100,128680
17031191200,73070
17031191301,96565
17031191302,80260
17031200100,75105
17031200200,94155
17031200300,33925
17031200401,52520
17031200402,80675
17031210100,71920
17031210400,43435
17031210501,69530
17031210502,79780
17031210601,54090
17031210602,71590
17031210700,73860
17031210800,26670
17031210900,59480
17031220300,42820
17031220400,48920
17031220500,56825
17031220601,30210
17031220602,99525
17031220701,71265
17031220702,83465
17031220901,46685
17031220902,46325
17031221000,51240
17031221100,89785
17031221200,62390
17031221300,58070
17031221400,58885
17031221500,52365
17031221600,67770
17031222200,43045
17031222500,28760
17031222600,32600
17031222700,44145
17031222800,15920
17031222900,15330
17031230100,32920
17031230200,32110
17031230300,14975
17031230400,33415
17031230500,48325
17031230600,111330
17031230700,84540
17031230800,23390
17031230900,88840
17031231100,21275
17031231200,106300
17031231500,70695
17031240200,35245
17031240300,24400
17031240500,48180
17031240600,30700
17031240700,31305
17031240800,23000
17031240900,10990
17031241000,31925
17031241100,73685
17031241200,32530
17031241300,37265
17031241400,106940
17031241500,67385
17031241600,83855
17031242000,98325
17031242100,71650
17031242200,72660
17031242300,67795
17031242400,63195
17031242500,61150
17031242600,100695
17031242700,33745
17031242800,30050
17031242900,32945
17031243000,44925
17031243100,31625
17031243200,36965
17031243300,42895
17031243400,42495
17031243500,59325
17031250200,45095
17031250300,73630
17031250400,71050
17031250500,125755
17031250600,58620
17031250700,99670
17031250800,32620
17031251000,13090
17031251100,54325
17031251200,56350
17031251300,52420
17031251400,64960
17031251500,51240
17031251600,48770
17031251700,17865
17031251800,58505
17031251900,52755
17031252000,78305
17031252101,23965
17031252102,108365
17031252201,26435
17031252202,45735
17031260100,14960
17031260200,11235
17031260300,12570
17031260400,8015
17031260500,21230
17031260600,18990
17031260700,17525
17031260800,25315
17031260900,11730
17031261000,28140
17031270500,15735
17031271200,10710
17031271300,11880
17031271400,13135
17031271500,19765
17031271800,5335
17031280100,129305
17031280400,14185
17031280800,8890
17031280900,10915
17031281900,106900
17031282700,31045
17031282800,23550
17031283100,39915
17031283200,24110
17031283800,59970
17031290900,29400
17031291200,25800
17031291600,15050
17031292200,23320
17031292400,32955
17031292500,50815
17031300500,49975
17031300600,49820
17031300700,70440
17031300800,56145
17031300900,76740
17031301100,31775
17031301200,43010
17031301600,65780
17031301701,59340
17031301702,61345
17031301801,39765
17031301802,45165
17031301803,72285
17031310200,27710
17031310300,25240
17031310400,19810
17031310500,23855
17031310600,68370
17031310700,20715
17031310800,72320
17031310900,82390
17031320100,219495
17031320400,21365
17031320600,105900
17031330100,384775
17031330200,47745
17031340300,14765
17031340400,28260
17031340500,17940
17031340600,6145
17031350100,39560
17031350400,17760
17031351000,67350
17031351100,13490
17031351400,17650
17031351500,9630
17031360200,15330
17031380100,15355
17031380200,20720
17031380500,11710
17031380700,14175
17031381200,25940
17031381400,20645
17031381500,4750
17031381700,-
17031381800,21350
17031381900,21140
17031390100,24820
17031390200,27425
17031390300,34955
17031390400,43420
17031390500,21280
17031390600,24760
17031390700,75850
17031400300,17325
17031400400,29815
17031400500,27945
17031400800,29970
17031410100,28695
17031410200,13915
17031410500,35670
17031410600,29640
17031410700,30220
17031410800,41250
17031410900,50205
17031411000,39125
17031411100,20615
17031411200,15545
17031420100,14650
17031420200,16265
17031420300,27315
17031420400,7545
17031420500,24475
17031420600,18770
17031420700,27655
17031420800,32425
17031421200,12580
17031430101,61025
17031430102,60720
17031430200,68810
17031430300,19590
17031430400,35870
17031430500,59945
17031430600,28000
17031430700,38505
17031430800,30895
17031430900,20215
17031431200,54590
17031431301,58625
17031431302,68070
17031431400,117410
17031440101,62165
17031440102,53345
17031440201,79965
17031440202,44935
17031440300,53355
17031440600,18905
17031440700,17810
17031440800,25405
17031440900,48440
17031450300,58310
17031460100,48740
17031460200,34660
17031460301,50335
17031460302,45055
17031460400,62880
17031460500,111575
17031460600,18155
17031460700,39435
17031461000,13235
17031470100,39095
17031480100,39175
17031480200,17390
17031480300,13145
17031480400,97350
17031480500,58570
17031490300,37780
17031490400,12505
17031490500,27990
17031490600,16345
17031490700,45100
17031490800,60380
17031490901,53400
17031490902,61875
17031491000,36355
17031491100,63120
17031491200,25830
17031491300,40400
17031491400,42600
17031500100,77390
17031500200,29625
17031500300,24170
17031510100,40685
17031510200,52645
17031510300,58910
17031520100,27825
17031520200,42375
17031520300,73280
17031520400,74885
17031520500,71850
17031520600,32470
17031530100,28985
17031530200,48520
17031530300,63985
17031530400,36715
17031530501,62580
17031530502,22620
17031530503,72850
17031530600,44390
17031540101,53550
17031540102,39235
17031550100,81170
17031550200,39060
17031560100,18575
17031560200,20350
17031560300,46755
17031560400,21090
17031560700,64410
17031560800,90335
17031560900,86770
17031561000,105455
17031561100,95600
17031570100,21010
17031570200,26680
17031570300,74890
17031570400,29375
17031570500,30665
17031580100,39560
17031580200,48040
17031580300,39390
17031580400,72850
17031580501,76705
17031580502,93715
17031580600,70590
17031580700,71500
17031580800,37570
17031590500,24375
17031590600,45990
17031590700,54825
17031600400,67885
17031600600,43605
17031600700,34680
17031600900,58915
17031610300,64655
17031610400,27125
17031610800,21315
17031611000,7695
17031611100,24370
17031611200,31140
17031611300,28540
17031611400,53485
17031611500,37145
17031611600,17735
17031611700,19110
17031611800,32940
17031611900,18875
17031612000,15920
17031612100,12925
17031620100,72220
17031620200,40775
17031620300,110275
17031620400,64935
17031630100,13465
17031630200,26955
17031630300,68385
17031630400,88985
17031630500,80015
17031630800,100525
17031630900,61280
17031640100,22365
17031640300,121625
17031640400,59870
17031640500,67130
17031640600,55785
17031640700,44455
17031640800,27320
17031650100,57645
17031650200,91355
17031650301,81155
17031650302,67610
17031650400,84905
17031650500,69030
17031660301,17085
17031660302,72845
17031660400,84295
17031660500,58065
17031660600,79630
17031660700,23045
17031660800,68610
17031660900,71100
17031661000,62275
17031661100,99845
17031670100,12195
17031670200,11830
17031670300,14915
17031670400,19555
17031670500,11205
17031670600,12200
17031670700,11270
17031670800,13925
17031670900,25815
17031671100,9130
17031671200,8900
17031671300,21705
17031671400,13730
17031671500,18810
17031671600,18965
17031671800,14910
17031671900,13975
17031672000,44325
17031680500,10810
17031680600,10845
17031680900,28130
17031681000,27400
17031681100,28980
17031681200,28265
17031681300,27975
17031681400,26525
17031690300,30000
17031690400,47945
17031690500,11480
17031690900,58240
17031691000,44725
17031691100,34020
17031691200,49670
17031691300,30890
17031691400,45190
17031691500,18880
17031700100,67460
17031700200,93545
17031700301,98385
17031700302,98885
17031700401,104195
17031700402,68370
17031700501,146785
17031700502,50055
17031710100,13235
17031710200,60370
17031710300,20080
17031710400,66010
17031710500,65820
17031710600,18460
17031710700,46450
17031710800,66900
17031710900,24070
17031711000,35965
17031711100,23530
17031711200,87830
17031711300,21585
17031711400,31480
17031711500,34440
17031720100,61045
17031720200,64665
17031720300,61310
17031720400,28315
17031720500,37110
17031720600,24515
17031720700,52775
17031730100,37390
17031730201,86290
17031730202,54450
17031730300,14110
17031730400,83600
17031730500,76245
17031730600,41915
17031730700,34630
17031740100,51390
17031740200,84400
17031740300,82955
17031740400,95395
17031750100,69955
17031750200,39885
17031750300,35465
17031750400,53620
17031750500,71360
17031750600,41775
17031760801,75490
17031760802,37370
17031760803,94210
17031770201,88960
17031770202,51680
17031770300,101955
17031770400,59315
17031770500,47440
17031770601,44035
17031770602,55410
17031770700,29270
17031770800,79755
17031770901,76415
17031770902,48515
17031800100,34015
17031800200,99285
17031800300,50570
17031800400,43870
17031800500,59165
17031800600,29490
17031800700,64375
17031800800,23430
17031800900,59735
17031801000,68480
17031801100,59820
17031801200,36435
17031801300,58745
17031801400,38515
17031801500,54510
17031801601,66630
17031801603,43225
17031801605,63880
17031801606,77085
17031801607,68010
17031801608,92085
17031801701,46395
17031801702,53690
17031801800,66470
17031801901,55915
17031801902,31715
17031802002,60620
17031802003,30235
17031802004,62640
17031802100,39985
17031802200,53420
17031802300,69815
17031802402,58835
17031802403,22675
17031802404,92245
17031802503,85950
17031802504,89890
17031802505,74760
17031802506,40215
17031802605,90900
17031802607,13530
17031802608,79940
17031802609,84870
17031802610,21855
17031802701,96965
17031802702,76270
17031802801,67395
17031802802,93725
17031802900,81925
17031803005,32520
17031803007,70640
17031803008,73665
17031803010,84750
17031803012,33555
17031803013,72460
17031803014,43620
17031803015,57620
17031803016,37620
17031803017,102345
17031803100,49680
17031803200,60875
17031803300,86950
17031803400,84120
17031803500,65935
17031803603,100480
17031803604,60380
17031803605,118160
17031803606,128300
17031803607,79345
17031803608,90970
17031803610,109665
17031803611,98130
17031803612,44275
17031803701,47915
17031803702,102915
17031803800,69340
17031803901,51255
17031803902,49895
17031804000,49620
17031804102,92335
17031804104,79520
17031804105,57280
17031804106,98920
17031804108,65560
17031804109,32305
17031804201,100750
17031804202,109500
17031804305,106175
17031804306,67970
17031804308,105430
17031804309,45205
17031804310,158080
17031804311,122990
17031804403,110965
17031804404,74845
17031804405,52090
17031804406,84935
17031804505,55650
17031804506,83240
17031804507,227570
17031804508,39235
17031804509,92650
17031804510,87730
17031804511,40705
17031804603,89110
17031804606,101960
17031804607,100800
17031804608,57250
17031804609,95670
17031804610,37935
17031804611,63615
17031804701,102595
17031804705,67000
17031804706,39200
17031804709,79830
17031804710,61290
17031804711,107290
17031804712,101275
17031804713,89925
17031804714,51985
17031804715,37500
17031804716,69220
17031804803,83185
17031804804,109425
17031804805,99560
17031804806,60890
17031804807,84270
17031804808,38140
17031804809,70590
17031804810,97440
17031804901,107980
17031804902,88440
17031805001,68460
17031805002,100240
17031805105,83165
17031805106,38780
17031805107,100425
17031805108,99690
17031805109,57090
17031805110,57010
17031805111,102865
17031805112,37915
17031805201,51415
17031805202,61255
17031805301,38770
17031805302,51705
17031805401,50215
17031805402,68390
17031805501,44570
17031805502,47440
17031805600,61850
17031805701,76510
17031805702,27600
17031805801,36540
17031805802,77895
17031805901,70165
17031805902,82225
17031806001,69630
17031806002,95230
17031806003,112335
17031806004,88380
17031806102,61415
17031806103,76850
17031806104,68595
17031806201,69715
17031806202,58060
17031806300,74405
17031806400,35080
17031806501,26250
17031806502,52695
17031806600,59405
17031806700,54865
17031806801,43730
17031806802,50700
17031806900,74195
17031807000,88445
17031807100,47440
17031807200,73925
17031807300,93120
17031807400,83205
17031807500,49160
17031807600,88415
17031807700,64270
17031807800,39130
17031807900,51420
17031808001,40080
17031808002,57655
17031808100,34080
17031808200,75135
17031808301,93040
17031808302,55895
17031808400,59150
17031808500,52600
17031808600,25600
17031808702,25215
17031808800,42225
17031808900,57505
17031809000,52460
17031809100,52710
17031809200,44320
17031809300,37695
17031809400,53260
17031809500,55055
17031809600,39545
17031809700,42225
17031809800,40360
17031809900,53695
17031810000,96775
17031810100,86975
17031810200,108990
17031810301,54850
17031810302,44985
17031810400,74960
17031810501,65585
17031810502,71925
17031810600,80890
17031810701,75160
17031810702,59305
17031810800,94750
17031810900,124840
17031811000,66960
17031811100,106780
17031811200,68840
17031811301,50125
17031811302,35795
17031811401,66435
17031811402,67315
17031811500,91345
17031811600,98640
17031811701,59235
17031811702,72365
17031811800,63010
17031811900,85380
17031812000,70560
17031812100,77245
17031812200,60300
17031812301,74770
17031812302,45445
17031812400,50255
17031812500,52530
17031812600,56305
17031812700,56625
17031812801,56515
17031812802,48015
17031812900,77165
17031813000,65975
17031813100,87955
17031813200,76075
17031813301,46650
17031813302,46785
17031813400,107370
17031813500,111645
17031813600,77105
17031813701,58765
17031813702,54340
17031813801,36225
17031813802,67595
17031813900,89000
17031814000,62810
17031814100,66495
17031814200,84470
17031814300,50910
17031814400,98435
17031814500,79315
17031814600,84630
17031814700,81805
17031814800,98450
17031814900,89305
17031815000,69950
17031815100,64965
17031815200,109705
17031815300,60215
17031815400,74535
17031815500,131365
17031815600,78215
17031815701,49805
17031815702,76355
17031815800,15525
17031815900,82660
17031816000,58625
17031816100,96430
17031816200,47675
17031816300,73535
17031816401,71210
17031816402,56175
17031816500,40105
17031816600,53430
17031816700,37420
17031816800,62810
17031816900,80960
17031817000,63525
17031817101,74340
17031817102,41135
17031817200,65040
17031817300,33700
17031817400,62655
17031817500,37315
17031817600,47970
17031817700,68155
17031817900,92710
17031818000,51125
17031818100,39065
17031818200,72485
17031818300,86295
17031818401,47415
17031818402,43535
17031818500,71195
17031818600,74550
17031818700,59020
17031818800,76640
17031818900,65625
17031819000,54725
17031819100,51025
17031819200,97165
17031819300,47155
17031819400,90205
17031819500,47640
17031819600,53575
17031819700,77470
17031819801,73425
17031819802,36340
17031819900,39950
17031820000,26960
17031820101,83355
17031820103,57230
17031820104,57765
17031820201,112695
17031820202,41480
17031820300,70285
17031820400,68090
17031820501,99555
17031820502,59130
17031820603,82145
17031820604,56080
17031820605,74810
17031820606,78850
17031820700,98270
17031820800,57550
17031820901,84865
17031820902,77900
17031821001,73330
17031821002,78150
17031821101,64380
17031821102,60965
17031821200,105020
17031821300,69375
17031821401,57670
17031821402,48315
17031821500,19235
17031821600,61150
17031821700,78680
17031821800,103560
17031821900,80775
17031822000,56615
17031822101,76390
17031822102,79625
17031822200,70320
17031822301,57070
17031822302,59235
17031822400,81770
17031822500,66185
17031822601,71090
17031822602,102975
17031822701,83085
17031822702,47245
17031822801,55600
17031822802,46850
17031822900,32530
17031823001,94590
17031823002,76235
17031823101,65190
17031823102,57790
17031823200,73560
17031823302,81290
17031823303,66500
17031823304,92880
17031823400,73850
17031823500,69855
17031823602,97245
17031823603,25025
17031823604,56645
17031823605,49160
17031823702,96790
17031823703,117395
17031823704,54165
17031823705,57850
17031823801,83170
17031823803,90895
17031823805,45335
17031823806,51145
17031823901,50005
17031823903,74330
17031823904,59655
17031824003,83725
17031824004,68545
17031824005,99140
17031824006,77310
17031824105,114140
17031824106,115655
17031824107,98895
17031824108,149380
17031824113,120890
17031824114,87590
17031824115,51310
17031824116,89900
17031824117,170340
17031824119,88705
17031824120,152230
17031824121,53855
17031824122,101575
17031824123,123325
17031824300,43815
17031824400,24335
17031824503,108210
17031824505,114805
17031824506,97280
17031824507,60965
17031824601,78720
17031824602,80415
17031824701,65680
17031824702,63545
17031824800,93355
17031824900,36455
17031825000,77765
17031825200,40930
17031825302,98465
17031825303,56440
17031825304,59865
17031825400,89350
17031825501,66725
17031825503,115080
17031825504,61220
17031825505,71460
17031825600,55635
17031825700,62155
17031825801,61915
17031825802,97800
17031825803,92650
17031825900,54915
17031826000,38290
17031826100,87435
17031826201,44345
17031826202,84465
17031826301,65315
17031826303,60805
17031826304,39895
17031826401,58470
17031826402,80885
17031826500,97075
17031826600,89165
17031826700,67675
17031826800,50480
17031826901,16670
17031826902,15735
17031827000,43220
17031827100,30795
17031827200,51300
17031827300,32405
17031827400,38490
17031827500,39760
17031827600,36670
17031827700,33720
17031827801,67505
17031827802,44765
17031827804,43175
17031827805,48975
17031827901,29810
17031827902,61795
17031828000,65575
17031828100,68555
17031828201,55920
17031828202,75020
17031828300,41875
17031828401,59420
17031828402,53880
17031828503,50000
17031828504,90785
17031828505,84750
17031828506,140645
17031828601,61970
17031828602,66830
17031828701,70285
17031828702,73000
17031828801,68310
17031828802,42180
17031828900,29930
17031829000,8350
17031829100,28535
17031829200,55680
17031829301,53690
17031829302,38230
17031829401,9150
17031829402,39920
17031829500,35125
17031829600,35045
17031829700,40135
17031829800,92495
17031829901,142015
17031829902,72325
17031830001,26095
17031830003,145660
17031830004,128185
17031830005,57930
17031830006,46115
17031830007,58585
17031830008,79225
17031830100,38970
17031830201,77145
17031830202,57775
17031830300,53480
17031830400,55145
17031830500,56045
17031830600,105365
17031830700,76770
17031830800,74330
17031830900,70755
17031831000,47330
17031831100,139395
17031831200,75750
17031831300,13220
17031831400,38000
17031831500,71670
17031831600,110220
17031831700,46790
17031831800,98585
17031831900,76545
17031832000,45595
17031832100,88100
17031832200,66815
17031832300,40910
17031832400,62850
17031832500,57280
17031832600,75775
17031832900,41260
17031833000,66055
17031833100,118180
17031833300,34060
17031833900,32905
17031834000,48860
17031834200,68645
17031834300,71595
17031834400,67775
17031834500,14145
17031834600,19900
17031834700,13080
17031834800,14365
17031834900,14665
17031835000,68540
17031835100,71615
17031835200,28645
17031835500,15910
17031835600,4935
17031835700,null
17031835800,25485
17031835900,27815
17031836000,54040
17031836100,20780
17031836200,6460
17031836300,20390
17031836400,40090
17031836500,27630
17031836600,43775
17031836700,25600
17031836800,11655
17031836900,13890
17031837000,18820
17031837100,17485
17031837300,24725
17031837400,33265
17031837800,31920
17031838000,30705
17031838100,25805
17031838200,16900
17031838300,21380
17031838600,14075
17031838700,44870
17031838800,36850
17031839000,163175
17031839100,117515
17031839200,34275
17031839500,13705
17031839600,18985
17031839700,65225
17031839800,39545
17031839900,59080
17031840000,34425
17031840100,46715
17031840200,35700
17031840300,57330
17031840400,43800
17031840700,48185
17031840800,40530
17031841000,17055
17031841100,76500
17031841200,78895
17031841300,65970
17031841400,17015
17031841500,37850
17031841600,5145
17031841700,20800
17031841800,30340
17031841900,71870
17031842000,15415
17031842100,101535
17031842200,55285
17031842300,54145
17031842400,41905
17031842500,12790
17031842600,75105
17031842800,80750
17031842900,25760
17031843000,29875
17031843100,18105
17031843200,46450
17031843300,24620
17031843400,17925
17031843500,15435
17031843600,41955
17031843700,43860
17031843800,15575
17031843900,43380
17031980000,-
17031980100,-
17031990000,-
