GEOID,median_monthly_housing_costs_2019
17031010100,1028
17031010201,1137
17031010202,983
17031010300,1007
17031010400,1046
17031010501,1058
17031010502,1063
17031010503,778
17031010600,1143
17031010701,1177
17031010702,1133
17031020100,1118
17031020200,1456
17031020301,1162
17031020302,1234
17031020400,1247
17031020500,1114
17031020601,1251
17031020602,1304
17031020701,1547
17031020702,1139
17031020801,1304
17031020802,1245
17031020901,1261
17031020902,964
17031030101,1089
17031030102,1197
17031030103,1147
17031030104,1092
17031030200,1511
17031030300,1102
17031030400,1145
17031030500,1617
17031030601,967
17031030603,891
17031030604,1166
17031030701,942
17031030702,1373
17031030703,1113
17031030706,1180
17031030800,1581
17031030900,1815
17031031000,1480
17031031100,1443
17031031200,918
17031031300,1049
17031031400,1279
17031031501,994
17031031502,873
17031031700,1304
17031031800,1402
17031031900,1383
17031032100,1343
17031040100,1595
17031040201,1489
17031040202,1220
17031040300,1393
17031040401,1619
17031040402,1485
17031040600,1572
17031040700,1543
17031040800,1571
17031040900,1362
17031050100,1649
17031050200,1885
17031050300,1526
17031050500,2063
17031050600,1982
17031050700,2513
17031050800,1890
17031050900,1917
17031051000,2091
17031051100,2361
17031051200,1993
17031051300,2741
17031051400,2117
17031060100,1850
17031060200,1397
17031060300,1805
17031060400,1948
17031060500,952
17031060800,1572
17031060900,1379
17031061000,2088
17031061100,2008
17031061200,2122
17031061500,1899
17031061800,1411
17031061901,1372
17031061902,1610
17031062000,1694
17031062100,1863
17031062200,2190
17031062300,2432
17031062400,2612
17031062500,2352
17031062600,2420
17031062700,2339
17031062800,2465
17031062900,1966
17031063000,1653
17031063100,1665
17031063200,1575
17031063301,1323
17031063302,1576
17031063303,1816
17031063400,1831
17031070101,1506
17031070102,1579
17031070103,1378
17031070200,1699
17031070300,2193
17031070400,1876
17031070500,2405
17031070600,2572
17031070700,2346
17031071000,2436
17031071100,2741
17031071200,1780
17031071300,2068
17031071400,1875
17031071500,1829
17031071600,2341
17031071700,2439
17031071800,2673
17031080100,1920
17031080201,1785
17031080202,1587
17031080300,2265
17031080400,1295
17031081000,1500
17031081100,1871
17031081201,2101
17031081202,2476
17031081300,1862
17031081401,2200
17031081402,2394
17031081403,2219
17031081500,2109
17031081600,2243
17031081700,2085
17031081800,2553
17031081900,2646
17031090100,1253
17031090200,1507
17031090300,1801
17031100100,1424
17031100200,1110
17031100300,1547
17031100400,1649
17031100500,1550
17031100600,1202
17031100700,1450
17031110100,1188
17031110200,1502
17031110300,1356
17031110400,1339
17031110501,1434
17031110502,1270
17031120100,2124
17031120200,2054
17031120300,1589
17031120400,1621
17031130100,930
17031130200,1185
17031130300,1260
17031140100,1289
17031140200,1109
17031140301,1302
17031140302,1261
17031140400,1219
17031140500,1261
17031140601,1169
17031140602,1250
17031140701,1308
17031140702,1162
17031140800,1269
17031150200,1281
17031150300,1265
17031150401,1122
17031150402,1251
17031150501,1210
17031150502,1415
17031150600,1217
17031150700,1483
17031150800,1220
17031151001,1141
17031151002,1162
17031151100,1143
17031151200,1638
17031160100,1357
17031160200,1480
17031160300,1099
17031160400,1224
17031160501,1389
17031160502,1235
17031160601,1407
17031160602,1280
17031160700,1412
17031160800,1282
17031160900,1395
17031161000,1792
17031161100,1892
17031161200,1333
17031161300,1150
17031170100,845
17031170200,1537
17031170300,1109
17031170400,1267
17031170500,1336
17031170600,1216
17031170700,1102
17031170800,1130
17031170900,1265
17031171000,1137
17031171100,1447
17031180100,1468
17031190100,989
17031190200,1213
17031190300,989
17031190401,1363
17031190402,1177
17031190601,1311
17031190602,1316
17031190701,1117
17031190702,1140
17031190800,1197
17031190900,1029
17031191000,1190
17031191100,1065
17031191200,1154
17031191301,1283
17031191302,1186
17031200100,984
17031200200,1178
17031200300,1005
17031200401,986
17031200402,1097
17031210100,1627
17031210400,1110
17031210501,1166
17031210502,1224
17031210601,1380
17031210602,1244
17031210700,1351
17031210800,1165
17031210900,1837
17031220300,1765
17031220400,1860
17031220500,1810
17031220601,1507
17031220602,1234
17031220701,1302
17031220702,1255
17031220901,1138
17031220902,1239
17031221000,1357
17031221100,1351
17031221200,1752
17031221300,1307
17031221400,1790
17031221500,1224
17031221600,1989
17031222200,2430
17031222500,1621
17031222600,1461
17031222700,1258
17031222800,1157
17031222900,1244
17031230100,1361
17031230200,1205
17031230300,1133
17031230400,1189
17031230500,866
17031230600,1011
17031230700,1161
17031230800,1167
17031230900,1236
17031231100,1054
17031231200,1038
17031231500,951
17031240200,2214
17031240300,2148
17031240500,2451
17031240600,2004
17031240700,1622
17031240800,1516
17031240900,1216
17031241000,1535
17031241100,1535
17031241200,1807
17031241300,2441
17031241400,2262
17031241500,2221
17031241600,1857
17031242000,1968
17031242100,2190
17031242200,1932
17031242300,1692
17031242400,1624
17031242500,1520
17031242600,1294
17031242700,1154
17031242800,1870
17031242900,1649
17031243000,1658
17031243100,2003
17031243200,2022
17031243300,1877
17031243400,1928
17031243500,2289
17031250200,1221
17031250300,1059
17031250400,1126
17031250500,1542
17031250600,1324
17031250700,1064
17031250800,1095
17031251000,870
17031251100,1006
17031251200,1175
17031251300,1035
17031251400,889
17031251500,1000
17031251600,1006
17031251700,1107
17031251800,944
17031251900,944
17031252000,877
17031252101,796
17031252102,1021
17031252201,990
17031252202,994
17031260100,574
17031260200,1115
17031260300,1011
17031260400,908
17031260500,1107
17031260600,1208
17031260700,1058
17031260800,990
17031260900,790
17031261000,1049
17031270500,943
17031271200,886
17031271300,817
17031271400,1082
17031271500,1118
17031271800,599
17031280100,2289
17031280400,1178
17031280800,611
17031280900,498
17031281900,1898
17031282700,1588
17031282800,1450
17031283100,1596
17031283200,1773
17031283800,1851
17031290900,984
17031291200,1060
17031291600,1086
17031292200,1037
17031292400,1089
17031292500,1057
17031300500,832
17031300600,902
17031300700,909
17031300800,821
17031300900,773
17031301100,791
17031301200,874
17031301600,791
17031301701,759
17031301702,879
17031301801,900
17031301802,816
17031301803,854
17031310200,1282
17031310300,1141
17031310400,1324
17031310500,1083
17031310600,1089
17031310700,1032
17031310800,922
17031310900,1005
17031320100,2392
17031320400,2697
17031320600,2060
17031330100,2167
17031330200,1820
17031340300,740
17031340400,969
17031340500,758
17031340600,296
17031350100,1174
17031350400,316
17031351000,1189
17031351100,507
17031351400,681
17031351500,933
17031360200,872
17031380100,584
17031380200,866
17031380500,739
17031380700,1074
17031381200,980
17031381400,1088
17031381500,778
17031381700,-
17031381800,1084
17031381900,1238
17031390100,1605
17031390200,1718
17031390300,775
17031390400,925
17031390500,1353
17031390600,1526
17031390700,1395
17031400300,1225
17031400400,1144
17031400500,973
17031400800,950
17031410100,1323
17031410200,1132
17031410500,1268
17031410600,1409
17031410700,1200
17031410800,1047
17031410900,1455
17031411000,1317
17031411100,1614
17031411200,1615
17031420100,818
17031420200,1060
17031420300,1074
17031420400,917
17031420500,945
17031420600,971
17031420700,1066
17031420800,1184
17031421200,809
17031430101,1049
17031430102,768
17031430200,935
17031430300,1078
17031430400,968
17031430500,930
17031430600,956
17031430700,995
17031430800,1162
17031430900,919
17031431200,1075
17031431301,922
17031431302,975
17031431400,879
17031440101,823
17031440102,870
17031440201,926
17031440202,787
17031440300,1024
17031440600,1217
17031440700,1060
17031440800,906
17031440900,998
17031450300,982
17031460100,912
17031460200,761
17031460301,919
17031460302,926
17031460400,1080
17031460500,892
17031460600,871
17031460700,671
17031461000,475
17031470100,910
17031480100,1081
17031480200,1086
17031480300,1043
17031480400,1104
17031480500,1044
17031490300,1264
17031490400,1163
17031490500,1309
17031490600,1183
17031490700,1041
17031490800,937
17031490901,946
17031490902,1001
17031491000,620
17031491100,1012
17031491200,989
17031491300,1048
17031491400,950
17031500100,956
17031500200,894
17031500300,883
17031510100,726
17031510200,928
17031510300,941
17031520100,863
17031520200,741
