GEOID,new_housing_2019
17031010100,1
17031010201,2.5
17031010202,5.5
17031010300,5.7
17031010400,0.8
17031010501,3.8
17031010502,2.4
17031010503,17
17031010600,1.7
17031010701,1.9
17031010702,3.1
17031020100,1.5
17031020200,2.6
17031020301,4.3
17031020302,5.1
17031020400,7.8
17031020500,2.5
17031020601,2.5
17031020602,0
17031020701,4.4
17031020702,1.5
17031020801,2.3
17031020802,1.9
17031020901,0
17031020902,13.5
17031030101,0
17031030102,1.9
17031030103,17.2
17031030104,2.6
17031030200,2.2
17031030300,4.5
17031030400,4.7
17031030500,5.3
17031030601,2.4
17031030603,3
17031030604,2.7
17031030701,12.9
17031030702,0.8
17031030703,3.7
17031030706,1.6
17031030800,0.7
17031030900,4.7
17031031000,11.9
17031031100,4.3
17031031200,10.2
17031031300,5.6
17031031400,3.3
17031031501,5.9
17031031502,1.9
17031031700,6.1
17031031800,10.4
17031031900,2
17031032100,10.2
17031040100,12.1
17031040201,11.5
17031040202,12.5
17031040300,5.8
17031040401,4.6
17031040402,10.2
17031040600,4.7
17031040700,4.3
17031040800,2.3
17031040900,3.8
17031050100,16.7
17031050200,16.5
17031050300,17.8
17031050500,20.4
17031050600,16.8
17031050700,9.9
17031050800,19
17031050900,7.8
17031051000,32.7
17031051100,36.3
17031051200,16.6
17031051300,24
17031051400,26.7
17031060100,11.8
17031060200,6.8
17031060300,11.5
17031060400,23.4
17031060500,6
17031060800,1.5
17031060900,0.3
17031061000,36.1
17031061100,23.1
17031061200,12.7
17031061500,5.3
17031061800,1.8
17031061901,3.1
17031061902,1.9
17031062000,5.3
17031062100,22.8
17031062200,27.6
17031062300,26.4
17031062400,29.5
17031062500,19.5
17031062600,41.1
17031062700,27.2
17031062800,18.4
17031062900,21
17031063000,15.6
17031063100,17
17031063200,0.9
17031063301,4.8
17031063302,0.9
17031063303,1.1
17031063400,6.4
17031070101,1.1
17031070102,12.2
17031070103,0.7
17031070200,11.2
17031070300,31.4
17031070400,13.6
17031070500,19.9
17031070600,25.1
17031070700,26.1
17031071000,3.1
17031071100,10.7
17031071200,2.9
17031071300,4.6
17031071400,2.6
17031071500,2.1
17031071600,8.8
17031071700,3.1
17031071800,11.6
17031080100,0
17031080201,0.8
17031080202,2.9
17031080300,37.6
17031080400,29.7
17031081000,10.1
17031081100,9.4
17031081201,29.2
