GEOID,perc_hs_grad_2017
17031010100,91.1
17031010201,79
17031010202,78.3
17031010300,84.6
17031010400,98
17031010501,94.2
17031010502,94.1
17031010503,79.7
17031010600,92.3
17031010701,81.5
17031010702,79.3
17031020100,78.8
17031020200,87.3
17031020301,92.1
17031020302,92.3
17031020400,87.7
17031020500,71.1
17031020601,86.5
17031020602,85.2
17031020701,91.4
17031020702,77.5
17031020801,73.7
17031020802,79.2
17031020901,85
17031020902,80
17031030101,94.1
17031030102,95.6
17031030103,96.6
17031030104,92.1
17031030200,92.3
17031030300,82.1
17031030400,90.1
17031030500,90.2
17031030601,85
17031030603,93.4
17031030604,94.8
17031030701,84.9
17031030702,97.2
17031030703,84.3
17031030706,91.9
17031030800,92.9
17031030900,91.2
17031031000,93.7
17031031100,89.1
17031031200,80.1
17031031300,92
17031031400,95.8
17031031501,79.8
17031031502,86.4
17031031700,92.5
17031031800,93.7
17031031900,88.8
17031032100,97.3
17031040100,89.1
17031040201,89.2
17031040202,87.7
17031040300,89.1
17031040401,96
17031040402,98.8
17031040600,96.6
17031040700,90.7
17031040800,89.1
17031040900,98.2
17031050100,92.4
17031050200,92.8
17031050300,90.1
17031050500,95.1
17031050600,100
17031050700,96.9
17031050800,95.5
17031050900,96.9
17031051000,93
17031051100,92.2
17031051200,91
17031051300,98.4
17031051400,90.5
17031060100,96
17031060200,93.8
17031060300,98.2
17031060400,99.3
17031060500,84.2
17031060800,99.1
17031060900,95
17031061000,99.2
17031061100,99.8
17031061200,99.6
17031061500,98.4
17031061800,96.3
17031061901,99.5
17031061902,99.6
17031062000,98.7
17031062100,97.1
17031062200,99.2
17031062300,99.5
17031062400,97.1
17031062500,100
17031062600,98.2
17031062700,95.9
17031062800,98.7
17031062900,98.4
17031063000,99.7
17031063100,99.8
17031063200,97.9
17031063301,96.8
17031063302,100
17031063303,97.4
17031063400,98.7
17031070101,99.4
17031070102,97.2
17031070103,98.4
17031070200,98.7
17031070300,99.2
17031070400,89.6
17031070500,93.9
17031070600,99
17031070700,96.5
17031071000,99.6
17031071100,100
17031071200,99.2
17031071300,100
17031071400,96.8
17031071500,99.7
17031071600,95.8
17031071700,99.6
17031071800,96.4
17031080100,98.4
17031080201,99.5
17031080202,98.7
17031080300,97.7
17031080400,85.7
17031081000,91.6
17031081100,96.3
17031081201,99.5
17031081202,98.7
17031081300,99.7
17031081401,96.5
17031081402,99.6
17031081403,100
17031081500,100
17031081600,99.5
17031081700,98.2
17031081800,100
17031081900,96.1
17031090100,91.6
17031090200,96.8
17031090300,96.1
17031100100,92.3
17031100200,92.2
17031100300,92.4
17031100400,93.6
17031100500,91.2
17031100600,92.3
17031100700,93.6
17031110100,87.5
17031110200,90.1
17031110300,87.7
17031110400,88.2
17031110501,89.2
17031110502,92.5
17031120100,97.8
17031120200,93.2
17031120300,97.1
17031120400,87.8
17031130100,87.9
17031130200,93.3
17031130300,82.1
17031140100,68.1
17031140200,76.7
17031140301,63.2
17031140302,83.8
17031140400,86.2
17031140500,83.4
17031140601,67.8
17031140602,80.2
17031140701,81
17031140702,69.7
17031140800,85
17031150200,89.7
17031150300,90.9
17031150401,87.7
17031150402,86.9
17031150501,88.5
17031150502,89.3
17031150600,91
17031150700,87.6
17031150800,72.6
17031151001,75.1
17031151002,73.9
17031151100,76.6
17031151200,84.3
17031160100,90.4
17031160200,94.9
17031160300,94.1
17031160400,83.5
17031160501,76.8
17031160502,81.1
17031160601,83.6
17031160602,83.1
17031160700,82.5
17031160800,82.1
17031160900,95.1
17031161000,94.6
17031161100,95.8
17031161200,80.4
17031161300,81.3
17031170100,82.6
17031170200,83.4
17031170300,89.1
17031170400,88.8
17031170500,93
17031170600,86.5
17031170700,90.9
17031170800,86.6
17031170900,82
17031171000,86
17031171100,87.9
17031180100,82.9
17031190100,63.8
17031190200,61.9
17031190300,72.8
17031190401,79.3
17031190402,70.5
17031190601,72.1
17031190602,63.9
17031190701,71
17031190702,51.2
17031190800,61.9
17031190900,60.8
17031191000,58.4
17031191100,58.1
17031191200,42.1
17031191301,56.4
17031191302,61.3
17031200100,71
17031200200,69.5
17031200300,56.7
17031200401,44.9
17031200402,64
17031210100,83.6
17031210400,73.7
17031210501,65.6
17031210502,77.6
17031210601,69
17031210602,81.3
17031210700,78.2
17031210800,78.1
17031210900,87.3
17031220300,92.3
17031220400,90.9
17031220500,96.9
17031220601,90
17031220602,89.5
17031220701,87.1
17031220702,72.6
17031220901,72.5
17031220902,80.8
17031221000,84.3
17031221100,85.8
17031221200,93.2
17031221300,85.3
17031221400,90
17031221500,88.8
17031221600,99.4
17031222200,98.2
17031222500,85.8
17031222600,89.2
17031222700,84.4
17031222800,79.6
17031222900,79.3
17031230100,82.9
17031230200,67.2
17031230300,64.3
17031230400,62.4
17031230500,55.8
17031230600,68.4
17031230700,65.2
17031230800,70.2
17031230900,81.2
17031231100,79.6
17031231200,59.3
17031231500,75.9
17031240200,95.3
17031240300,97.1
17031240500,100
17031240600,90.1
17031240700,86
17031240800,80.6
17031240900,80.1
17031241000,78.6
17031241100,92.3
17031241200,87
17031241300,96.5
17031241400,93.5
17031241500,97.5
17031241600,89.9
17031242000,84.2
17031242100,95.6
17031242200,97.1
17031242300,97.4
17031242400,91.3
17031242500,84.1
17031242600,86.5
17031242700,84
17031242800,92.5
17031242900,91.8
17031243000,86.5
17031243100,78.8
17031243200,93.8
17031243300,90.8
17031243400,91.4
17031243500,98.3
17031250200,71.4
17031250300,77.6
17031250400,79.2
17031250500,89.1
17031250600,78.3
17031250700,88.8
17031250800,76.4
17031251000,87.5
17031251100,76.2
17031251200,74.1
17031251300,77.3
17031251400,74.4
17031251500,70.8
17031251600,80.1
17031251700,72.9
17031251800,72.9
17031251900,77.9
17031252000,81.1
17031252101,84.6
17031252102,85.8
17031252201,74.1
17031252202,70.3
17031260100,73
17031260200,81.3
17031260300,77.1
17031260400,60.4
17031260500,70.3
17031260600,68.5
17031260700,74.6
17031260800,73.8
17031260900,72.4
17031261000,72.6
17031270500,70.1
17031271200,71.9
17031271300,82.2
17031271400,76.7
17031271500,85.2
17031271800,90.9
17031280100,100
17031280400,81.6
17031280800,76.9
17031280900,77.5
17031281900,99.1
17031282700,84.4
17031282800,94.3
17031283100,97.9
17031283200,95
17031283800,86.9
17031290900,79
17031291200,81.9
17031291600,67.2
17031292200,79.5
17031292400,73.1
17031292500,72.5
17031300500,44.2
17031300600,54.8
17031300700,40.7
17031300800,39.4
17031300900,41.7
17031301100,52.4
17031301200,56.6
17031301600,49.4
17031301701,54.9
17031301702,52.6
17031301801,55
17031301802,52.4
17031301803,50.4
17031310200,83.2
17031310300,77.6
17031310400,71.5
17031310500,73.6
17031310600,68.5
17031310700,66.5
17031310800,60.2
17031310900,61.2
17031320100,99.6
17031320400,99.4
17031320600,99.5
17031330100,98.1
17031330200,89.7
17031340300,68.1
17031340400,72.9
17031340500,69
17031340600,53.4
17031350100,98.5
17031350400,75.5
17031351000,97.3
17031351100,76.8
17031351400,80.4
17031351500,96.2
17031360200,76
17031380100,69.8
17031380200,81.7
17031380500,77
17031380700,83.5
17031381200,96.7
17031381400,89
17031381500,90
17031381700,-
17031381800,87.2
17031381900,87.4
17031390100,87.8
17031390200,94.2
