GEOID,perc_college_grad_2017
17031292200,11.7
17031292400,5.8
17031292500,13
17031300500,8.4
17031300600,11.1
17031300700,6
17031300800,4.8
17031300900,4.7
17031301100,8.5
17031301200,7.8
17031301600,8
17031301701,5.8
17031301702,5.6
17031301801,6.3
17031301802,6.7
17031301803,2.4
17031310200,33
17031310300,25.2
17031310400,27.3
17031310500,17.3
17031310600,22.9
17031310700,14.1
17031310800,14.6
17031310900,19.2
17031320100,38.9
17031320400,33.5
17031320600,36.3
17031330100,35.7
17031330200,34.7
17031340300,11.9
17031340400,17.2
17031340500,13
17031340600,5.3
17031350100,34.8
17031350400,3.2
17031351000,27.8
17031351100,10.6
17031351400,12.7
17031351500,16.2
17031360200,9.5
17031380100,17
17031380200,19.9
17031380500,9.4
17031380700,3.2
17031381200,15.4
17031381400,11
17031381500,19.5
17031381700,-
17031381800,13.2
17031381900,19.7
17031390100,22
17031390200,26.4
17031390300,20.5
17031390400,18.3
17031390500,27.6
17031390600,23.6
17031390700,27.9
17031400300,9.9
17031400400,14.5
17031400500,10.5
17031400800,13.8
17031410100,28.2
17031410200,21.3
17031410500,22.8
17031410600,30.1
17031410700,25.7
17031410800,27.3
17031410900,32.3
17031411000,24.3
17031411100,20.6
17031411200,15.7
17031420100,9.3
17031420200,25.9
17031420300,29.2
17031420400,16.9
17031420500,14.6
17031420600,10.1
17031420700,7.4
17031420800,13.8
17031421200,9.5
17031430101,10.1
17031430102,18.2
17031430200,11.6
17031430300,13.2
17031430400,11.4
17031430500,5.6
17031430600,16.4
17031430700,14.5
17031430800,22.4
17031430900,18.9
17031431200,24.8
17031431301,13.4
17031431302,10.5
17031431400,12.3
17031440101,2.4
17031440102,10.7
17031440201,8.6
17031440202,27.6
17031440300,18.6
17031440600,14.9
17031440700,19.1
17031440800,9
17031440900,12.4
17031450300,14.8
17031460100,12.2
17031460200,7.1
17031460301,6.3
17031460302,11.5
17031460400,14.9
17031460500,9.3
17031460600,11
17031460700,6.5
17031461000,9.2
17031470100,7.4
17031480100,16
17031480200,21.3
17031480300,22.1
17031480400,18.4
17031480500,12.7
17031490300,21.4
17031490400,21.4
17031490500,23.1
17031490600,9
17031490700,9
17031490800,12.8
17031490901,9.2
17031490902,15.2
17031491000,4.3
17031491100,14.7
17031491200,11
17031491300,7.5
17031491400,11.5
17031500100,17.5
17031500200,14.9
17031500300,27.2
17031510100,4.8
17031510200,8.8
17031510300,8.7
17031520100,6.2
17031520200,3.3
17031520300,8.1
17031520400,14.2
17031520500,14.3
17031520600,6.6
17031530100,4.4
17031530200,9.4
17031530300,10.8
17031530400,14.7
17031530501,10.9
17031530502,10
17031530503,10.8
17031530600,3.9
17031540101,2.2
17031540102,2
17031550100,9.2
17031550200,14
17031560100,11
17031560200,10.9
17031560300,13.1
17031560400,10.2
17031560700,10.3
17031560800,12.8
17031560900,14.9
17031561000,19.6
17031561100,16.8
17031570100,10
17031570200,8.2
17031570300,9.8
17031570400,11.6
17031570500,7.1
17031580100,8.6
17031580200,6.3
17031580300,3.1
17031580400,9.4
17031580501,6.9
17031580502,7.2
17031580600,11.2
17031580700,8.9
17031580800,4.4
17031590500,15.6
17031590600,8.2
17031590700,13.7
17031600400,16.7
17031600600,9.7
17031600700,17.5
17031600900,23.7
17031610300,6.6
17031610400,7.2
17031610800,6.9
17031611000,6.7
17031611100,3
17031611200,3.7
17031611300,2.6
17031611400,4.7
17031611500,2
17031611600,1.6
17031611700,4.5
17031611800,2.6
17031611900,0.8
17031612000,4.1
17031612100,6.9
17031620100,8.8
17031620200,9
17031620300,9
17031620400,4.4
17031630100,3.5
17031630200,4.5
17031630300,8.3
17031630400,4.9
17031630500,2.3
17031630800,3.7
17031630900,2.4
17031640100,11.7
17031640300,16
17031640400,11.7
17031640500,13.5
17031640600,9.2
17031640700,11.6
17031640800,11.5
17031650100,3
17031650200,9.8
17031650301,11
17031650302,10.8
17031650400,6.5
17031650500,9.5
17031660301,2.9
17031660302,5.9
17031660400,8.7
17031660500,4
17031660600,4.4
17031660700,5.6
17031660800,6
17031660900,7.1
17031661000,11.1
17031661100,3.7
17031670100,8.5
17031670200,4.5
17031670300,6.6
17031670400,5.5
17031670500,3.5
17031670600,4.6
17031670700,0.6
17031670800,3.5
17031670900,12.9
17031671100,8.3
17031671200,4.2
17031671300,4.5
17031671400,2.1
17031671500,4.4
17031671600,2.2
17031671800,7.8
17031671900,7.2
17031672000,4.7
17031680500,5.5
17031680600,4.8
17031680900,7.7
17031681000,6.5
17031681100,3.5
17031681200,8.1
17031681300,5.4
17031681400,2.1
17031690300,5.2
17031690400,10.8
17031690500,10.3
17031690900,14.2
17031691000,19.3
17031691100,6.5
17031691200,10.6
17031691300,9
17031691400,10.2
17031691500,8.4
17031700100,9.6
17031700200,12.6
17031700301,7.2
17031700302,15.5
17031700401,13.4
