PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100839198,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,1141,W,LILL,AVE,7,70400,43
100839199,PERMIT - REINSTATE REVOKED PMT,EASY PERMIT,9/4/19,2226,S,SACRAMENTO,AVE,30,300900,12
100839200,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/4/19,6101,S,SAYRE,AVE,64,640400,23
100839197,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,5825,N,TRIPP,AVE,13,130200,39
100839204,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,175,W,JACKSON,BLVD,32,839100,42
100839205,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,2545,W,110TH,ST,75,750300,19
100839206,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,3616,W,54TH,ST,62,620100,23
100839207,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,9606,S,CHARLES,ST,72,720200,19
100839208,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,2028,W,110TH,ST,75,750200,19
100839209,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5149,W,GRACE,ST,15,150800,45
100839202,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/12/19,7712,S,PHILLIPS,AVE,43,431301,7
100839216,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,6631,S,RHODES,AVE,42,420700,20
100839217,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/3/19,2425,E,79TH,ST,46,460400,7
100839219,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,3822,N,ORIOLE,AVE,17,170400,38
100839220,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,2111,S,WABASH,AVE,33,330100,3
100839221,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,2723,S,WHIPPLE,ST,30,843500,12
100839222,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,1101,W,MONROE,ST,28,833100,25
100839223,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,4700,N,LINCOLN,AVE,4,40600,47
100839224,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/4/19,4503,N,MILWAUKEE,AVE,15,150200,45
100839225,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,123,N,WACKER,DR,32,839100,42
100839215,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,10,S,LA SALLE,ST,32,839100,42
100839227,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,701,N,SACRAMENTO,BLVD,23,836700,27
100839228,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,4342,W,LAWRENCE,AVE,14,140400,39
100839229,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,1533,W,WARREN,BLVD,28,833000,27
100839230,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/6/19,1100,N,LAKE SHORE,DR,8,81202,2
100839231,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,20,S,CLARK,ST,32,839100,42
100839233,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,9138,S,DREXEL,AVE,47,470100,8
100839234,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,11500,S,HALSTED,ST,53,530300,34
100839235,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,5018,N,SPRINGFIELD,AVE,14,140302,39
100839236,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/11/19,227,W,MONROE,ST,32,839100,42
100839237,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,1515,W,MONROE,ST,28,833100,28
100839239,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,171,W,RANDOLPH,ST,32,839100,42
