,census_tract,MHI_2016
1184,8293.01,"59,931"
1185,8293.02,"22,956"
1186,8294.01,"31,188"
1187,8294.02,"35,942"
1188,8295,"35,577"
1189,8296,"46,696"
1190,8297,"33,220"
1191,8298,"93,292"
1192,8299.01,"62,123"
1193,8299.02,"71,382"
1194,8300.01,"40,125"
1195,8300.03,"87,282"
1196,8300.04,"96,025"
1197,8300.05,"97,288"
1198,8300.06,"53,967"
1199,8300.07,"44,592"
1200,8300.08,"74,628"
1201,8301,"67,546"
1202,8302.01,"46,533"
1203,8302.02,"99,375"
1204,8303,"21,456"
1205,8304,"54,234"
1206,8305,"41,902"
1207,8306,"42,786"
1208,8307,"40,286"
1209,8308,"61,273"
1210,8309,"97,794"
1211,8310,"150,703"
1212,8311,"49,266"
1213,8312,"35,179"
1214,8313,"32,500"
1215,8314,"34,231"
1216,8315,"59,180"
1217,8316,"42,745"
1218,8317,"56,375"
1219,8318,"58,500"
1220,8319,"102,610"
1221,8320,"97,750"
1222,8321,"60,240"
1223,8322,"88,274"
1224,8323,"105,224"
1225,8324,"93,466"
1226,8325,"107,813"
1227,8326,"145,147"
1228,8329,"50,521"
1229,8330,"104,183"
1230,8331,"120,755"
1231,8333,"51,442"
1232,8339,"23,750"
1233,8340,"37,179"
1234,8342,"31,238"
1235,8343,"30,161"
1236,8344,"38,883"
1237,8345,"32,204"
1238,8346,"20,898"
1239,8347,"26,071"
1240,8348,"21,827"
1241,8349,"19,054"
1242,8350,"26,514"
1243,8351,"37,723"
1244,8352,"41,136"
1245,8355,"19,207"
1246,8356,"23,667"
1247,8357,-
1248,8358,"55,813"
1249,8359,"18,627"
1250,8360,"52,717"
1251,8361,"25,699"
1252,8362,"52,308"
1253,8363,"54,625"
1254,8364,"30,946"
1255,8365,"28,806"
1256,8366,"43,203"
1257,8367,"26,319"
1258,8368,"13,429"
1259,8369,"26,023"
1260,8370,"27,283"
1261,8371,"27,292"
1262,8373,"33,250"
1263,8374,"38,750"
1264,8378,"56,908"
1265,8380,"17,377"
1266,8381,"17,370"
1267,8382,"38,382"
1268,8383,"43,516"
1269,8386,"13,281"
1270,8387,"20,294"
1271,8388,"19,228"
1272,8390,"84,780"
1273,8391,"86,739"
1274,8392,"29,831"
1275,8395,"22,279"
1276,8396,"31,250"
1277,8397,"42,200"
1278,8398,"44,159"
1279,8399,"60,536"
1280,8400,"61,429"
1281,8401,"33,942"
1282,8402,"44,522"
1283,8403,"45,694"
1284,8404,"37,891"
1285,8407,"31,389"
1286,8408,"30,759"
1287,8410,"50,417"
1288,8411,"27,185"
1289,8412,"32,315"
1290,8413,"43,409"
1291,8414,"25,694"
1292,8415,"19,000"
1293,8416,"22,446"
1294,8417,"18,582"
1295,8418,"32,895"
1296,8419,"110,950"
1297,8420,"76,429"
1298,8421,"35,528"
1299,8422,"106,250"
1300,8423,"118,889"
1301,8424,"39,652"
1302,8425,"9,485"
1303,8426,"61,012"
1304,8428,"35,041"
1305,8429,"21,053"
1306,8430,"17,197"
1307,8431,"28,000"
1308,8432,"42,254"
1309,8433,"37,353"
1310,8434,"24,886"
1311,8435,"35,875"
1312,8436,"31,788"
1313,8437,"99,821"
1314,8438,"38,060"
1315,8439,"27,012"
1316,9800,-
1317,9801,-
1318,9900,-
