,census_tract,MHI_2016
287,2409,"40,515"
288,2410,"43,650"
289,2411,"69,348"
290,2412,"75,000"
291,2413,"109,643"
292,2414,"101,634"
293,2415,"95,313"
294,2416,"81,547"
295,2420,"63,063"
296,2421,"107,969"
297,2422,"84,620"
298,2423,"75,250"
299,2424,"70,848"
300,2425,"58,038"
301,2426,"52,096"
302,2427,"28,487"
303,2428,"68,182"
304,2429,"65,284"
305,2430,"63,768"
306,2431,"90,893"
307,2432,"106,607"
308,2433,"75,127"
309,2434,"80,403"
310,2435,"93,092"
311,2502,"37,227"
312,2503,"31,004"
313,2504,"33,873"
314,2505,"74,708"
315,2506,"50,294"
316,2507,"31,160"
317,2508,"35,625"
318,2510,"34,583"
319,2511,"23,516"
320,2512,"43,011"
321,2513,"28,631"
322,2514,"28,363"
323,2515,"22,708"
324,2516,"34,030"
325,2517,"28,311"
326,2518,"20,405"
327,2519,"20,620"
328,2520,"22,289"
329,2521.01,"23,264"
330,2521.02,"33,508"
331,2522.01,"31,029"
332,2522.02,"24,914"
333,2601,"12,036"
334,2602,"25,921"
335,2603,"29,306"
336,2604,"22,097"
337,2605,"28,867"
338,2606,"21,607"
339,2607,"23,214"
340,2608,"20,912"
341,2609,"20,563"
342,2610,"30,817"
343,2705,"16,989"
344,2712,"23,929"
345,2713,"22,150"
346,2714,"32,717"
347,2715,"31,181"
348,2718,"17,652"
349,2801,"121,074"
350,2804,"21,250"
351,2808,"20,278"
352,2809,"20,565"
353,2819,"85,160"
354,2827,"58,047"
355,2828,"52,461"
356,2831,"45,625"
357,2832,"71,250"
358,2838,"61,389"
359,2909,"23,834"
360,2912,"21,516"
361,2916,"49,085"
362,2922,"25,291"
363,2924,"27,019"
364,2925,"36,250"
365,3005,"38,054"
366,3006,"40,511"
367,3007,"29,120"
368,3008,"29,446"
369,3009,"25,099"
370,3011,"26,234"
371,3012,"26,375"
372,3016,"31,216"
373,3017.01,"30,205"
374,3017.02,"37,013"
375,3018.01,"35,764"
376,3018.02,"33,088"
377,3018.03,"29,914"
378,3102,"63,250"
379,3103,"45,096"
380,3104,"48,083"
381,3105,"41,536"
382,3106,"29,980"
383,3107,"40,719"
384,3108,"37,825"
385,3109,"34,922"
386,3201,"109,243"
387,3204,"159,583"
388,3206,"91,681"
389,3301,"92,179"
390,3302,"79,125"
391,3403,"31,875"
