,GEOID,grocery_stores_count
656,17031720200,4
657,17031720300,4
658,17031720400,5
659,17031720500,5
660,17031720600,4
661,17031720700,4
662,17031730100,12
663,17031730201,13
664,17031730202,13
665,17031730300,9
666,17031730400,7
667,17031730500,3
668,17031730600,7
669,17031730700,7
670,17031740100,1
671,17031740200,1
672,17031740300,1
673,17031740400,1
674,17031750100,7
675,17031750200,4
676,17031750300,5
677,17031750400,5
678,17031750500,4
679,17031750600,7
680,17031760801,3
681,17031760802,7
682,17031760803,2
683,17031770700,2
684,17031770902,2
685,17031805502,1
686,17031807800,3
687,17031808002,3
688,17031808100,1
689,17031810400,3
690,17031810502,5
691,17031810600,5
692,17031810701,4
693,17031810702,4
694,17031810800,4
695,17031810900,4
696,17031811000,4
697,17031811100,4
698,17031812100,14
699,17031813302,3
700,17031814200,7
701,17031820502,5
702,17031820800,5
703,17031820901,14
704,17031820902,14
705,17031821200,5
706,17031821401,1
707,17031821402,1
708,17031821500,1
709,17031821600,9
710,17031823304,1
711,17031826401,1
712,17031826500,1
713,17031826600,1
714,17031826700,1
715,17031826800,1
716,17031830500,17
717,17031830600,9
718,17031830700,14
719,17031830800,18
720,17031830900,23
721,17031831000,17
722,17031831100,12
723,17031831200,28
724,17031831300,17
725,17031831400,3
726,17031831500,23
727,17031831600,4
728,17031831700,8
729,17031831800,9
730,17031831900,11
731,17031832000,11
732,17031832100,5
733,17031832200,14
734,17031832300,15
735,17031832400,14
736,17031832500,11
737,17031832600,12
738,17031832900,3
739,17031833000,8
740,17031833100,7
741,17031833300,16
742,17031833900,8
743,17031834000,12
744,17031834200,6
745,17031834300,12
746,17031834400,4
747,17031834500,6
748,17031834600,2
749,17031834700,2
750,17031834800,2
751,17031834900,2
752,17031835000,11
753,17031835100,21
754,17031835200,15
755,17031835500,5
756,17031835600,5
757,17031835700,5
758,17031835800,6
759,17031835900,7
760,17031836000,2
761,17031836100,9
762,17031836200,8
763,17031836300,4
764,17031836400,2
765,17031836500,2
766,17031836600,6
767,17031836700,10
768,17031836800,4
769,17031836900,4
770,17031837000,1
771,17031837100,1
772,17031837300,4
773,17031837400,1
774,17031837800,1
775,17031838000,1
776,17031838100,4
777,17031838200,17
778,17031838300,7
779,17031838600,1
780,17031838700,10
781,17031838800,11
782,17031839000,6
783,17031839100,11
784,17031839200,6
785,17031839500,6
786,17031839600,8
787,17031839700,24
788,17031839800,19
789,17031839900,11
790,17031840000,11
791,17031840100,6
792,17031840200,19
793,17031840300,28
794,17031840400,18
795,17031840700,20
796,17031840800,7
797,17031841000,6
798,17031841100,6
799,17031841200,13
800,17031841300,13
801,17031841400,7
802,17031841500,10
803,17031841600,7
804,17031841700,7
805,17031841800,8
806,17031841900,22
807,17031842000,6
808,17031842100,6
809,17031842200,10
810,17031842300,10
811,17031842400,9
812,17031842500,6
813,17031842600,5
814,17031842800,10
815,17031842900,13
816,17031843000,4
817,17031843100,21
818,17031843200,19
819,17031843300,14
820,17031843400,7
821,17031843500,20
822,17031843600,6
823,17031843700,9
824,17031843800,5
825,17031843900,6
826,17031980100,15
