GEOID,perc_rental_housing_2018
17031010100,0.780656304
17031010201,0.713541667
17031010202,0.7323049
17031010300,0.658873889
17031010400,0.787409701
17031010501,0.88
17031010502,0.809681698
17031010503,0.796487603
17031010600,0.752347826
17031010701,0.551062371
17031010702,0.787864078
17031020100,0.508997429
17031020200,0.290866511
17031020301,0.270123457
17031020302,0.418778802
17031020400,0.463750749
17031020500,0.71381733
17031020601,0.562910561
17031020602,0.596059113
17031020701,0.385103011
17031020702,0.695689287
17031020801,0.594357077
17031020802,0.6388291
17031020901,0.714591128
17031020902,0.443069307
17031030101,0.651771957
17031030102,0.626131222
17031030103,0.75
17031030104,0.600746269
17031030200,0.512974052
17031030300,0.707152497
17031030400,0.573833206
17031030500,0.526387937
17031030601,0.694838057
17031030603,0.911660777
17031030604,0.736026303
17031030701,0.750277469
17031030702,0.452764171
17031030703,0.760635281
17031030706,0.682768924
17031030800,0.55361724
17031030900,0.519713262
17031031000,0.596009975
17031031100,0.776480761
17031031200,0.752923977
17031031300,0.663731964
17031031400,0.448424544
17031031501,0.833513514
17031031502,0.874684609
17031031700,0.637213254
17031031800,0.561076605
17031031900,0.643650794
17031032100,0.74
17031040100,0.514036182
17031040201,0.614449696
17031040202,0.686254644
17031040300,0.324858757
17031040401,0.422503726
17031040402,0.631186174
17031040600,0.646330681
17031040700,0.609974425
17031040800,0.58488228
17031040900,0.614745587
17031050100,0.585689046
17031050200,0.368993654
17031050300,0.569863014
17031050500,0.41749409
17031050600,0.457875458
17031050700,0.298529412
17031050800,0.574013158
17031050900,0.555555556
17031051000,0.428571429
17031051100,0.416528926
17031051200,0.620805369
17031051300,0.225314183
17031051400,0.363753213
17031060100,0.547001621
17031060200,0.743978591
17031060300,0.522984175
17031060400,0.525839793
17031060500,0.766578249
17031060800,0.514854718
17031060900,0.609615385
17031061000,0.683426443
17031061100,0.61627907
17031061200,0.627400768
17031061500,0.65470297
17031061800,0.806312769
17031061901,0.708751139
17031061902,0.717913043
17031062000,0.660413972
17031062100,0.647764449
17031062200,0.531604538
17031062300,0.459885387
17031062400,0.438888889
17031062500,0.484550562
17031062600,0.362139918
17031062700,0.449035813
17031062800,0.546270718
17031062900,0.588364435
17031063000,0.632459565
17031063100,0.675154321
17031063200,0.63146654
17031063301,0.841390549
17031063302,0.687453875
17031063303,0.597574421
17031063400,0.687338501
17031070101,0.607728337
17031070102,0.734265734
17031070103,0.901080632
17031070200,0.637033399
17031070300,0.55801105
17031070400,0.569708492
17031070500,0.374335611
17031070600,0.293089754
17031070700,0.489411765
17031071000,0.497497497
17031071100,0.516574586
17031071200,0.473415133
17031071300,0.514285714
17031071400,0.599358974
17031071500,0.665283899
17031071600,0.358592693
17031071700,0.406676783
17031071800,0.400892857
17031080100,0.519101124
17031080201,0.423859015
17031080202,0.456210903
17031080300,0.447887324
17031080400,0.691192266
17031081000,0.84136042
17031081100,0.786076867
17031081201,0.548776284
17031081202,0.232276657
17031081300,0.355907359
17031081401,0.473017988
17031081402,0.580614507
17031081403,0.681470424
17031081500,0.577698309
17031081600,0.647014645
17031081700,0.721673904
17031081800,0.455832663
17031081900,0.442822384
17031090100,0.176512456
17031090200,0.252097775
17031090300,0.191146881
17031100100,0.34965035
17031100200,0.246427327
17031100300,0.345692884
17031100400,0.059856345
17031100500,0.135205184
17031100600,0.224328594
17031100700,0.104657534
17031110100,0.36703402
17031110200,0.484477124
17031110300,0.191205534
17031110400,0.406063887
17031110501,0.254738016
17031110502,0.527615335
17031120100,0.058708415
17031120200,0.168728909
17031120300,0.053416149
17031120400,0.21656051
17031130100,0.496640827
17031130200,0.237804878
17031130300,0.554748603
17031140100,0.728308501
17031140200,0.810214742
17031140301,0.702319588
17031140302,0.498808578
17031140400,0.317819149
17031140500,0.500385505
17031140601,0.604121475
17031140602,0.622594662
17031140701,0.71575985
17031140702,0.687861272
17031140800,0.506860055
17031150200,0.439848328
17031150300,0.439699351
17031150401,0.434167573
17031150402,0.308788599
17031150501,0.279463656
17031150502,0.358477971
17031150600,0.304878049
17031150700,0.391983696
17031150800,0.474060823
17031151001,0.470653378
17031151002,0.529036375
17031151100,0.535774648
17031151200,0.263763353
17031160100,0.471299094
17031160200,0.323358271
17031160300,0.549071618
17031160400,0.518052516
17031160501,0.571890145
17031160502,0.553846154
17031160601,0.516641452
17031160602,0.558945908
17031160700,0.541703248
17031160800,0.583015787
17031160900,0.491573034
17031161000,0.441069259
17031161100,0.29044586
17031161200,0.393528184
17031161300,0.631724138
17031170100,0.290353391
17031170200,0.167360533
17031170300,0.367558711
17031170400,0.289980093
17031170500,0.233532934
17031170600,0.159836066
17031170700,0.188859878
17031170800,0.258692629
17031170900,0.296969697
17031171000,0.248840804
17031171100,0.23400936
17031180100,0.220089286
17031190100,0.705669481
17031190200,0.411876184
17031190300,0.50744559
17031190401,0.316734694
17031190402,0.415683962
17031190601,0.443256579
17031190602,0.285513361
17031190701,0.655172414
17031190702,0.691298343
17031190800,0.553286853
17031190900,0.610644258
17031191000,0.405255878
17031191100,0.441654357
17031191200,0.584390244
17031191301,0.5532926
17031191302,0.519480519
17031200100,0.478425435
