zipcode,male_2015,white_2015,median_age_2015
60002,0.52,0.93,40.60
60004,0.48,0.85,41.80
60005,0.50,0.84,42.50
60007,0.49,0.82,42.80
60008,0.48,0.71,37.20
60010,0.48,0.88,47.30
60012,0.49,0.96,45.90
60013,0.51,0.91,41.10
60014,0.49,0.93,38.60
60015,0.48,0.91,42.90
60016,0.50,0.67,40.10
60018,0.53,0.71,39.00
60020,0.49,0.91,40.90
60021,0.49,0.91,35.40
60022,0.51,0.95,44.00
60025,0.47,0.81,44.50
60026,0.48,0.78,45.00
60029,0.55,0.95,42.00
60030,0.49,0.87,40.20
60031,0.49,0.75,38.70
60033,0.51,0.83,32.30
60034,0.49,0.92,43.40
60035,0.50,0.93,45.80
60040,0.49,0.89,36.50
60041,0.50,0.92,41.40
60042,0.49,0.92,37.30
60043,0.50,0.95,42.50
60044,0.46,0.87,44.10
60045,0.49,0.92,46.30
60046,0.50,0.89,38.80
60047,0.50,0.86,42.50
60048,0.49,0.91,44.90
60050,0.50,0.92,39.50
60051,0.50,0.93,39.00
60053,0.48,0.62,45.20
60056,0.50,0.74,39.30
60060,0.50,0.84,37.50
60061,0.50,0.70,38.10
60062,0.48,0.83,48.30
60064,0.49,0.43,28.90
60067,0.49,0.79,43.30
60068,0.48,0.92,44.80
60069,0.47,0.88,52.40
60070,0.49,0.76,37.40
60071,0.51,0.95,45.40
60072,0.47,0.94,40.20
60073,0.51,0.82,31.60
60074,0.50,0.65,34.20
60076,0.49,0.62,45.30
60077,0.45,0.59,41.90
60081,0.51,0.98,42.20
60083,0.49,0.68,39.90
60084,0.51,0.91,38.30
60085,0.50,0.66,29.90
60087,0.49,0.66,35.60
60088,0.73,0.72,21.30
60089,0.49,0.77,42.70
60090,0.49,0.67,36.50
60091,0.50,0.83,43.60
60093,0.50,0.91,43.50
60096,0.48,0.95,41.30
60097,0.57,0.96,38.00
60098,0.50,0.90,38.70
60099,0.48,0.60,33.50
60101,0.49,0.83,34.10
60102,0.49,0.90,40.10
60103,0.51,0.77,39.20
60104,0.47,0.14,36.80
60106,0.49,0.78,35.50
60107,0.51,0.60,36.60
60108,0.47,0.80,43.70
60109,0.46,0.99,41.80
60110,0.51,0.63,30.20
60111,0.49,1.00,63.60
60112,0.49,0.88,29.30
60113,0.46,0.98,39.70
60115,0.49,0.73,24.40
60118,0.52,0.88,43.80
60119,0.49,0.97,42.10
60120,0.50,0.60,31.80
60123,0.50,0.69,34.20
60124,0.50,0.76,39.40
60126,0.49,0.90,40.20
60129,0.49,1.00,38.30
60130,0.47,0.56,39.80
60131,0.48,0.78,39.20
60133,0.51,0.51,33.80
60134,0.50,0.93,41.20
60135,0.51,0.97,40.20
60136,0.52,0.71,32.30
60137,0.49,0.87,41.60
60139,0.52,0.60,33.20
60140,0.49,0.88,39.10
60141,1.00,0.54,65.00
60142,0.47,0.90,45.70
60143,0.50,0.89,41.40
60144,0.50,0.64,41.50
60145,0.52,0.95,36.80
60146,0.52,0.96,36.70
60148,0.49,0.81,40.50
60150,0.52,0.96,37.80
60151,0.51,0.97,41.50
60152,0.50,0.95,42.60
60153,0.47,0.15,34.20
60154,0.48,0.72,46.50
60155,0.52,0.22,44.60
60156,0.49,0.89,36.10
60157,0.49,0.94,42.80
60160,0.51,0.55,31.50
60162,0.47,0.37,40.30
60163,0.50,0.52,36.00
60164,0.50,0.68,35.30
60165,0.50,0.46,30.70
60169,0.49,0.56,34.90
60171,0.49,0.85,38.40
60172,0.48,0.84,38.80
60173,0.52,0.50,32.00
60174,0.47,0.88,43.20
60175,0.54,0.94,40.20
60176,0.51,0.76,37.10
60177,0.48,0.85,36.10
60178,0.48,0.90,37.90
60180,0.48,1.00,51.80
60181,0.51,0.77,36.50
60184,0.51,0.97,47.90
60185,0.52,0.85,33.80
60187,0.49,0.89,36.50
60188,0.50,0.75,38.00
60189,0.48,0.87,40.80
60190,0.51,0.92,45.60
60191,0.49,0.86,41.40
60192,0.49,0.66,41.90
60193,0.48,0.76,41.90
60194,0.47,0.62,37.90
60195,0.49,0.50,31.80
60201,0.49,0.69,31.00
60202,0.46,0.66,38.50
60203,0.48,0.74,42.30
60301,0.40,0.62,45.70
60302,0.47,0.68,39.50
60304,0.47,0.69,38.00
60305,0.48,0.82,41.60
60401,0.52,0.93,46.00
60402,0.49,0.67,35.20
60403,0.52,0.69,38.30
60404,0.46,0.83,38.70
60406,0.50,0.42,34.20
60407,0.52,0.97,35.30
60408,0.54,0.98,40.50
60409,0.45,0.21,36.10
60410,0.49,0.93,36.30
60411,0.48,0.35,33.80
60415,0.51,0.79,32.60
60416,0.48,0.96,34.80
60417,0.51,0.74,48.30
60419,0.46,0.07,36.40
60420,0.40,0.86,40.60
60421,0.51,0.95,42.20
60422,0.46,0.45,47.80
60423,0.49,0.91,41.00
60424,0.51,0.97,41.70
60425,0.50,0.26,42.80
60426,0.48,0.11,37.20
60428,0.45,0.14,37.20
60429,0.48,0.13,38.80
60430,0.47,0.52,42.10
60431,0.49,0.80,33.90
60432,0.51,0.50,30.00
60433,0.51,0.46,34.60
60435,0.48,0.69,35.60
60436,0.51,0.63,32.10
60437,0.49,1.00,52.30
60438,0.47,0.57,42.10
60439,0.48,0.95,43.00
60440,0.49,0.51,33.40
60441,0.51,0.87,36.20
60442,0.52,0.97,34.70
60443,0.46,0.22,41.10
