,census_tract,EDU_2019
359,2909,20.1
360,2912,17.9
361,2916,29.7
362,2922,21.6
363,2924,35.9
364,2925,18.6
365,3005,19.7
366,3006,26.2
367,3007,10.4
368,3008,14.8
369,3009,25.2
370,3011,14.9
371,3012,20.8
372,3016,20.1
373,3017.01,18.3
374,3017.02,12.4
375,3018.01,20.5
376,3018.02,16
377,3018.03,20.6
378,3102,38.7
379,3103,50.1
380,3104,38.9
381,3105,31.1
382,3106,58
383,3107,63
384,3108,35.7
385,3109,32.7
386,3201,77.3
387,3204,98
388,3206,86.4
389,3301,48.4
390,3302,14.2
391,3403,31.1
392,3404,47.3
393,3405,78.8
394,3406,11.7
395,3501,93.3
396,3504,7.9
397,3510,93.6
398,3511,13.6
399,3514,19.8
400,3515,54.7
401,3602,23.3
402,3801,32.5
403,3802,44.6
404,3805,8.3
405,3807,49.9
406,3812,25.7
407,3814,16.2
408,3815,30.9
409,3817,-
410,3818,49.4
411,3819,23.7
412,3901,28
413,3902,16.1
414,3903,23.7
415,3904,24.5
416,3905,50.6
417,3906,33.5
418,3907,69.5
419,4003,5.4
420,4004,26.2
421,4005,18.9
422,4008,10.8
423,4101,80.2
424,4102,90.7
425,4105,77
426,4106,75.4
427,4107,86.1
428,4108,70.5
429,4109,55.1
430,4110,71.3
431,4111,71.7
432,4112,57.1
433,4201,23.1
434,4202,38.1
435,4203,88.8
436,4204,72.9
437,4205,26.6
438,4206,29.7
439,4207,43.7
440,4208,30.9
441,4212,19.3
442,4301.01,28
443,4301.02,42.3
444,4302,19
445,4303,20.3
446,4304,14.5
447,4305,22.8
448,4306,23.7
449,4307,31
450,4308,4.4
451,4309,44.8
452,4312,27.8
453,4313.01,22.7
454,4313.02,22
455,4314,18.6
456,4401.01,24.3
457,4401.02,37.7
458,4402.01,20.4
459,4402.02,24.9
460,4403,27.7
461,4406,26.6
462,4407,29.5
463,4408,22.7
464,4409,17.4
465,4503,34.5
466,4601,23.4
467,4602,16.2
468,4603.01,12
469,4603.02,15.9
470,4604,14.6
471,4605,27
472,4606,26.8
473,4607,22.3
474,4610,30.5
475,4701,17.3
476,4801,43
477,4802,30.8
478,4803,45.3
479,4804,26.1
480,4805,15.4
481,4903,24.5
482,4904,42
483,4905,41.6
484,4906,31.2
485,4907,19.8
486,4908,28.9
487,4909.01,17.5
488,4909.02,25.9
489,4910,11.4
490,4911,28.5
491,4912,22.6
492,4913,20
493,4914,26.8
494,5001,36.8
495,5002,28.1
496,5003,30.5
497,5101,13.6
498,5102,23.1
499,5103,14
500,5201,15
501,5202,14.7
502,5203,18.6
503,5204,24.1
504,5205,19.8
505,5206,9.7
506,5301,29
507,5302,22.2
508,5303,11.2
509,5304,35
510,5305.01,10.8
511,5305.02,38.2
512,5305.03,14.8
513,5306,25.6
514,5401.01,11.9
515,5401.02,13.1
516,5501,30.8
517,5502,31.9
518,5601,18.1
519,5602,26.5
520,5603,31.1
521,5604,13.5
522,5607,14.7
523,5608,13.9
524,5609,36.2
525,5610,20
526,5611,20.6
527,5701,19.6
528,5702,33
529,5703,16.2
530,5704,21.9
531,5705,24.2
532,5801,17.1
533,5802,12.3
534,5803,26.2
535,5804,23.3
536,5805.01,19.1
537,5805.02,31.4
538,5806,32
539,5807,23.8
540,5808,20.1
541,5905,46.8
542,5906,34.4
543,5907,25.5
544,6004,35.7
545,6006,29.3
546,6007,26.4
547,6009,35.1
548,6103,15.7
549,6104,21.3
550,6108,18
551,6110,21
552,6111,16.3
553,6112,9.5
554,6113,26
555,6114,33.1
556,6115,12.6
557,6116,27.1
558,6117,24.9
559,6118,8.2
560,6119,7
561,6120,19.3
562,6121,8.8
563,6201,22.4
564,6202,25.5
565,6203,23.9
566,6204,25.7
567,6301,27.3
568,6302,23.6
569,6303,17.9
570,6304,20.1
571,6305,12
572,6308,20.3
573,6309,20.6
574,6401,37.8
575,6403,22
576,6404,16.6
577,6405,24.3
578,6406,19.3
579,6407,12.3
580,6408,12.6
581,6501,17.5
582,6502,12.9
583,6503.01,18.9
584,6503.02,14.5
585,6504,19.5
586,6505,27.2
587,6603.01,14.4
588,6603.02,17.3
589,6604,19.6
590,6605,6.8
591,6606,25.6
592,6607,18.6
593,6608,17.2
594,6609,14.7
595,6610,15.8
596,6611,25.2
597,6701,12.2
598,6702,20.5
599,6703,19.2
600,6704,4.8
601,6705,8.3
602,6706,9
603,6707,0
604,6708,15
605,6709,0
606,6711,3.3
607,6712,2.9
608,6713,12.2
609,6714,45.6
610,6715,19.4
611,6716,20.2
612,6718,7.7
613,6719,10
614,6720,8.3
615,6805,13.4
616,6806,23.6
617,6809,13.7
618,6810,27.5
619,6811,10.4
620,6812,11.1
621,6813,15
622,6814,20
623,6903,15.9
624,6904,35.2
625,6905,16.9
626,6909,20.7
627,6910,17.2
628,6911,23.9
629,6912,11.4
630,6913,22.4
631,6914,26.7
632,6915,17.8
633,7001,25.1
634,7002,18.2
635,7003.01,16.9
636,7003.02,15.3
637,7004.01,25.1
638,7004.02,19.2
639,7005.01,45.8
640,7005.02,28.5
641,7101,19.6
642,7102,15.8
643,7103,21.2
644,7104,16.3
645,7105,20.9
646,7106,25.4
647,7107,9.3
648,7108,32.5
649,7109,15
650,7110,22.5
651,7111,23
652,7112,32
653,7113,15.5
654,7114,23.7
655,7115,30.9
656,7201,19
657,7202,19.3
658,7203,29
659,7204,14.2
660,7205,12.2
661,7206,23.5
662,7207,36.9
663,7301,30.6
664,7302.01,28.1
665,7302.02,27.3
666,7303,21.3
667,7304,26.9
668,7305,28.4
669,7306,19.4
670,7307,23.1
671,7401,17.8
672,7402,44.8
673,7403,18.3
674,7404,22
675,7501,48.6
676,7502,18.3
677,7503,15.6
678,7504,24.7
679,7505,11.8
680,7506,19.3
681,7608.01,49.6
682,7608.02,22.4
683,7608.03,26.9
684,7702.01,28.2
685,7702.02,25.7
686,7703,30.5
687,7704,42.2
688,7705,12.6
689,7706.01,35.2
690,7706.02,17.8
691,7707,42.2
692,7708,19.9
693,7709.01,34.4
694,7709.02,26.7
695,8001,15.8
696,8002,9.5
697,8003,17.9
698,8004,8.4
699,8005,11.9
700,8006,14.3
701,8007,10.6
702,8008,18.5
703,8009,16.5
704,8010,11.7
705,8011,5.8
706,8012,12.1
707,8013,16.4
708,8014,18.7
709,8015,11.9
710,8016.01,28.3
711,8016.03,19.7
712,8016.05,16.5
713,8016.06,11.5
714,8016.07,21.9
715,8016.08,19.1
716,8017.01,13.6
717,8017.02,8.4
718,8018,9.4
719,8019.01,12.6
720,8019.02,12.1
721,8020.02,9.2
722,8020.03,23.2
723,8020.04,28.6
724,8021,8.1
725,8022,12.1
726,8023,9.1
727,8024.02,20.5
728,8024.03,25.9
729,8024.04,24.4
730,8025.03,21.1
731,8025.04,25.1
732,8025.05,25.1
733,8025.06,26.4
734,8026.05,25.2
735,8026.07,14.9
736,8026.08,16.9
737,8026.09,23.9
738,8026.1,28.8
739,8027.01,27.2
740,8027.02,27
741,8028.01,20.8
742,8028.02,11.6
743,8029,11
744,8030.05,23.7
745,8030.07,28.7
746,8030.08,18
747,8030.1,12.4
748,8030.12,34.7
749,8030.13,22.7
750,8030.14,31.6
751,8030.15,18
752,8030.16,10.2
753,8030.17,19.3
754,8031,21.9
755,8032,26.6
756,8033,10.5
757,8034,15.4
758,8035,22
759,8036.03,24.2
760,8036.04,19.6
761,8036.05,34.4
762,8036.06,9.7
763,8036.07,21.8
764,8036.08,21.4
765,8036.1,22.3
766,8036.11,27.8
767,8036.12,13
768,8037.01,24.1
769,8037.02,21.4
770,8038,28.2
771,8039.01,27.7
772,8039.02,32.4
773,8040,30.7
774,8041.02,21.5
775,8041.04,24.7
776,8041.05,18.5
777,8041.06,21.2
778,8041.08,21.9
779,8041.09,16.3
780,8042.01,12.4
781,8042.02,15.7
782,8043.05,20.1
783,8043.06,31.3
784,8043.08,23.1
785,8043.09,26
786,8043.1,18.3
787,8043.11,23.6
788,8044.03,22.2
789,8044.04,25
790,8044.05,20.2
791,8044.06,17
792,8045.05,20.3
793,8045.06,24.8
794,8045.07,19.7
795,8045.08,27.3
796,8045.09,17.6
797,8045.1,12.6
798,8045.11,16.9
799,8046.03,24.4
800,8046.06,25.3
801,8046.07,33.1
802,8046.08,18.7
803,8046.09,19.9
804,8046.1,31.2
805,8046.11,23
806,8047.01,16
807,8047.05,28.9
808,8047.06,29.6
809,8047.09,23.4
810,8047.1,29.2
811,8047.11,15
812,8047.12,17.5
813,8047.13,32.4
814,8047.14,34.3
815,8047.15,20.2
816,8047.16,21.4
817,8048.03,11.5
818,8048.04,37
819,8048.05,27
820,8048.06,25.8
821,8048.07,18.3
822,8048.08,17.9
823,8048.09,22.9
824,8048.1,15
825,8049.01,18
826,8049.02,24.8
827,8050.01,22.2
828,8050.02,27.6
829,8051.05,15
830,8051.06,33.8
831,8051.07,25.8
832,8051.08,21.4
833,8051.09,26.6
834,8051.1,20.6
835,8051.11,30.7
836,8051.12,35.7
837,8052.01,31.2
838,8052.02,20.7
839,8053.01,39.7
840,8053.02,35.5
841,8054.01,35.8
842,8054.02,45.5
843,8055.01,17.9
844,8055.02,15.2
845,8056,25.6
846,8057.01,16.5
847,8057.02,21.4
848,8058.01,14
849,8058.02,18.4
850,8059.01,31.5
851,8059.02,22.6
852,8060.01,43.4
853,8060.02,31
854,8060.03,31.8
855,8060.04,41.4
856,8061.02,30.4
857,8061.03,23.6
858,8061.04,32.2
859,8062.01,20.5
860,8062.02,27.9
861,8063,26.3
862,8064,21.6
863,8065.01,21.1
864,8065.02,41.3
865,8066,18.2
866,8067,18
867,8068.01,23.8
868,8068.02,14.1
869,8069,28.5
