GEO_ID,vacancies_2017
17031010100,14.4
17031010201,10.8
17031010202,19.7
17031010300,12.2
17031010400,15.7
17031010501,9.9
17031010502,14
17031010503,20.2
17031010600,8.5
17031010701,9.8
17031010702,8.9
17031020100,16
17031020200,4.2
17031020301,10.7
17031020302,9.8
17031020400,5.5
17031020500,13.5
17031020601,10.3
17031020602,9.3
17031020701,17.9
17031020702,9.9
17031020801,13.8
17031020802,10.1
17031020901,14
17031020902,7.3
17031030101,16
17031030102,15.3
17031030103,20.3
17031030104,11.6
17031030200,10.6
17031030300,4.6
17031030400,6.5
17031030500,11.5
17031030601,7.4
17031030603,11.2
17031030604,16.5
17031030701,7.2
17031030702,11.7
17031030703,13.3
17031030706,9.7
17031030800,10.6
17031030900,5.6
17031031000,7.2
17031031100,3.4
17031031200,14.5
17031031300,5.4
17031031400,12.5
17031031501,11.1
17031031502,9.8
17031031700,9.5
17031031800,7.6
17031031900,5.1
17031032100,14.5
17031040100,11
17031040201,4.5
17031040202,6.6
17031040300,6.7
17031040401,6.5
17031040402,6.3
17031040600,14.5
17031040700,6.7
17031040800,3.3
17031040900,15.7
17031050100,10.4
17031050200,7.9
17031050300,5.8
17031050500,4.7
17031050600,8.5
17031050700,6.3
17031050800,5.9
17031050900,15.8
17031051000,6.3
17031051100,13.2
17031051200,9.7
17031051300,5.9
17031051400,44.1
17031060100,6.7
17031060200,5.9
17031060300,4.6
17031060400,7.2
17031060500,6.4
17031060800,11.8
17031060900,9.2
17031061000,7.5
17031061100,15.8
17031061200,13.8
17031061500,9.6
17031061800,2.8
17031061901,7.4
17031061902,10.7
17031062000,5.9
17031062100,10.8
17031062200,9.6
17031062300,2.2
17031062400,13.1
17031062500,7.6
17031062600,3.1
17031062700,16.9
17031062800,7
17031062900,4.5
17031063000,7.2
17031063100,1.5
17031063200,6
17031063301,5.6
17031063302,8
17031063303,11.8
17031063400,12.9
17031070101,14.7
17031070102,8.2
17031070103,11.6
17031070200,8.7
17031070300,10.8
17031070400,4.3
17031070500,4.9
17031070600,9.7
17031070700,15.1
17031071000,8.3
17031071100,3.7
17031071200,2.6
17031071300,8.9
17031071400,7.7
17031071500,8.7
17031071600,13.3
17031071700,2.8
17031071800,4.8
17031080100,12.2
17031080201,9.9
17031080202,16
17031080300,5.9
17031080400,6.8
17031081000,12.5
17031081100,15.7
17031081201,23
17031081202,21.1
17031081300,25.4
17031081401,15.5
17031081402,24.6
17031081403,13.2
17031081500,23.1
17031081600,17.7
17031081700,12.7
17031081800,3.6
17031081900,54.7
17031090100,5.9
17031090200,7.2
17031090300,5.4
17031100100,6.2
17031100200,5.5
17031100300,7.3
17031100400,2
17031100500,8.9
17031100600,4.1
17031100700,8.7
17031110100,9.8
17031110200,1.7
17031110300,5
17031110400,8.1
17031110501,7.8
17031110502,9.4
17031120100,9.8
17031120200,3.3
17031120300,4.5
17031120400,8
17031130100,4.2
17031130200,2.4
17031130300,8.7
17031140100,11.2
17031140200,12.2
17031140301,15.2
