,census_tract,median_household_income_in_past_12_months
286,2408,"54,632"
287,2409,"42,717"
288,2410,"71,979"
289,2411,"80,524"
290,2412,"106,875"
291,2413,"154,792"
292,2414,"120,833"
293,2415,"141,983"
294,2416,"101,615"
295,2420,"116,066"
296,2421,"143,547"
297,2422,"124,107"
298,2423,"94,639"
299,2424,"95,357"
300,2425,"72,400"
301,2426,"63,009"
302,2427,"52,415"
303,2428,"89,688"
304,2429,"101,216"
305,2430,"85,362"
306,2431,"110,385"
307,2432,"123,942"
308,2433,"99,038"
309,2434,"102,625"
310,2435,"129,028"
311,2502,"47,411"
312,2503,"34,141"
313,2504,"46,261"
314,2505,"96,920"
315,2506,"46,184"
316,2507,"34,941"
317,2508,"36,250"
318,2510,"29,671"
319,2511,"19,938"
320,2512,"45,610"
321,2513,"31,663"
322,2514,"33,625"
323,2515,"23,933"
324,2516,"30,000"
325,2517,"52,857"
326,2518,"24,632"
327,2519,"21,106"
328,2520,"19,921"
329,2521.01,"17,000"
330,2521.02,"38,500"
331,2522.01,"32,831"
332,2522.02,"28,105"
333,2601,"14,505"
334,2602,"35,192"
335,2603,"23,289"
336,2604,"18,750"
337,2605,"33,026"
338,2606,"27,273"
339,2607,"22,222"
340,2608,"21,613"
341,2609,"24,714"
342,2610,"33,350"
343,2705,"15,571"
344,2712,"32,159"
345,2713,"25,345"
346,2714,"24,050"
347,2715,"37,109"
348,2718,"18,952"
349,2801,"136,389"
350,2804,"39,544"
351,2808,"18,077"
352,2809,"17,569"
353,2819,"109,104"
354,2827,"74,460"
355,2828,"58,203"
356,2831,"38,705"
357,2832,"73,558"
358,2838,"76,926"
359,2909,"25,542"
360,2912,"22,153"
361,2916,"53,750"
362,2922,"34,861"
363,2924,"32,589"
364,2925,"40,938"
365,3005,"40,083"
366,3006,"43,594"
367,3007,"40,789"
368,3008,"30,367"
369,3009,"29,098"
370,3011,"31,207"
371,3012,"35,259"
372,3016,"28,484"
373,3017.01,"30,742"
374,3017.02,"43,771"
375,3018.01,"37,000"
376,3018.02,"31,875"
377,3018.03,"32,208"
378,3102,"75,054"
379,3103,"51,607"
380,3104,"81,618"
381,3105,"45,417"
382,3106,"47,097"
383,3107,"57,774"
384,3108,"56,011"
385,3109,"41,929"
386,3201,"109,167"
387,3204,"168,958"
388,3206,"102,125"
389,3301,"115,484"
390,3302,"81,389"
391,3403,"33,333"
392,3404,"50,256"
393,3405,"23,854"
394,3406,"13,625"
395,3501,"44,896"
396,3504,"13,676"
397,3510,"44,770"
398,3511,"11,523"
399,3514,"16,607"
400,3515,"16,250"
401,3602,"31,674"
402,3801,"16,736"
403,3802,"27,724"
404,3805,"20,541"
405,3807,"43,250"
406,3812,"37,059"
407,3814,"42,960"
408,3815,"18,906"
409,3817,-
410,3818,"40,833"
411,3819,"52,641"
412,3901,"80,234"
413,3902,"87,500"
414,3903,"22,451"
415,3904,"25,553"
416,3905,"46,442"
