,census_tract,median_household_income_in_past_12_months
1182,8291,"30,862"
1183,8292,"46,875"
1184,8293.01,"75,708"
1185,8293.02,"32,000"
1186,8294.01,"30,091"
1187,8294.02,"41,578"
1188,8295,"41,138"
1189,8296,"53,911"
1190,8297,"40,432"
1191,8298,"103,417"
1192,8299.01,"79,772"
1193,8299.02,"76,409"
1194,8300.01,"47,250"
1195,8300.03,"96,379"
1196,8300.04,"88,003"
1197,8300.05,"97,000"
1198,8300.06,"56,009"
1199,8300.07,"47,466"
1200,8300.08,"85,156"
1201,8301,"76,548"
1202,8302.01,"59,662"
1203,8302.02,"87,901"
1204,8303,"38,043"
1205,8304,"53,920"
1206,8305,"37,917"
1207,8306,"47,227"
1208,8307,"55,236"
1209,8308,"79,405"
1210,8309,"102,246"
1211,8310,"149,722"
1212,8311,"60,540"
1213,8312,"39,180"
1214,8313,"46,333"
1215,8314,"33,776"
1216,8315,"58,798"
1217,8316,"47,042"
1218,8317,"62,130"
1219,8318,"55,368"
1220,8319,"131,500"
1221,8320,"121,500"
1222,8321,"76,193"
1223,8322,"109,701"
1224,8323,"120,052"
1225,8324,"100,972"
1226,8325,"148,802"
1227,8326,"152,328"
1228,8329,"63,527"
1229,8330,"151,028"
1230,8331,"132,391"
1231,8333,"56,136"
1232,8339,"32,237"
1233,8340,"45,822"
1234,8342,"65,459"
1235,8343,"42,517"
1236,8344,"55,341"
1237,8345,"32,756"
1238,8346,"27,631"
1239,8347,"23,125"
1240,8348,"18,636"
1241,8349,"17,522"
1242,8350,"27,849"
1243,8351,"41,938"
1244,8352,"50,900"
1245,8355,"23,922"
1246,8356,"23,571"
1247,8357,"49,880"
1248,8358,"66,944"
1249,8359,"20,139"
1250,8360,"65,463"
1251,8361,"25,451"
1252,8362,-
1253,8363,"52,440"
1254,8364,"27,210"
1255,8365,"45,930"
1256,8366,"48,313"
1257,8367,"30,783"
1258,8368,"12,905"
1259,8369,"27,904"
1260,8370,"32,083"
1261,8371,"21,507"
1262,8373,"27,656"
1263,8374,"39,231"
1264,8378,"59,915"
1265,8380,"26,971"
1266,8381,"15,755"
1267,8382,"61,458"
1268,8383,"95,139"
1269,8386,"16,829"
1270,8387,"25,701"
1271,8388,"27,160"
1272,8390,"105,094"
1273,8391,"101,000"
1274,8392,"35,707"
1275,8395,"19,950"
1276,8396,"32,401"
1277,8397,"58,974"
1278,8398,"60,590"
1279,8399,"64,912"
1280,8400,"85,143"
1281,8401,"50,469"
1282,8402,"61,806"
1283,8403,"50,607"
1284,8404,"44,550"
1285,8407,"43,207"
1286,8408,"34,773"
1287,8410,"98,320"
1288,8411,"35,723"
1289,8412,"45,700"
1290,8413,"54,275"
1291,8414,"43,145"
1292,8415,"31,944"
1293,8416,"24,848"
1294,8417,"18,810"
1295,8418,"37,176"
1296,8419,"114,350"
1297,8420,"99,583"
1298,8421,"38,603"
1299,8422,"86,250"
1300,8423,"142,550"
1301,8424,"47,669"
1302,8425,"11,146"
1303,8426,"76,616"
1304,8428,"36,439"
1305,8429,"20,068"
1306,8430,"19,792"
1307,8431,"22,566"
1308,8432,"49,451"
1309,8433,"50,486"
1310,8434,"29,028"
1311,8435,"29,375"
1312,8436,"39,167"
1313,8437,"114,886"
1314,8438,"36,042"
1315,8439,"33,028"
1316,9800,-
1317,9801,-
1318,9900,-
