,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31/1/2010,28/2/2010,31/3/2010,30/4/2010,31/5/2010,30/6/2010,31/7/2010,31/8/2010,30/9/2010,31/10/2010,30/11/2010,31/12/2010,31/1/2011,28/2/2011,31/3/2011,30/4/2011,31/5/2011,30/6/2011,31/7/2011,31/8/2011,30/9/2011,31/10/2011,30/11/2011,31/12/2011,31/1/2012,29/2/2012,31/3/2012,30/4/2012,31/5/2012,30/6/2012,31/7/2012,31/8/2012,30/9/2012,31/10/2012,30/11/2012,31/12/2012,31/1/2013,28/2/2013,31/3/2013,30/4/2013,31/5/2013,30/6/2013,31/7/2013,31/8/2013,30/9/2013,31/10/2013,30/11/2013,31/12/2013,31/1/2014,28/2/2014,31/3/2014,30/4/2014,31/5/2014,30/6/2014,31/7/2014,31/8/2014,30/9/2014,31/10/2014,30/11/2014,31/12/2014,31/1/2015,28/2/2015,31/3/2015,30/4/2015,31/5/2015,30/6/2015,31/7/2015,31/8/2015,30/9/2015,31/10/2015,30/11/2015,31/12/2015,31/1/2016,29/2/2016,31/3/2016,30/4/2016,31/5/2016,30/6/2016,31/7/2016,31/8/2016,30/9/2016,31/10/2016,30/11/2016,31/12/2016,31/1/2017,28/2/2017,31/3/2017,30/4/2017,31/5/2017,30/6/2017,31/7/2017,31/8/2017,30/9/2017,31/10/2017,30/11/2017,31/12/2017,31/1/2018,28/2/2018,31/3/2018,30/4/2018,31/5/2018,30/6/2018,31/7/2018,31/8/2018,30/9/2018,31/10/2018,30/11/2018,31/12/2018,31/1/2019,28/2/2019,31/3/2019,30/4/2019,31/5/2019,30/6/2019,31/7/2019,31/8/2019,30/9/2019,31/10/2019,30/11/2019,31/12/2019,31/1/2020,change,change_perc
1230,84607,1238,60605,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,342244,345516,343589,347338,345738,349667,344062,341683,335793,332551,327255,326351,326095,325333,323374,322335,324513,325410,326170,325545,324850,322559,322569,319158,317963,312065,311962,310904,312789,313957,314006,313634,313859,316044,317280,315848,317071,320122,324658,329902,335694,341401,345672,350112,354120,361100,364677,369368,369362,371988,372973,372877,372673,373174,373565,372710,372900,373990,374852,375428,375191,376588,378806,382447,384505,384372,384488,384103,383946,382858,381821,382393,383883,388077,392202,394280,394160,393030,393153,392856,392734,393384,396359,396672,397956,398514,401854,402394,402194,401124,401175,401001,401978,402106,402999,403859,406900,409477,410194,408822,406946,404628,402657,400270,399028,396990,396754,396874,395311,393895,392367,393776,394174,394715,395099,395081,394893,394648,394876,395210,394769,0.153472376,15.34723764
1513,84611,1525,60609,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,174365,171708,165692,166588,164199,164939,160545,156372,153748,151361,148203,143263,140654,138888,137594,135144,133641,131366,130312,130737,130909,129552,127794,125243,123250,120446,120225,120040,121134,120681,119629,118412,117511,116849,115118,113386,112783,112716,113162,113570,114310,117373,120990,123124,123466,124307,125608,126233,125487,125147,124828,124971,124475,123590,122477,122036,122744,122726,122457,123186,124248,125991,126966,128055,129918,131207,134455,137097,139292,139723,140351,141638,143068,144959,145487,145305,144141,143770,144188,144352,143811,143931,144698,146477,148430,150235,151713,152365,152961,152959,152204,152323,153305,155154,157395,161441,165574,168780,170842,171883,174398,176726,179128,180403,181838,183998,186311,188146,189727,189978,189682,189372,188652,187203,184895,183654,183849,185805,188328,189663,190357,0.091715654,9.171565394
1612,84644,1625,60645,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,260775,260899,257694,259019,256777,259056,255298,254653,250906,248878,244686,239275,233663,228898,228013,227576,228532,226942,226738,225020,223058,219216,217586,214829,214352,213391,217210,219958,222260,221921,220639,219905,220504,222557,223754,224533,226061,227797,227903,228413,230021,233934,237840,241048,243221,244964,244213,244660,244683,247447,249074,251221,253689,256217,257479,257547,258421,259678,261505,263406,264961,266307,268028,270280,271884,271731,271982,272351,272707,272529,272853,275262,278681,283704,286960,288534,288821,288985,290100,290362,291383,293341,296286,298946,301804,303888,306377,307149,307883,306235,304901,303520,304228,302871,302159,302135,304657,306229,306252,305741,305549,305771,305712,305716,305943,306213,307497,308770,309415,309726,308989,308507,307080,306597,305829,305925,305889,306957,307684,308734,309809,0.188031828,18.80318282
1614,84651,1627,60654,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,319595,320180,318450,320578,319753,321289,316212,313646,310446,308655,305559,303068,300879,300011,299977,300993,302314,302553,302930,302654,301655,298254,296913,292799,291062,287066,289480,292063,295269,296300,296564,297565,298514,301875,304323,306719,309402,312799,316542,321123,327485,334599,341512,346755,351037,356468,359215,362916,363327,366874,367948,369163,370478,372784,373151,372462,372181,372975,372641,373467,374468,376895,379693,382754,384579,385138,386225,387245,387501,386523,386460,388242,391047,396194,399513,402224,401812,401786,401979,402432,402614,403665,406442,409862,413880,416680,419457,418807,416860,414161,412839,412405,413053,412394,412388,413229,416369,419460,420630,419892,418367,415828,413703,411486,411140,410750,411908,411537,410664,409500,408349,408168,407688,407395,406757,405732,405339,405166,404616,403986,403558,0.262716876,26.2716876
1668,84648,1681,60651,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,167661,168997,170347,172547,172056,172027,167646,166692,166468,166344,163867,158313,153215,151368,150964,151034,151349,151592,152578,150366,148192,143725,143039,139145,137683,132157,131599,130654,131709,130211,127482,124774,122874,122165,122836,121046,120208,117115,116842,116846,117370,118027,121246,125476,128681,129230,127234,127041,127284,129529,130560,130554,131090,133164,136334,138582,139929,140336,140563,141840,143494,146621,148885,151954,153814,154437,154538,155048,155891,157343,157910,159910,159584,161378,161189,161897,160609,160013,160770,161667,162666,164016,165477,169214,171852,175899,177842,179592,179202,178725,179002,180347,182928,185031,187514,190637,194789,199493,201688,204482,206589,210129,209534,209126,207866,210110,212981,215466,216618,217207,218429,220309,222506,224097,224986,224397,222933,222024,222585,224336,224660,0.339965764,33.99657643
1881,84650,1896,60653,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,269863,266870,261201,261402,259369,262076,258213,256290,250870,249528,244889,237309,227374,219872,216973,215423,214195,211181,207705,203875,201374,196682,192016,185596,181457,175466,172329,171609,173725,175561,176113,176830,177478,179926,181802,182805,185830,190706,196157,196166,192856,191734,193950,196104,196864,195998,195253,193619,193899,196766,199117,200664,201263,204852,207400,211162,214566,216758,216969,215762,214104,213693,212989,213986,213665,212384,212326,214636,216703,217516,217416,220049,224624,230099,234779,235389,234735,231841,231745,232575,233219,234883,236573,240904,245508,249594,254359,257698,260834,261384,262130,261310,262117,261417,263648,266788,272069,275708,276511,275602,275273,275322,274979,273340,273193,273250,275700,278071,280329,281458,282246,283120,283249,282699,282088,281832,281187,282118,283293,284938,285370,0.05746249,5.746249023
2041,84643,2056,60644,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,174082,171375,168081,166941,165014,162476,153610,150007,150151,153743,152373,148263,143393,142673,142084,142335,142384,141192,141258,138573,136332,131118,126840,123953,124736,124953,125937,124700,123752,121366,117090,111525,107393,106170,106070,103794,102979,102350,103212,103379,101067,99630,98608,102073,101278,99589,96070,96741,95658,95807,94435,93423,92315,92178,93899,94948,97272,98046,97801,96623,96401,96197,97560,99199,102787,103857,106231,107552,110721,113469,116610,119686,122030,123948,124840,125692,126311,126480,126493,125568,123236,121292,121309,120628,120619,120737,123328,125830,126873,127316,127708,130143,132419,134706,135608,138338,141205,141756,141555,140861,144339,147722,152125,154972,157636,160184,163739,166164,166673,166190,166173,166793,167144,168519,168315,168154,167121,167818,168770,170057,170652,-0.019703358,-1.970335819
2245,84609,2261,60607,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,319355,320169,318644,321590,320592,323226,318358,317035,312539,309729,305580,302265,300868,299962,299802,299677,300793,300179,299396,297589,295965,293184,291781,288675,286481,282057,284260,286299,289306,288291,286825,286678,286647,288949,289407,290669,293729,298159,302733,306610,311122,316464,321372,324599,327265,333027,337203,341758,341870,345146,345882,346320,346487,348049,349380,349604,351264,352344,352510,352388,352602,354204,356604,360327,363685,364775,364658,363657,362842,362482,362912,365095,368329,373994,378025,380691,380529,381073,382533,384811,386245,387122,389421,392037,395890,398645,403270,406269,409212,409098,410683,411542,414942,415382,417163,418883,422886,425613,425930,424522,422316,419603,416647,414326,413131,412528,413321,414022,413129,411265,410817,411523,412513,412030,411872,411402,411407,411446,411634,411905,412114,0.290457328,29.04573281
2565,84614,2586,60612,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,269116,266790,264715,267020,265220,266626,262022,260612,254192,249901,241795,234916,229416,224591,221323,215865,213443,209070,206155,201172,197179,192162,190462,186606,185622,180358,178439,175958,175568,175023,172478,170342,168353,168717,168560,168248,170240,172541,174416,174918,176724,180553,184227,189100,192295,197104,198508,200506,200986,203420,205679,206273,205870,205721,205585,205575,207443,210089,212747,214238,215116,217524,219191,222249,224828,227140,228791,228949,229595,230303,231918,234523,237441,241731,245269,248315,249320,248308,247095,246130,246050,246861,249796,253096,256143,258825,263276,266845,270606,271078,273236,273732,276062,275430,276005,277679,282525,286327,287754,288013,288014,288558,289045,289091,289780,290068,290947,292367,292065,292907,292485,293627,293477,292958,292377,291880,291769,291366,291082,291820,292278,0.086066975,8.606697484
2872,84655,2896,60659,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,294361,294264,289348,290998,289601,293669,289010,287963,282945,280110,274684,269580,265006,260442,258157,254973,253840,251282,252064,251349,249938,246424,244714,242170,240790,238465,241018,243113,245626,246699,246674,246937,246710,247959,248549,249660,251795,253760,254556,256490,259307,263397,265706,268408,270016,275048,277208,281813,284268,289050,291649,294058,297599,300270,301649,299990,300039,298777,299633,300108,301594,303101,305184,308246,309251,308476,307696,307199,307670,308115,309975,312935,316563,321801,325249,326478,325719,325386,327238,328276,330213,332164,335747,337588,339914,341570,345324,346613,347390,345409,343814,341722,341831,341626,342442,342738,344702,346630,347708,347306,345970,344266,342682,341727,341166,340486,340929,340979,341297,341203,340941,340406,338785,338024,337158,337765,338834,340539,341303,342379,343668,0.167505206,16.75052062
