,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31/1/2010,28/2/2010,31/3/2010,30/4/2010,31/5/2010,30/6/2010,31/7/2010,31/8/2010,30/9/2010,31/10/2010,30/11/2010,31/12/2010,31/1/2011,28/2/2011,31/3/2011,30/4/2011,31/5/2011,30/6/2011,31/7/2011,31/8/2011,30/9/2011,31/10/2011,30/11/2011,31/12/2011,31/1/2012,29/2/2012,31/3/2012,30/4/2012,31/5/2012,30/6/2012,31/7/2012,31/8/2012,30/9/2012,31/10/2012,30/11/2012,31/12/2012,31/1/2013,28/2/2013,31/3/2013,30/4/2013,31/5/2013,30/6/2013,31/7/2013,31/8/2013,30/9/2013,31/10/2013,30/11/2013,31/12/2013,31/1/2014,28/2/2014,31/3/2014,30/4/2014,31/5/2014,30/6/2014,31/7/2014,31/8/2014,30/9/2014,31/10/2014,30/11/2014,31/12/2014,31/1/2015,28/2/2015,31/3/2015,30/4/2015,31/5/2015,30/6/2015,31/7/2015,31/8/2015,30/9/2015,31/10/2015,30/11/2015,31/12/2015,31/1/2016,29/2/2016,31/3/2016,30/4/2016,31/5/2016,30/6/2016,31/7/2016,31/8/2016,30/9/2016,31/10/2016,30/11/2016,31/12/2016,31/1/2017,28/2/2017,31/3/2017,30/4/2017,31/5/2017,30/6/2017,31/7/2017,31/8/2017,30/9/2017,31/10/2017,30/11/2017,31/12/2017,31/1/2018,28/2/2018,31/3/2018,30/4/2018,31/5/2018,30/6/2018,31/7/2018,31/8/2018,30/9/2018,31/10/2018,30/11/2018,31/12/2018,31/1/2019,28/2/2019,31/3/2019,30/4/2019,31/5/2019,30/6/2019,31/7/2019,31/8/2019,30/9/2019,31/10/2019,30/11/2019,31/12/2019,31/1/2020,change,change_perc
3108,84649,3138,60652,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,191722,191069,188191,188847,187999,189360,185776,183388,179458,176229,172218,168579,166686,164736,164397,163155,163310,162032,162777,162648,161782,158835,157525,155757,155244,152440,152519,152563,152515,150554,147251,145790,145005,145646,145952,146081,147105,147552,147853,148616,149615,152152,154340,156185,156876,158121,158372,159186,159378,160776,161819,161679,161758,162410,162817,162344,162014,162244,162957,163692,163959,164618,164561,165005,166080,167050,168820,170206,172037,173316,174348,175928,177228,179754,180310,181051,180638,181251,182078,182409,182863,183373,184493,186239,188431,190846,193249,194510,195380,195160,195390,195790,197004,197559,198260,199069,200097,200403,199703,199071,198501,197948,197019,196178,196633,197867,199590,200916,200525,199945,199551,200289,201293,201463,201709,201921,202610,203419,203439,202889,202907,0.058339679,5.833967933
3444,84632,3479,60631,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,333908,334145,330136,331932,330113,334037,330679,330698,325760,322478,316697,312966,311291,310010,309810,305573,305227,303159,306205,306088,305954,301388,299549,294712,293347,290639,293757,296259,297312,296005,293133,292490,292715,294823,296869,297202,300170,302984,306293,309390,313050,318717,323423,328946,332486,335081,334200,334727,336271,339615,341426,341862,344003,347141,348326,346749,345625,346606,349190,353031,354318,354863,354075,356461,357847,357605,357478,357355,357423,356523,355957,357680,359429,363926,366142,367649,365889,364871,364404,364616,364858,365449,366642,370068,374385,378662,382109,384209,385749,384162,382425,381401,382915,383048,382741,382890,384142,386446,385909,386047,384924,383746,382215,380620,380740,381327,382580,383298,382820,382773,382175,381378,380339,378574,376651,374488,373261,373383,372449,371893,370690,0.110156091,11.01560909
3466,84653,3501,60656,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,282602,283095,280031,280634,278223,279798,275497,273865,268878,265701,260941,257103,254495,251877,251192,248337,247985,246897,249208,249772,249729,246433,244841,241206,240288,237489,239263,239290,240116,237891,234793,233338,233561,237519,240298,241759,243042,244136,245880,248564,251692,256742,260124,264834,268187,272173,273627,276007,277738,280711,283083,285083,287831,289978,291547,290853,290300,289761,290577,292330,292910,292865,292344,293900,295112,294807,294780,294738,295207,295187,295586,297799,299528,303178,304941,306472,306326,306348,307247,308479,309884,311311,312955,314759,317222,320186,323439,324967,325210,324187,323765,322676,322528,320922,320274,320708,322401,323938,323661,324040,324645,324918,324523,323215,323514,323426,324130,324409,324852,326022,326531,326386,325368,323718,322651,321062,320264,319670,319108,318940,319535,0.130689096,13.06890963
3476,84626,3511,60624,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,156929,153871,152161,150697,147767,145906,139416,134641,130577,128650,123948,116452,108546,105726,103969,102902,100806,101201,101068,100055,97738,95745,96380,97036,100597,99840,99915,97841,97066,95646,94069,92236,91695,91089,90487,88210,87183,85761,84856,85220,85921,86158,86515,87475,88725,88211,87215,88388,88746,90278,90870,91264,92018,92512,94752,94676,94509,92635,91776,91388,91528,92501,94063,94807,94899,94621,95965,97359,100184,103452,107706,110788,113120,114306,113462,112264,112022,114679,116901,117492,114642,113226,113391,115789,117333,117872,118435,119586,122437,123339,125137,126687,128281,127712,125907,127288,130969,135267,138762,142115,145546,148670,150326,152146,154420,158656,162153,163753,162518,161925,163159,165260,167369,168467,168232,168148,167934,168278,168768,169773,171085,0.090206399,9.020639907
3984,84623,4023,60621,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,101754,102233,102747,102047,101087,101952,103791,104269,105973,108131,108686,107926,104873,104579,100974,98829,96395,95759,93048,90807,89062,88333,86636,82890,79523,75586,72384,69049,66940,65138,63156,60255,57491,56521,55272,53659,50882,48285,46850,47433,48088,47200,45330,43529,42382,41647,41419,41628,41226,40723,40592,40148,39945,38892,38607,38238,38712,39130,39901,40768,41998,43260,44568,45133,46001,47393,49502,50973,51182,51695,52191,53751,54264,54671,54215,53561,51743,49326,46081,44397,42688,41826,41169,41416,41779,41864,41751,42267,43236,43792,44123,44763,46541,48209,48933,49583,49906,50491,51437,52544,52961,52408,51741,51441,51181,50478,50200,51190,52110,53371,53593,55278,55933,57273,56844,57639,57536,57511,57588,58036,59731,-0.412986222,-41.29862217
4169,84603,4211,60601,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,422366,420662,413407,414309,410902,411385,404554,401589,396647,393987,388969,382972,378938,375469,376260,376945,379981,381195,382880,380958,377975,372240,369741,365069,361707,355327,357857,361038,366091,366925,365531,364218,362549,364554,366238,368697,371596,375489,377922,381785,385598,393870,400960,409166,414013,419265,420721,422497,424299,428692,431577,431367,431309,431032,430261,428927,429423,431502,431832,433070,433984,436134,438651,440923,442191,440778,439693,438307,437096,435535,435841,438832,443147,449022,452015,453521,453218,453130,453555,453510,453276,454020,457033,461438,467187,470722,472939,471535,469250,467108,466060,466447,467315,467088,466851,467904,471371,473816,473635,471674,470166,467961,466183,462734,460701,457829,457678,458389,459092,459773,458640,457933,456003,453311,451107,448843,448763,448045,447455,446669,446290,0.056642817,5.664281689
4342,399713,4387,60642,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,390653,391866,390137,392526,391268,394316,388832,386666,380349,376790,371521,366661,364307,363078,364390,364130,365233,364353,365207,363849,362432,358064,356609,351723,348770,340426,341562,342132,345549,344251,342379,343086,343386,346754,347236,348254,352472,358663,364850,368671,371819,376027,379511,383410,386277,394603,399738,405961,406878,411634,414016,414509,415355,416905,417338,414794,415169,415736,416401,416666,417442,419979,422737,426947,430671,431755,432518,431878,431528,430565,430580,434002,438611,447328,452014,455566,455213,456716,459447,462678,464528,465752,467872,470190,472727,475586,480057,483443,485092,484339,483815,483580,484459,481957,479880,480012,486305,491578,493002,491266,490309,489641,488725,487374,487924,488669,492411,494794,493149,489852,487013,487109,487110,486587,486231,484141,482728,481904,481691,481545,481539,0.232651484,23.26514835
4387,84652,4432,60655,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,238925,238730,235091,237222,236023,237395,232874,230718,225948,223489,219948,217738,215663,213512,213019,212816,214302,213752,212837,210479,208722,205555,203653,200360,200561,198404,199327,198205,198161,196693,194323,193465,192534,194079,196409,199115,201431,201933,202403,203698,205595,208225,210838,213575,215712,217567,217162,216453,215669,216657,218060,218003,219253,221469,222864,222095,221150,220892,221081,221378,221539,222476,223615,226240,227847,228296,229073,229928,231263,230269,228863,228146,229318,233575,235864,236560,235869,235385,236249,235875,235462,235693,236978,238908,240515,242385,243861,244444,244263,243661,243520,243510,244949,246569,248015,249676,250793,252178,252330,252390,252367,252620,253838,254787,256057,256846,257912,258585,257347,257013,256658,257644,257527,257036,256567,256173,255883,256026,255832,255633,255822,0.070720938,7.072093753
4434,84645,4481,60646,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,376660,377080,372584,374029,371013,373516,369339,369113,364088,360266,354152,350479,348957,346614,345900,342092,342358,339935,341815,341674,341172,336851,334784,329855,330362,329384,336373,341367,345556,346743,345770,345924,345118,346622,347611,348546,351515,354464,357042,359931,364151,370172,375559,380333,384298,387243,387195,388097,388657,391765,392814,393296,394398,396342,397036,394707,394036,395241,398556,401856,402201,402112,401756,403845,405154,403695,402230,400703,399399,398263,397619,399170,401055,405939,409106,411397,410679,410361,410493,411021,412490,414508,417005,420151,423608,427792,432196,434588,435230,433515,431868,430482,430718,429547,429245,429890,432489,434961,434450,433551,431479,429026,426673,424328,423810,424529,426655,428585,428202,427770,426179,424969,423683,422573,421994,420511,419837,419242,418710,417977,417382,0.108113418,10.81134179
4449,84636,4495,60636,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,81552,82974,86621,91458,92293,92424,91192,91825,92023,91502,89554,88140,86003,84535,81363,78204,74534,71130,68800,67830,66750,65547,63772,62278,60204,58887,58389,57341,56167,55376,54977,53914,52180,51475,51043,49442,47196,44819,43651,43883,43863,43984,43476,43648,44242,45305,45711,45286,44250,43916,44446,45382,46011,45662,45500,44875,44544,43209,42810,42574,43555,44451,44641,44501,44610,45782,47496,49777,51474,52302,52543,54391,55414,56398,55913,55985,56401,58359,59700,60681,59492,59124,58201,58415,58784,59440,60379,61356,63331,63653,63857,62808,62290,62078,62126,63219,64017,64983,65725,66493,68210,69439,70988,70764,72091,73416,75445,77006,77802,78873,78561,77636,76153,75353,74389,73248,72944,72549,73608,73770,76272,-0.064743967,-6.474396704
5871,84657,5928,60661,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,293974,294888,294640,297932,298066,299941,295286,293247,288960,286113,281908,278887,277708,276752,276815,277108,277746,278019,276809,276129,273867,270511,268097,264915,263539,261319,263656,266138,268846,268356,267645,268293,269112,270450,270639,271570,275420,279314,283498,286838,290790,296692,302703,307411,310637,316353,320740,326300,327761,331166,331116,330299,329697,330627,331292,331147,332192,333611,334016,334063,333873,335575,337540,340254,343261,345161,347108,347723,348852,349159,349396,351036,352639,357216,359759,362497,362375,362343,363192,364464,365590,366772,369379,371077,373167,374284,377582,378516,379240,377799,378502,380087,383223,384486,385839,388516,392759,395217,395533,394194,392486,389572,387269,385183,385462,385457,386736,386976,385539,383799,382182,382697,384017,384627,384058,382597,381724,381910,381880,382049,381413,0.297437869,29.74378687
8974,84634,9084,60633,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,123568,123948,122231,122885,121928,122737,120989,120315,118002,114493,111289,108120,106879,105101,104368,104540,105518,105701,105280,103014,101428,99054,98386,97224,96007,93835,92689,91832,91491,91334,90138,89106,87157,85868,85094,84435,84606,84139,83254,82713,83318,84392,85551,85641,85588,85649,84548,84029,83057,83594,84587,86054,87597,88148,88423,88624,90323,92282,93411,93672,93528,93246,92583,91433,91027,90753,91626,92711,93781,94465,94762,95070,95138,96258,98326,100459,101893,102651,103771,104326,104362,104733,106169,107667,109113,110913,113389,114116,114192,114093,114771,115477,115850,116365,117011,118283,120304,121817,122633,122420,122054,122321,122657,123245,123266,123803,124343,124462,124796,125314,126851,127479,127530,126604,126184,126162,126529,127573,128643,130043,131073,0.060735789,6.07357892
11828,84608,11990,60606,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,323034,325340,323966,325209,323684,324801,319622,315741,310768,307599,303370,300033,297116,295913,295034,296259,297856,299403,300648,300281,298509,294099,291295,286354,282590,277107,276586,277391,279607,280482,280618,282089,283866,286480,287336,287476,289674,293137,297872,301433,305822,310183,314751,319104,323305,331601,336492,342665,343757,346980,346616,345191,344584,345861,345931,343869,342139,342037,342629,343756,344838,346577,348704,351804,354017,355058,356257,356312,355742,353724,352786,353977,356700,361811,365833,368718,369315,368779,369747,371842,375264,378111,381849,384318,387061,387443,389068,387757,386421,383147,381158,380472,380998,381151,382126,385871,391700,395431,396289,394771,393657,391719,389978,388899,388411,388080,386558,384582,381032,378122,375398,374115,374224,374852,374720,373250,371226,370162,370048,370390,371034,0.14859117,14.859117
18212,84604,18836,60602,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,490641,494633,487728,487457,487953,492253,489012,486516,481930,480316,475689,473915,473307,470024,468250,467176,472281,474486,476646,476133,474233,470052,471881,469649,469772,466431,471910,476817,479135,484061,488023,491679,489928,486016,476263,464178,457375,462007,470412,478463,486010,493961,506426,519091,529191,535289,536749,540517,542273,544379,547020,546390,547163,542613,538265,534483,535306,539922,544887,549415,551614,553233,558324,563346,566615,565792,566383,567241,568252,569494,571021,574085,577188,581308,583224,582550,581223,578740,577711,572925,573158,575817,583527,586295,590766,592998,595844,592637,589719,586595,585216,582646,583799,587706,594127,599378,604114,605357,604324,600325,594687,588360,583449,579452,575723,571600,571136,573124,572773,570712,564918,560823,557966,556538,553464,548895,545602,546726,547373,548321,546389,0.113622791,11.36227914
18879,84605,19621,60603,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709949,711265,716416,714980,715493,711857,719291,718650,719329,715537,717512,716974,720132,726192,736674,743142,742622,737999,735998,735349,735637,732900,731732,730369,734929,742428,751217,753806,755195,751528,748636,741776,737991,734799,732906,732186,730604,731171,734534,737157,737567,734048,735733,734607,734448,728724,723875,716485,712280,710719,711469,707576,704262,698455,697649,694442,691514,686254,683110,681995,686015,689039,692012,689925,,
20218,84606,21208,60604,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461196,460062,460070,458506,458471,459272,464235,464113,465066,464249,470686,472877,470989,467652,467022,470053,476339,478523,482888,480093,481150,476946,476028,473976,472897,473012,479304,487260,494539,493611,495125,495149,501332,502788,505357,504610,504853,506350,509641,513061,516261,515351,515624,511685,509408,503419,501758,497773,495894,495295,496162,492095,484379,477128,476796,476570,477032,475940,476386,476352,477178,477455,478275,480655,,
