,census_tract,MHI_2017
0,101,"33,750"
1,102.01,"40,841"
2,102.02,"36,563"
3,103,"36,870"
4,104,"39,634"
5,105.01,"31,985"
6,105.02,"33,721"
7,105.03,"19,671"
8,106,"40,576"
9,107.01,"60,798"
10,107.02,"39,604"
11,201,"49,318"
12,202,"87,835"
13,203.01,"53,254"
14,203.02,"69,861"
15,204,"59,705"
16,205,"40,090"
17,206.01,"39,282"
18,206.02,"50,048"
19,207.01,"76,635"
20,207.02,"44,990"
21,208.01,"50,230"
22,208.02,"47,207"
23,209.01,"42,942"
24,209.02,"36,660"
25,301.01,"43,167"
26,301.02,"43,750"
27,301.03,"49,233"
28,301.04,"38,871"
29,302,"64,089"
30,303,"37,868"
31,304,"45,850"
32,305,"79,587"
33,306.01,"39,015"
34,306.03,"29,088"
35,306.04,"30,486"
36,307.01,"36,467"
37,307.02,"73,967"
38,307.03,"40,670"
39,307.06,"41,331"
40,308,"72,296"
41,309,"88,000"
42,310,"72,964"
43,311,"65,462"
44,312,"35,295"
45,313,"42,690"
46,314,"68,899"
47,315.01,"26,915"
48,315.02,"24,304"
49,317,"44,555"
50,318,"69,167"
51,319,"61,211"
52,321,"52,335"
53,401,"79,688"
54,402.01,"68,082"
55,402.02,"39,601"
56,403,"96,369"
57,404.01,"90,243"
58,404.02,"81,496"
59,406,"85,745"
60,407,"76,750"
61,408,"74,688"
62,409,"76,607"
63,501,"95,750"
64,502,"74,375"
65,503,"79,183"
66,505,"121,591"
67,506,"104,955"
68,507,"128,676"
69,508,"111,190"
70,509,"87,625"
71,510,"106,310"
72,511,"124,583"
73,512,"120,865"
74,513,"149,271"
75,514,"100,795"
76,601,"91,298"
77,602,"69,650"
78,603,"114,412"
79,604,"123,984"
80,605,"41,818"
81,608,"85,132"
82,609,"57,305"
83,610,"108,625"
84,611,"107,250"
85,612,"106,823"
86,615,"117,656"
87,618,"65,469"
88,619.01,"58,375"
89,619.02,"63,897"
90,620,"74,250"
91,621,"91,375"
92,622,"108,313"
93,623,"136,250"
94,624,"138,977"
95,625,"128,438"
96,626,"144,211"
97,627,"135,096"
98,628,"140,972"
99,629,"116,250"
100,630,"95,625"
101,631,"92,933"
