zipcode,male_2019,white_2019,median_age_2019
62206,0.48,0.37,34.80
62207,0.48,0.03,33.60
62208,0.50,0.57,39.40
62214,0.49,0.95,38.80
62215,0.54,0.89,34.30
62216,0.49,0.99,38.20
62217,0.54,0.93,38.20
62218,0.53,1.00,38.60
62219,0.46,0.92,39.10
62220,0.50,0.74,37.70
62221,0.48,0.68,38.20
62223,0.47,0.74,44.80
62225,0.55,0.67,23.00
62226,0.48,0.71,41.80
62230,0.49,0.96,39.90
62231,0.50,0.96,43.30
62232,0.49,0.89,37.30
62233,0.68,0.75,41.40
62234,0.47,0.83,39.60
62236,0.48,0.97,41.30
62237,0.56,0.95,51.10
62238,0.50,0.99,37.80
62239,0.43,0.95,42.50
62240,0.50,0.98,37.10
62241,0.55,1.00,53.60
62242,0.48,1.00,49.30
62243,0.50,0.96,46.30
62244,0.52,1.00,52.30
62245,0.55,0.98,43.70
62246,0.55,0.87,40.50
62248,0.46,0.99,33.70
62249,0.51,0.95,39.80
62250,0.56,0.95,39.50
62253,0.50,0.99,54.80
62254,0.44,0.85,42.70
62255,0.55,0.99,32.80
62257,0.50,1.00,51.50
62258,0.48,0.92,38.40
62260,0.50,0.99,44.10
62261,0.50,1.00,65.80
62262,0.47,0.90,49.90
62263,0.51,0.99,45.70
62264,0.55,0.99,40.40
62265,0.49,0.92,46.20
62266,0.51,1.00,19.90
62268,0.54,0.98,40.50
62269,0.49,0.79,37.90
62271,0.48,0.96,40.80
62272,0.54,0.90,35.20
62273,0.52,0.98,48.50
62274,0.62,0.77,38.10
62275,0.49,0.99,40.30
62277,0.54,0.98,46.60
62278,0.50,0.99,44.40
62280,0.52,1.00,42.20
62281,0.49,0.99,33.50
62282,0.45,0.96,50.50
62284,0.50,1.00,38.60
62285,0.50,0.98,43.30
62286,0.50,0.80,39.70
62288,0.48,0.95,39.30
62289,0.49,0.98,41.50
62292,0.47,0.96,39.60
62293,0.47,0.99,41.90
62294,0.48,0.96,39.80
62295,0.47,0.98,40.20
62297,0.49,1.00,54.50
62298,0.49,0.97,41.80
62301,0.47,0.89,39.60
62305,0.49,0.96,46.10
62311,0.60,0.95,41.60
62312,0.45,0.98,40.50
62313,0.51,0.99,59.60
62314,0.46,0.96,33.80
62316,0.48,0.97,38.10
62319,0.49,1.00,59.00
62320,0.51,0.95,37.20
62321,0.50,0.98,49.60
62323,0.57,1.00,45.50
62324,0.53,1.00,44.80
62325,0.53,0.95,40.20
62326,0.54,0.99,39.80
62330,0.53,0.96,44.80
62334,0.53,0.93,46.50
62336,0.62,0.95,55.90
62338,0.56,1.00,38.00
62339,0.47,0.96,46.70
62340,0.50,0.98,43.90
62341,0.44,0.97,46.30
62343,0.50,0.96,34.00
62344,0.00,1.00,-
62345,0.52,0.99,45.70
62346,0.56,0.98,54.10
62347,0.50,1.00,39.20
62348,0.36,0.99,45.80
62349,0.48,0.96,38.20
62351,0.52,0.99,45.10
62352,0.45,0.93,46.00
62353,0.67,0.75,37.20
62354,0.55,0.98,52.20
62355,0.54,0.99,47.50
62356,0.56,0.96,47.00
62357,0.41,0.85,34.70
62358,0.57,0.90,29.90
62359,0.61,1.00,42.10
62360,0.55,1.00,37.90
62361,0.54,1.00,53.20
62362,0.52,0.95,53.20
62363,0.50,0.96,41.40
62365,0.61,0.98,43.90
62366,0.52,1.00,42.90
62367,0.53,0.98,50.90
62370,0.40,1.00,43.30
62373,0.53,1.00,53.50
62374,0.61,1.00,54.30
62375,0.55,1.00,45.50
62376,0.50,0.99,39.20
62378,0.45,0.97,49.20
62379,0.50,0.99,42.40
62380,0.37,1.00,28.70
62401,0.49,0.96,39.90
62410,0.54,0.96,33.60
62411,0.51,1.00,39.50
62413,0.50,1.00,36.00
62414,0.51,1.00,39.00
62417,0.49,1.00,45.10
62418,0.50,0.99,36.20
62419,0.57,1.00,53.50
62420,0.49,0.97,42.50
62421,0.50,0.95,44.80
62422,0.52,0.98,44.70
62423,0.55,1.00,37.50
62424,0.53,0.97,33.40
62425,0.56,0.96,46.70
62426,0.50,0.99,44.90
62427,0.43,0.95,42.40
62428,0.50,0.99,41.50
62431,0.57,1.00,40.80
62432,0.47,0.98,38.80
62433,0.52,0.99,46.80
62434,0.56,0.98,56.70
62436,0.53,0.99,53.20
62438,0.55,1.00,35.80
62439,0.49,0.94,46.50
62440,0.50,0.97,47.10
62441,0.50,0.96,44.60
62442,0.49,0.99,40.00
62443,0.50,0.98,43.70
62444,0.57,1.00,40.90
62445,0.54,0.97,38.90
62446,0.55,0.95,48.00
62447,0.48,0.97,43.20
62448,0.48,0.98,45.70
62449,0.47,0.96,43.90
62450,0.49,0.96,42.40
62451,0.45,0.99,47.80
62452,0.51,0.98,48.60
62454,0.57,0.85,39.10
62458,0.50,1.00,46.50
62459,0.45,1.00,31.80
62460,0.47,0.96,38.90
62461,0.49,1.00,47.30
62462,0.54,0.99,36.20
62463,0.51,0.96,41.40
62465,0.50,1.00,45.00
62466,0.68,0.70,35.20
62467,0.49,0.98,36.60
62468,0.53,0.96,44.60
62469,0.44,1.00,37.70
62471,0.57,0.89,39.90
62473,0.50,0.99,49.30
62474,0.50,0.99,46.50
62475,0.56,0.98,30.70
62476,0.51,0.97,46.10
62477,0.46,0.95,44.50
62478,0.45,1.00,47.10
62479,0.55,1.00,34.00
62480,0.54,1.00,54.60
62481,0.46,0.69,44.60
62501,0.55,0.98,38.50
62510,0.50,0.96,42.70
62512,0.54,0.99,38.50
62513,0.45,0.93,37.70
62514,0.56,1.00,34.70
62515,0.57,0.96,43.70
62517,0.49,0.99,37.20
62518,0.42,1.00,57.60
62519,0.48,1.00,32.80
62520,0.46,0.96,47.40
62521,0.49,0.76,42.90
62522,0.47,0.73,36.90
62523,0.64,0.38,29.80
62526,0.45,0.75,42.30
62530,0.48,0.98,40.70
62531,0.52,0.99,42.20
62532,0.19,1.00,61.40
62533,0.49,0.99,42.60
62534,0.55,1.00,44.40
62535,0.50,0.83,41.90
62536,0.56,0.97,51.50
62537,0.40,1.00,50.50
62538,0.49,0.98,49.70
62539,0.51,0.97,42.70
62540,0.54,1.00,41.20
62541,0.29,0.57,75.30
62543,0.56,0.96,47.40
62544,0.51,0.94,45.00
62545,0.50,0.98,42.60
62546,0.50,0.98,37.30
62547,0.54,0.98,38.70
62548,0.46,0.97,44.20
62549,0.48,0.85,39.10
62550,0.45,0.98,44.10
62551,0.57,0.99,46.00
62553,0.49,1.00,50.70
62554,0.52,0.86,42.60
62555,0.50,1.00,48.00
62556,0.49,1.00,47.90
62557,0.49,0.98,45.00
62558,0.51,0.98,39.70
62560,0.43,0.97,45.30
62561,0.47,0.99,42.10
62563,0.50,0.96,42.50
62565,0.46,0.98,48.60
62567,0.52,0.99,42.90
62568,0.51,0.95,44.20
62570,0.54,1.00,41.60
62571,0.51,0.97,42.00
62572,0.46,0.99,46.40
62573,0.48,0.95,38.10
62601,0.49,0.99,48.30
62610,0.52,1.00,51.80
62611,0.53,0.97,41.10
62612,0.50,0.97,46.50
62613,0.51,0.97,38.50
62615,0.50,0.96,38.20
62617,0.43,0.96,47.60
62618,0.50,0.83,37.70
62621,0.51,0.99,41.60
62622,0.45,1.00,56.00
62624,0.45,0.97,51.30
62625,0.47,0.98,61.50
62626,0.48,0.93,39.60
62627,0.52,0.93,38.10
62628,0.57,1.00,36.80
62629,0.48,0.95,35.80
62630,0.58,1.00,44.50
62631,0.64,0.99,48.80
62633,0.48,0.92,52.90
62634,0.50,0.97,37.80
62635,0.51,0.98,38.20
62638,0.53,1.00,45.30
62639,0.46,1.00,46.80
62640,0.48,0.98,44.80
62642,0.52,0.99,39.70
62643,0.57,0.99,41.00
62644,0.51,0.98,45.40
62649,0.44,0.98,34.70
62650,0.50,0.88,39.70
62655,0.50,0.94,51.20
62656,0.49,0.85,39.70
62661,0.56,0.99,33.90
62663,0.47,0.98,49.50
62664,0.48,0.97,44.90
62665,0.48,0.98,44.20
62666,0.51,0.97,44.80
62667,0.49,0.98,57.00
62668,0.49,0.98,51.50
62670,0.50,0.98,42.30
62671,0.45,0.91,37.80
62672,0.47,0.99,53.50
62673,0.47,1.00,41.80
62674,0.49,0.98,48.80
62675,0.47,0.96,48.60
62677,0.50,0.99,48.70
62681,0.54,0.87,44.30
62682,0.49,0.97,43.00
62684,0.48,0.99,43.50
62685,0.53,0.91,45.20
62688,0.50,1.00,48.40
62689,0.50,0.97,32.60
62690,0.48,0.99,42.10
62691,0.50,0.97,44.40
62692,0.45,0.97,37.40
62693,0.50,0.99,38.60
62694,0.48,0.97,46.20
62695,0.57,0.96,51.00
62701,0.64,0.60,36.20
62702,0.48,0.75,40.50
62703,0.45,0.59,34.10
62704,0.48,0.78,39.50
62707,0.49,0.91,46.70
62711,0.46,0.88,49.60
62712,0.50,0.89,42.50
62801,0.52,0.85,41.70
62803,0.50,0.91,32.10
62806,0.50,0.96,43.30
62807,0.50,1.00,41.70
62808,0.55,0.97,40.50
62809,0.54,0.98,41.50
62810,0.50,0.96,37.00
62811,0.48,0.96,35.00
62812,0.50,0.96,42.30
62814,0.49,0.96,39.30
62815,0.51,0.95,53.20
62816,0.47,0.98,44.90
62817,0.44,1.00,56.80
62818,0.53,0.98,53.10
62819,0.53,0.97,44.20
62820,0.50,0.99,36.30
62821,0.48,0.97,46.20
62822,0.47,0.98,37.30
62823,0.46,0.98,48.60
62824,0.51,0.99,35.10
62825,0.54,1.00,42.60
62827,0.47,0.96,45.70
62828,0.46,1.00,39.30
62829,0.00,1.00,-
62830,0.54,0.95,45.50
62831,0.53,0.97,55.10
62832,0.50,0.93,43.60
62833,0.55,1.00,39.70
62835,0.49,0.98,47.10
62836,0.51,0.97,39.80
62837,0.50,0.95,44.60
62838,0.48,0.99,38.80
62839,0.47,0.94,43.40
62841,0.55,1.00,32.70
62842,0.50,0.98,41.50
62843,0.52,1.00,37.10
62844,0.49,0.98,40.20
62846,0.88,0.71,39.40
62848,0.46,0.96,41.70
62849,0.49,0.98,42.90
62850,0.52,0.98,45.40
62851,0.49,1.00,43.00
62852,0.46,0.97,63.30
62853,0.54,0.97,43.70
62854,0.49,0.97,45.40
62856,0.43,0.96,40.00
62858,0.54,0.97,40.70
62859,0.51,0.99,46.10
62860,0.58,1.00,42.30
62861,0.56,1.00,41.30
62862,0.51,1.00,47.80
62863,0.48,0.96,44.90
62864,0.48,0.84,40.80
62865,0.49,0.97,48.20
62867,0.47,0.95,48.40
62868,0.52,0.98,36.60
62869,0.51,0.99,40.20
62870,0.50,0.94,45.10
62871,0.54,0.99,41.70
62872,0.49,0.97,38.10
62874,0.54,0.97,47.90
62875,0.50,0.99,47.00
62876,0.53,0.99,48.00
62877,0.51,0.95,50.10
62878,0.42,0.99,38.30
62879,0.63,0.97,56.20
62880,0.53,0.99,39.50
62881,0.51,0.96,40.30
62882,0.49,0.96,38.90
62883,0.56,1.00,43.30
62884,0.50,0.98,48.40
62885,0.47,0.96,48.20
62886,0.47,0.96,41.10
62887,0.56,0.98,32.60
62888,0.50,0.98,45.60
62889,0.49,0.99,47.30
62890,0.50,0.98,39.80
62891,0.49,0.98,42.10
62892,0.49,1.00,48.50
62893,0.48,0.98,44.30
62894,0.49,0.98,40.00
62895,0.49,0.98,44.60
62896,0.48,0.97,43.60
62897,0.54,0.98,42.20
62898,0.47,0.97,39.50
62899,0.54,0.98,30.10
62901,0.51,0.65,25.60
62902,0.51,0.83,40.60
62903,0.55,0.71,23.70
62905,0.53,0.90,52.00
62906,0.52,0.94,48.30
62907,0.45,0.94,45.20
62908,0.55,0.88,34.90
62910,0.51,0.89,46.50
62912,0.45,0.99,34.30
62914,0.48,0.31,39.60
62915,0.51,0.77,34.00
62916,0.48,0.99,40.70
62917,0.47,0.88,43.10
62918,0.46,0.89,38.60
62919,0.50,0.89,46.70
62920,0.50,0.89,46.40
62921,0.43,0.54,36.50
62922,0.51,0.99,52.20
62923,0.44,0.89,41.50
62924,0.49,0.92,40.10
62926,0.50,0.97,35.40
62927,0.53,0.99,35.40
62928,0.45,1.00,55.50
62930,0.51,0.96,42.90
62931,0.52,0.98,48.30
62932,0.51,0.96,41.90
62933,0.41,0.96,50.80
62934,0.48,1.00,55.00
62935,0.54,0.97,39.90
62938,0.51,0.91,52.60
62939,0.44,1.00,47.20
62940,0.54,0.93,42.00
62941,0.53,0.95,40.90
62942,0.51,0.97,40.30
62943,0.51,1.00,53.20
62946,0.49,0.91,43.90
62947,0.71,0.98,53.80
62948,0.47,0.92,38.80
62949,0.53,0.92,42.90
62950,0.61,1.00,35.40
62951,0.53,0.99,46.10
62952,0.47,0.98,44.80
62953,0.53,0.87,31.50
62954,0.43,1.00,46.80
62956,0.43,0.97,34.40
62957,0.54,0.95,42.50
62958,0.53,0.93,46.50
62959,0.52,0.88,41.10
62960,0.46,0.92,43.80
62961,0.48,1.00,41.90
62963,0.49,0.48,36.70
62964,0.53,0.33,49.10
62965,0.37,1.00,40.70
62966,0.46,0.84,40.00
62967,0.49,1.00,47.70
62969,0.37,1.00,42.00
62970,0.49,0.91,43.40
62972,0.46,0.96,46.60
62974,0.52,0.99,40.70
62975,0.81,1.00,45.60
62976,0.43,0.44,49.40
62977,0.44,0.99,36.00
62979,0.48,0.94,43.50
62982,0.39,1.00,45.90
62983,0.53,0.96,46.00
62984,0.48,0.96,41.90
62985,0.44,0.96,52.50
62987,0.53,0.96,40.90
62988,0.49,0.67,50.20
62990,0.46,0.86,34.30
62992,0.51,0.70,42.60
62994,0.47,0.97,43.50
62995,0.67,0.76,39.10
62996,0.48,0.74,42.80
62997,0.51,1.00,32.90
62998,0.50,1.00,35.90
62999,0.49,0.97,37.30
63673,0.45,0.99,52.20
