zipcode,male_2019,white_2019,median_age_2019
60478,0.44,0.07,40.30
60479,0.53,1.00,40.80
60480,0.49,0.90,49.80
60481,0.51,0.95,46.80
60482,0.50,0.89,42.10
60484,0.42,0.09,32.50
60487,0.50,0.85,39.40
60490,0.50,0.54,35.40
60491,0.50,0.94,44.30
60501,0.50,0.63,32.50
60502,0.49,0.67,37.70
60503,0.48,0.56,33.80
60504,0.50,0.63,34.00
60505,0.50,0.53,32.20
60506,0.51,0.64,34.70
60510,0.49,0.89,40.20
60511,0.57,0.98,39.10
60512,0.44,0.93,47.50
60513,0.45,0.85,39.40
60514,0.48,0.86,40.00
60515,0.48,0.90,42.20
60516,0.48,0.87,43.70
60517,0.51,0.74,38.40
60518,0.51,0.93,42.90
60519,0.71,1.00,64.30
60520,0.47,0.96,38.80
60521,0.51,0.85,42.50
60523,0.46,0.65,58.70
60525,0.49,0.89,43.80
60526,0.47,0.90,40.70
60527,0.49,0.73,46.70
60530,0.55,0.95,37.70
60531,0.51,0.98,42.70
60532,0.50,0.78,38.10
60534,0.51,0.79,34.40
60536,0.48,1.00,35.00
60537,0.58,1.00,39.80
60538,0.49,0.81,32.50
60539,0.88,0.81,34.90
60540,0.49,0.79,40.00
60541,0.48,0.98,34.50
60542,0.50,0.81,41.20
60543,0.50,0.83,37.50
60544,0.45,0.79,40.90
60545,0.52,0.77,34.70
60546,0.48,0.81,42.10
60548,0.50,0.94,38.90
60549,0.53,1.00,41.50
60550,0.50,0.97,46.90
60551,0.70,0.75,37.90
60552,0.51,0.96,41.70
60553,0.55,0.97,46.70
60554,0.51,0.88,45.30
60555,0.50,0.86,37.90
60556,0.48,0.95,37.30
60557,0.55,1.00,56.80
60558,0.49,0.97,41.40
60559,0.47,0.71,38.90
60560,0.50,0.86,36.00
60561,0.49,0.79,45.90
60563,0.49,0.72,36.80
60564,0.50,0.63,39.50
60565,0.49,0.77,41.00
60585,0.51,0.78,36.90
60586,0.48,0.80,32.60
60601,0.47,0.73,33.60
60602,0.56,0.64,34.10
60603,0.50,0.63,31.20
60604,0.48,0.65,32.20
60605,0.45,0.63,33.60
60606,0.51,0.71,36.30
60607,0.50,0.59,30.20
60608,0.56,0.45,32.60
60609,0.50,0.44,32.30
60610,0.47,0.72,33.40
60611,0.47,0.75,38.90
60612,0.47,0.29,32.50
60613,0.51,0.82,33.60
60614,0.51,0.84,30.50
60615,0.45,0.31,35.30
60616,0.48,0.32,38.00
60617,0.45,0.37,36.00
60618,0.50,0.76,34.40
60619,0.45,0.02,40.90
60620,0.45,0.02,40.30
60621,0.47,0.02,34.60
60622,0.52,0.80,32.00
60623,0.50,0.38,31.30
60624,0.47,0.05,32.10
60625,0.49,0.65,34.90
60626,0.49,0.57,33.70
60628,0.47,0.05,39.20
60629,0.49,0.44,31.20
60630,0.49,0.71,40.50
60631,0.49,0.88,43.20
60632,0.51,0.53,30.90
60633,0.52,0.69,39.60
60634,0.48,0.77,39.70
60636,0.46,0.06,41.30
60637,0.44,0.17,30.60
60638,0.50,0.74,37.80
60639,0.50,0.47,34.00
60640,0.52,0.65,36.80
60641,0.49,0.67,36.90
60642,0.52,0.74,31.60
60643,0.45,0.23,43.60
60644,0.47,0.06,35.10
60645,0.50,0.55,35.60
60646,0.46,0.85,43.60
60647,0.51,0.78,32.00
60649,0.43,0.04,37.30
60651,0.46,0.20,33.50
60652,0.47,0.29,36.20
60653,0.43,0.06,34.40
60654,0.50,0.76,33.20
60655,0.49,0.90,39.00
60656,0.51,0.83,40.10
60657,0.50,0.86,31.20
60659,0.50,0.52,34.80
60660,0.51,0.65,36.20
60661,0.50,0.64,31.50
60706,0.49,0.89,45.90
60707,0.48,0.72,40.50
60712,0.48,0.63,46.60
60714,0.48,0.73,48.40
60803,0.50,0.69,36.90
60804,0.50,0.34,30.50
60805,0.44,0.67,39.90
60827,0.44,0.07,32.30
60901,0.48,0.63,36.80
60910,0.50,0.97,41.90
60911,0.52,0.99,43.40
60912,0.53,0.92,49.10
60913,0.50,0.93,55.60
60914,0.47,0.86,34.50
