,census_tract,EDU_2017
0,101,22.1
1,102.01,24.3
2,102.02,24.3
3,103,39.1
4,104,78.6
5,105.01,79.1
6,105.02,72.9
7,105.03,90.3
8,106,55.1
9,107.01,25.5
10,107.02,31.3
11,201,38.2
12,202,18.4
13,203.01,13.3
14,203.02,22.6
15,204,24.9
16,205,32.8
17,206.01,21.2
18,206.02,19.4
19,207.01,29.6
20,207.02,26.8
21,208.01,39.5
22,208.02,36.6
23,209.01,32.4
24,209.02,25.2
25,301.01,41.3
26,301.02,81.1
27,301.03,96.3
28,301.04,96.1
29,302,43.1
30,303,21.5
31,304,43.7
32,305,31.4
33,306.01,35.9
34,306.03,53.8
35,306.04,73.9
36,307.01,60.2
37,307.02,90.1
38,307.03,62.1
39,307.06,60.8
40,308,42.1
41,309,58.9
42,310,50.7
43,311,70.8
44,312,38.1
45,313,44
46,314,85.5
47,315.01,40.5
48,315.02,51.2
49,317,56.8
50,318,37.5
51,319,50.7
52,321,74.4
53,401,25.6
54,402.01,54.8
55,402.02,36.9
56,403,42.2
57,404.01,56.2
58,404.02,33.9
59,406,43.8
60,407,37.1
61,408,37.5
62,409,51
63,501,21.9
64,502,16.8
65,503,39.6
66,505,21.3
67,506,45.4
68,507,29
69,508,24.9
70,509,25.7
71,510,19.1
72,511,18.9
73,512,23.4
74,513,15.6
75,514,34.8
76,601,20
77,602,32.7
78,603,28.3
79,604,48.4
80,605,54
81,608,63
82,609,71.9
83,610,96.5
84,611,72.8
85,612,49.3
86,615,46.2
87,618,78.8
88,619.01,65.5
89,619.02,79.9
90,620,55.3
91,621,83
92,622,72
93,623,38.2
94,624,32.9
95,625,42.1
96,626,34.8
97,627,47.7
98,628,38.2
99,629,58.3
100,630,57
101,631,67.3
102,632,63.7
103,633.01,86.6
104,633.02,87.3
105,633.03,78.5
106,634,68.7
107,701.01,56.1
108,701.02,59.8
109,701.03,87.5
110,702,54.1
111,703,62.8
112,704,58.4
113,705,38.5
114,706,20.2
115,707,27.7
116,710,87.6
117,711,75.2
118,712,39.3
119,713,40.2
120,714,57
121,715,57.5
122,716,21.9
123,717,17.2
