Inspection ID,DBA Name,AKA Name,License #,Address,Zip,Inspection Date,Latitude,Longitude,Location
2222230,LA MICHOACANA LOS PRIMOS,LA MICHOACANA LOS PRIMOS,2404779,3252 W 55TH ST ,60632,9/12/2018,41.79359304,-87.70563113,"(-87.70563112834054, 41.79359304068671)"
2229261,ZOOTS,CAFE ZOOTS (T1 C18 FOODCOURT),1909539,11601 W TOUHY AVE ,60666,10/2/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2213882,CHARMER'S CAFE,CHARMER'S CAFE,2442571,1500 W JARVIS AVE ,60626,9/5/2018,42.01615704,-87.66825247,"(-87.66825247379121, 42.01615704190619)"
2229313,URBAN CUP,URBAN CUP,2616836,3185 N ELSTON AVE ,60618,10/3/2018,41.93907999,-87.69765351,"(-87.69765351023295, 41.93907999018257)"
2213838,EPIC BURGER,EPIC BURGER,1904806,517 S STATE ST ,60605,9/4/2018,41.87531384,-87.62747312,"(-87.62747311617227, 41.875313842367994)"
2213849,GYROS 47,GYROS 47,2153142,350 E 47TH ST ,60653,9/4/2018,41.80947737,-87.61758854,"(-87.61758853954332, 41.80947737172955)"
2214009,Porkchop,Porkchop,2320094,1017 S DELANO CT ,60605,9/7/2018,,,
2213903,SUBWAY,SUBWAY,2569761,1044 N FRANCISCO AVE ,60622,9/5/2018,41.90052496,-87.69943295,"(-87.69943295362468, 41.900524957170965)"
2213850,COCINA DE GALARZA,COCINA DE GALARZA,1196442,2420 W FULLERTON AVE ,60647,9/4/2018,41.92500342,-87.68849232,"(-87.68849231565949, 41.92500341997868)"
2200787,AMAZING KABABS & GRILL,AMAZING KABABS & GRILL,2601025,1316 N CLYBOURN AVE ,60610,8/10/2018,41.90599708,-87.64288347,"(-87.64288346529682, 41.90599707532198)"
2213889,LITTLE GOAT DINER,LITTLE GOAT DINER,2133590,818-822 W RANDOLPH ST ,60607,9/5/2018,41.88450331,-87.64828584,"(-87.6482858374806, 41.88450331042253)"
2200760,MAMA'S BOY,MAMA'S BOY,1542362,445 N DEARBORN ST ,60654,8/10/2018,41.89058111,-87.62947503,"(-87.62947502886496, 41.890581105655016)"
