,GEOID,hospitals_count
354,17031650100,1
355,17031650200,1
356,17031650301,1
357,17031650302,1
358,17031650400,1
359,17031650500,1
360,17031660301,1
361,17031660302,1
362,17031660400,1
363,17031660500,1
364,17031660600,1
365,17031660800,1
366,17031660900,1
367,17031661000,1
368,17031661100,1
369,17031680500,1
370,17031680600,1
371,17031680900,1
372,17031681000,1
373,17031681100,1
374,17031681200,1
375,17031681300,1
376,17031681400,1
377,17031690300,1
378,17031690400,1
379,17031690500,1
380,17031691100,1
381,17031700100,1
382,17031700200,1
383,17031730100,1
384,17031730400,1
385,17031730500,1
386,17031730600,1
387,17031730700,1
388,17031750100,1
389,17031750600,1
390,17031760801,2
391,17031760802,1
392,17031805502,2
393,17031808100,2
394,17031810400,2
395,17031810502,1
396,17031810600,1
397,17031810701,1
398,17031810702,1
399,17031810800,1
400,17031810900,1
401,17031811000,1
402,17031811100,1
403,17031813302,2
404,17031814200,1
405,17031820901,1
406,17031820902,1
407,17031828503,1
408,17031828504,1
409,17031828505,1
410,17031828506,1
411,17031828602,1
412,17031828701,1
413,17031828702,1
414,17031828801,1
415,17031828802,1
416,17031828900,1
417,17031829000,1
418,17031829100,1
419,17031829200,1
420,17031829301,1
421,17031829302,1
422,17031829401,1
423,17031829402,1
424,17031829500,1
425,17031829600,1
426,17031829700,1
427,17031830500,1
428,17031830700,4
429,17031830800,5
430,17031830900,1
431,17031831000,3
432,17031831100,2
433,17031831400,2
434,17031831500,2
435,17031831600,1
436,17031831700,1
437,17031831800,1
438,17031831900,3
439,17031832000,3
440,17031832100,1
441,17031832300,3
442,17031833000,4
443,17031833300,2
444,17031833900,2
445,17031834000,1
446,17031834200,2
447,17031834300,2
448,17031834400,1
449,17031834500,2
450,17031834600,1
451,17031834700,1
452,17031834800,1
453,17031835000,1
454,17031835100,1
455,17031835800,1
456,17031836100,1
457,17031836200,2
458,17031836300,1
459,17031836600,3
460,17031836700,10
461,17031836800,7
462,17031836900,7
463,17031837000,4
464,17031837100,4
465,17031837300,7
466,17031837400,4
467,17031837800,4
468,17031838000,4
469,17031838100,4
470,17031838200,6
471,17031838600,4
472,17031838700,4
473,17031838800,3
474,17031839200,1
475,17031839500,1
476,17031839600,1
477,17031839700,3
478,17031839800,3
479,17031839900,1
480,17031840000,1
481,17031840100,1
482,17031840200,3
483,17031840300,2
484,17031840400,2
485,17031840700,3
486,17031840800,1
487,17031841000,1
488,17031841100,1
489,17031841200,2
490,17031841300,2
491,17031841400,1
492,17031841500,4
493,17031841600,1
494,17031841700,1
495,17031841800,1
496,17031841900,3
497,17031842000,1
498,17031842100,3
499,17031842300,3
500,17031842500,2
501,17031842900,2
502,17031843000,7
503,17031843100,7
504,17031843200,3
505,17031843300,6
506,17031843400,1
507,17031843500,3
508,17031843600,1
509,17031843700,1
510,17031843900,3
511,17097862502,1
512,17097862800,1
513,17097862901,1
514,17097862902,1
515,17097863004,1
516,17097863100,1
517,17097863201,1
518,17097863202,1
519,17097863702,1
520,17197883806,1
