GEOID,unemployment_2016
17031010100,9.8
17031010201,11.3
17031010202,6.2
17031010300,6.4
17031010400,9.3
17031010501,13.4
17031010502,5.9
17031010503,6
17031010600,9.6
17031010701,7.2
17031010702,9.5
17031020100,10.3
17031020200,9.6
17031020301,9.1
17031020302,9.8
17031020400,8
17031020500,14.1
17031020601,12.6
17031020602,11.4
17031020701,6.8
17031020702,6.8
17031020801,9.1
17031020802,6.4
17031020901,7.5
17031020902,7.5
17031030101,7.9
17031030102,9.7
17031030103,7.6
17031030104,14.5
17031030200,7.2
17031030300,7.7
17031030400,14.8
17031030500,1.8
17031030601,3.8
17031030603,5.7
17031030604,5.8
17031030701,8.6
17031030702,9.7
17031030703,4.4
17031030706,6.5
17031030800,7.5
17031030900,4.6
17031031000,5.8
17031031100,7.1
17031031200,6.5
17031031300,5.8
17031031400,4.9
17031031501,16.3
17031031502,13.8
17031031700,11
17031031800,3.5
17031031900,5.5
17031032100,9.3
17031040100,7.9
17031040201,4.8
17031040202,6.4
17031040300,11.2
17031040401,4.2
17031040402,6.9
17031040600,8.3
17031040700,6.2
17031040800,4.5
17031040900,0.9
17031050100,5.8
17031050200,4.9
17031050300,6.4
17031050500,3.7
17031050600,4.2
17031050700,1.6
17031050800,7
17031050900,2.4
17031051000,1.4
17031051100,2.2
17031051200,3.1
17031051300,4.2
17031051400,5.4
17031060100,2.9
17031060200,4.4
17031060300,3.2
17031060400,1.5
17031060500,2.7
17031060800,5.5
17031060900,5.9
17031061000,2.2
17031061100,2.4
17031061200,3.7
17031061500,2.6
17031061800,4.3
17031061901,3.7
17031061902,5.1
17031062000,2.1
17031062100,4.2
17031062200,4.5
17031062300,3.3
17031062400,1.6
17031062500,1
17031062600,4.4
17031062700,2.4
17031062800,2
17031062900,1.7
17031063000,4.4
17031063100,1.7
17031063200,3.2
17031063301,1.8
17031063302,1.3
17031063303,4.3
17031063400,0.7
17031070101,3.7
17031070102,2.9
17031070103,5.7
17031070200,2.3
17031070300,2.7
17031070400,0
17031070500,1.1
17031070600,3.1
17031070700,3.5
17031071000,7.9
17031071100,3.8
17031071200,1.5
17031071300,4.7
17031071400,2.4
17031071500,2.8
17031071600,8.5
17031071700,2.7
17031071800,5.4
17031080100,3.4
17031080201,7.4
17031080202,3.6
17031080300,4.4
17031080400,11.9
17031081000,5.2
17031081100,5.7
17031081201,5.6
17031081202,4.6
17031081300,6.1
17031081401,5.5
17031081402,2.9
17031081403,5
17031081500,2.7
17031081600,6.5
17031081700,4.4
17031081800,4.6
17031081900,6.7
17031090100,3
17031090200,4.3
17031090300,5.5
17031100100,10.6
17031100200,5.1
17031100300,5
17031100400,6
17031100500,0.5
17031100600,7.9
17031100700,6.9
17031110100,8.6
17031110200,8.9
17031110300,4.2
17031110400,6.2
17031110501,6
17031110502,13.2
17031120100,1.7
17031120200,6.2
17031120300,5.6
17031120400,6.3
17031130100,3.8
17031130200,8
17031130300,12.2
17031140100,6.6
17031140200,5.1
17031140301,5.3
17031140302,10.1
17031140400,5.8
17031140500,7.4
17031140601,8.4
17031140602,15.6
17031140701,7.6
17031140702,7.7
17031140800,6.7
17031150200,7.7
17031150300,5.2
17031150401,5.3
17031150402,8.4
17031150501,9.5
17031150502,10
17031150600,4.7
17031150700,9.1
17031150800,9.7
17031151001,11.2
17031151002,8.4
17031151100,8.9
17031151200,6.2
17031160100,12.1
17031160200,4.2
17031160300,5.3
17031160400,7.8
17031160501,2.8
17031160502,5.2
17031160601,4.1
17031160602,5.5
17031160700,7.6
17031160800,5.7
17031160900,8.5
17031161000,6.2
17031161100,3
17031161200,5.9
17031161300,7.3
17031170100,3.5
17031170200,4.7
17031170300,3.3
17031170400,4.6
17031170500,5.2
17031170600,7.5
17031170700,8.8
17031170800,6.9
17031170900,5.6
17031171000,7
17031171100,3.9
17031180100,5.5
17031190100,8.3
17031190200,8.7
17031190300,10.6
17031190401,13.3
17031190402,11.1
17031190601,9.9
17031190602,6
17031190701,10.5
17031190702,15.5
17031190800,15.1
17031190900,7.1
17031191000,13.7
17031191100,12.8
17031191200,7.8
17031191301,11.5
17031191302,12.5
17031200100,6.5
17031200200,10.1
17031200300,14.9
17031200401,12.6
17031200402,4.2
17031210100,5.9
17031210400,7.9
17031210501,11.1
17031210502,11.4
17031210601,5.7
17031210602,4.7
17031210700,7.2
17031210800,3.1
17031210900,3.6
17031220300,6.2
17031220400,4.5
17031220500,2.2
17031220601,8
17031220602,5.7
17031220701,4.1
17031220702,4.7
17031220901,10.5
17031220902,8.5
17031221000,8.2
17031221100,6.9
17031221200,3.2
17031221300,7
17031221400,2.2
17031221500,5.2
17031221600,4.3
17031222200,7.3
17031222500,7.8
17031222600,5.2
17031222700,6.4
17031222800,11
17031222900,7.8
17031230100,9.7
