,census_tract,median_household_income_in_past_12_months
0,101,"37,985"
1,102.01,"39,549"
2,102.02,"38,370"
3,103,"38,866"
4,104,"39,152"
5,105.01,"34,455"
6,105.02,"37,500"
7,105.03,"20,357"
8,106,"47,549"
9,107.01,"55,529"
10,107.02,"41,161"
11,201,"51,346"
12,202,"66,831"
13,203.01,"54,496"
14,203.02,"72,572"
15,204,"63,977"
16,205,"41,432"
17,206.01,"41,308"
18,206.02,"53,234"
19,207.01,"91,477"
20,207.02,"47,063"
21,208.01,"51,467"
22,208.02,"48,067"
23,209.01,"49,901"
24,209.02,"37,405"
25,301.01,"48,927"
26,301.02,"45,086"
27,301.03,"49,103"
28,301.04,"37,586"
29,302,"65,810"
30,303,"38,427"
31,304,"50,781"
32,305,"79,414"
33,306.01,"41,675"
34,306.03,"34,415"
35,306.04,"35,096"
36,307.01,"41,042"
37,307.02,"59,414"
38,307.03,"40,195"
39,307.06,"39,308"
40,308,"90,288"
41,309,"95,958"
42,310,"81,291"
43,311,"68,304"
44,312,"40,380"
45,313,"41,445"
46,314,"69,590"
47,315.01,"25,257"
48,315.02,"25,317"
49,317,"56,175"
50,318,"78,558"
51,319,"67,760"
52,321,"53,013"
53,401,"85,368"
54,402.01,"71,322"
55,402.02,"40,011"
56,403,"90,250"
57,404.01,"89,063"
58,404.02,"82,798"
59,406,"82,383"
60,407,"76,915"
61,408,"76,809"
62,409,"76,964"
63,501,"114,012"
64,502,"85,671"
65,503,"84,844"
66,505,"133,845"
67,506,"105,513"
68,507,"124,500"
69,508,"116,000"
70,509,"91,719"
71,510,"109,130"
72,511,"136,131"
73,512,"129,167"
74,513,"178,750"
75,514,"116,364"
76,601,"92,593"
77,602,"72,679"
78,603,"117,415"
79,604,"122,708"
80,605,"34,130"
81,608,"87,723"
82,609,"59,942"
83,610,"116,389"
84,611,"107,500"
85,612,"112,292"
86,615,"125,000"
87,618,"73,523"
88,619.01,"60,909"
89,619.02,"64,508"
90,620,"80,595"
91,621,"94,500"
92,622,"119,392"
93,623,"154,000"
94,624,"127,059"
95,625,"131,818"
96,626,"158,125"
97,627,"168,352"
98,628,"143,667"
99,629,"128,750"
100,630,"99,213"
101,631,"95,365"
102,632,"65,426"
103,633.01,"58,371"
104,633.02,"78,720"
105,633.03,"81,705"
106,634,"97,305"
107,701.01,"64,968"
108,701.02,"70,057"
109,701.03,"58,914"
110,702,"92,441"
111,703,"143,221"
112,704,"113,409"
113,705,"155,729"
114,706,"157,125"
115,707,"120,192"
116,710,"138,934"
117,711,"119,432"
118,712,"109,191"
119,713,"112,788"
120,714,"93,529"
121,715,"94,598"
122,716,"142,583"
123,717,"162,054"
124,718,"141,806"
125,801,"111,372"
126,802.01,"87,221"
127,802.02,"83,806"
128,803,"122,479"
129,804,"36,927"
130,810,"60,566"
131,811,"77,267"
132,812.01,"98,186"
133,812.02,"133,079"
134,813,"84,223"
135,814.01,"67,313"
136,814.02,"111,970"
137,814.03,"121,318"
138,815,"103,664"
139,816,"116,897"
140,817,"100,708"
141,818,"128,243"
142,819,"158,375"
143,901,"95,990"
144,902,"103,733"
145,903,"97,102"
146,1001,"79,665"
147,1002,"74,201"
148,1003,"83,197"
149,1004,"93,778"
150,1005,"75,759"
151,1006,"75,601"
