GEOID,unemployment_2017
17031291600,1.5
17031292200,26.5
17031292400,8.5
17031292500,20.1
17031300500,6.6
17031300600,12.2
17031300700,6.1
17031300800,10.4
17031300900,2.5
17031301100,13.4
17031301200,13.9
17031301600,10.9
17031301701,7
17031301702,7.4
17031301801,6.3
17031301802,12.9
17031301803,6.7
17031310200,3.3
17031310300,16.5
17031310400,0.7
17031310500,4.6
17031310600,3.3
17031310700,9.8
17031310800,4.1
17031310900,10.8
17031320100,4
17031320400,9
17031320600,5.4
17031330100,3.1
17031330200,1.9
17031340300,12.9
17031340400,8.1
17031340500,12.1
17031340600,44.9
17031350100,7.9
17031350400,41.3
17031351000,9.3
17031351100,32.3
17031351400,40.9
17031351500,21.5
17031360200,23.8
17031380100,23.3
17031380200,6.6
17031380500,29.5
17031380700,18.2
17031381200,5
17031381400,13.6
17031381500,14.7
17031381700,-
17031381800,7.4
17031381900,11.4
17031390100,4.6
17031390200,9.6
17031390300,20.7
17031390400,13.7
17031390500,7.5
17031390600,6.4
17031390700,9.8
17031400300,23.2
17031400400,29.4
17031400500,26.8
17031400800,14
17031410100,9.5
17031410200,8.9
17031410500,8.5
17031410600,4.1
17031410700,8.6
17031410800,6.3
17031410900,5
17031411000,6.3
17031411100,2.3
17031411200,4.7
17031420100,6.1
17031420200,12.6
17031420300,15.7
17031420400,14.2
17031420500,27.6
17031420600,27.3
17031420700,34.3
17031420800,12.7
17031421200,15.8
17031430101,21.1
17031430102,10
17031430200,16.5
17031430300,26.5
17031430400,20.1
17031430500,19.4
17031430600,14.9
17031430700,15.1
17031430800,17.2
17031430900,15.4
17031431200,14.7
17031431301,30.9
17031431302,25.8
17031431400,19.3
17031440101,23.5
17031440102,14.6
17031440201,20.7
17031440202,12.6
17031440300,21.1
17031440600,15.9
17031440700,26.7
17031440800,20
17031440900,10.8
17031450300,17.5
17031460100,29.2
17031460200,16.6
17031460301,17.7
17031460302,31.5
17031460400,13.3
17031460500,13.4
17031460600,20.9
17031460700,27.8
17031461000,17.5
17031470100,22.3
17031480100,9.9
17031480200,15.1
17031480300,23
17031480400,10.5
17031480500,13.1
17031490300,6.7
17031490400,14.8
17031490500,21.1
17031490600,26.5
17031490700,31.2
17031490800,24.3
17031490901,26.1
17031490902,17.8
17031491000,39.2
17031491100,16.4
17031491200,23
17031491300,33.7
17031491400,30.4
17031500100,10
17031500200,29.2
17031500300,16.2
17031510100,18.9
17031510200,19.3
17031510300,25.4
17031520100,11.2
17031520200,23.1
17031520300,24.2
17031520400,16.5
17031520500,13
17031520600,15.7
17031530100,19.1
17031530200,30.1
17031530300,26.3
17031530400,20.3
17031530501,16.8
17031530502,23.6
17031530503,31.8
17031530600,25
17031540101,38.2
17031540102,32.4
17031550100,8.2
17031550200,8.8
17031560100,8.2
17031560200,29.8
17031560300,10.9
17031560400,12.3
17031560700,12.5
17031560800,11.1
17031560900,3.5
17031561000,6.1
17031561100,7.4
17031570100,7.2
17031570200,12.7
17031570300,10.2
17031570400,11.6
17031570500,2.6
17031580100,11.9
17031580200,9.2
17031580300,10.3
17031580400,2.8
17031580501,10.6
17031580502,9.8
17031580600,13.9
17031580700,14.9
17031580800,14.6
17031590500,14
17031590600,15.3
17031590700,6.7
17031600400,12.6
17031600600,6.3
17031600700,18.3
17031600900,7.8
17031610300,15.2
17031610400,19.8
17031610800,13.1
17031611000,19.5
17031611100,21.6
17031611200,15.4
17031611300,17.7
17031611400,12
17031611500,15.5
17031611600,22.3
17031611700,22.9
17031611800,27
17031611900,17.8
17031612000,35.2
17031612100,37.4
17031620100,13.8
