,GEOID,public_schools_count
354,17031291600,25
355,17031292200,37
356,17031292400,37
357,17031292500,37
358,17031300500,37
359,17031300600,37
360,17031300700,37
361,17031300800,37
362,17031300900,37
363,17031301100,62
364,17031301200,25
365,17031301600,37
366,17031301701,37
367,17031301702,37
368,17031301801,37
369,17031301802,37
370,17031301803,37
371,17031310200,39
372,17031310300,25
373,17031310400,25
374,17031310500,25
375,17031310600,25
376,17031310700,25
377,17031310800,25
378,17031310900,25
379,17031320100,3
380,17031320400,5
381,17031320600,2
382,17031330100,16
383,17031330200,16
384,17031340300,14
385,17031340400,14
386,17031340500,14
387,17031340600,43
388,17031350100,14
389,17031350400,14
390,17031351000,14
391,17031351100,24
392,17031351400,53
393,17031351500,43
394,17031360200,10
395,17031380100,10
396,17031380200,10
397,17031380500,29
398,17031380700,39
399,17031381200,20
400,17031381400,49
401,17031381500,39
402,17031381700,29
403,17031381800,39
404,17031381900,10
405,17031390100,10
406,17031390200,10
407,17031390300,10
408,17031390400,20
409,17031390500,20
410,17031390600,20
411,17031390700,10
412,17031400300,54
413,17031400400,15
414,17031400500,32
415,17031400800,32
416,17031410100,10
417,17031410200,10
418,17031410500,10
419,17031410600,10
420,17031410700,10
421,17031410800,25
422,17031410900,10
423,17031411000,25
424,17031411100,25
425,17031411200,25
426,17031420100,15
427,17031420200,15
428,17031420300,15
429,17031420400,15
430,17031420500,15
431,17031420600,15
432,17031420700,15
433,17031420800,15
434,17031421200,15
435,17031430101,11
436,17031430102,11
437,17031430200,11
438,17031430300,43
439,17031430400,28
440,17031430500,28
441,17031430600,11
442,17031430700,11
443,17031430800,11
444,17031430900,11
445,17031431200,11
446,17031431301,11
447,17031431302,11
448,17031431400,11
449,17031440101,17
450,17031440102,17
451,17031440201,17
452,17031440202,17
453,17031440300,17
454,17031440600,17
455,17031440700,17
456,17031440800,17
457,17031440900,17
458,17031450300,23
459,17031460100,34
460,17031460200,23
461,17031460301,23
462,17031460302,34
463,17031460400,34
464,17031460500,34
465,17031460600,23
466,17031460700,23
467,17031461000,23
468,17031470100,17
469,17031480100,23
470,17031480200,40
471,17031480300,40
472,17031480400,23
473,17031480500,23
474,17031490300,17
475,17031490400,17
476,17031490500,39
477,17031490600,22
478,17031490700,22
479,17031490800,22
480,17031490901,22
481,17031490902,22
482,17031491000,22
483,17031491100,22
484,17031491200,22
485,17031491300,22
486,17031491400,22
487,17031500100,39
488,17031500200,22
489,17031500300,22
490,17031510100,23
491,17031510200,23
492,17031510300,40
493,17031520100,23
494,17031520200,23
495,17031520300,23
496,17031520400,23
497,17031520500,23
498,17031520600,23
499,17031530100,22
